Player,ADP
D.J. Moore,30.3
Mike Evans,27
Laviska Shenault,221.5
Corey Davis,213
Dede Westbrook,212
James Washington,211.5
Tee Higgins,201.5
Denzel Mims,181
Hunter Renfrow,168
Antonio Brown,224.3
Kenny Golladay,26
Cole Beasley,211.3
Randall Cobb,202.7
Bryan Edwards,239.8
Alshon Jeffery,167
Curtis Samuel,158.3
Larry Fitzgerald,182.8
Parris Campbell,177.8
Michael Pittman,168
Brandon Aiyuk,167.5
Breshad Perriman,166.8
Chris Godwin,20.8
Allen Lazard,165.3
N'Keal Harry,163.3
Jalen Reagor,160.5
Sammy Watkins,153.5
Mike Williams,149.8
DeSean Jackson,141.5
Anthony Miller,139.3
Robbie Anderson,138.8
Golden Tate,137.3
Mecole Hardman,133
DeAndre Hopkins,15.5
Preston Williams,128.3
Justin Jefferson,125
John Brown,117
Henry Ruggs,116.5
Darius Slayton,115
Jerry Jeudy,114.8
Emmanuel Sanders,106.5
Sterling Shepard,105.5
Jamison Crowder,104.8
CeeDee Lamb,104.5
Julio Jones,15.3
Christian Kirk,102.5
Diontae Johnson,100.5
Marvin Jones,90
Brandin Cooks,87.5
Deebo Samuel,85.3
Julian Edelman,76
William Fuller,75.5
Michael Gallup,74.8
Tyler Boyd,73.8
Jarvis Landry,73
Tyreek Hill,14.8
A.J. Green,70
Marquise Brown,69.8
Stefon Diggs,63
DeVante Parker,62.3
T.Y. Hilton,57
Terry McLaurin,56.8
DJ Chark,54.3
D.K. Metcalf,51.3
Tyler Lockett,51
Keenan Allen,50.5
Davante Adams,11.3
Courtland Sutton,46.5
Robert Woods,46
Calvin Ridley,43
A.J. Brown,42.3
Cooper Kupp,38
Amari Cooper,35.3
JuJu Smith-Schuster,33.8
Adam Thielen,32.3
Odell Beckham,32
Allen Robinson,32
Michael Thomas,5
