"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Chicago Bears (CHI)","41","24","20","23","9","0","1","16","224.0","14.0","41.7%"
"2","Seattle Seahawks (SEA)","36","18","13","16","3","0","3","16","178.0","11.1","15.2%"
"3","Denver Broncos (DEN)","52","16","8","18","6","2","2","16","171.0","10.7","34.5%"
"4","New England Patriots (NE)","37","20","21","28","6","1","2","16","167.0","10.4","14.1%"
"5","Cincinnati Bengals (CIN)","51","14","16","16","3","0","1","16","158.0","9.9","37.3%"
"6","San Francisco 49ers (SF)","38","14","11","12","4","1","0","16","153.0","9.6","96.7%"
"7","Los Angeles Chargers (LAC)","38","14","14","16","7","1","2","16","153.0","9.6","12.4%"
"8","Houston Texans (HOU)","44","15","14","16","3","1","1","16","152.0","9.5","39.0%"
"9","Arizona Cardinals (ARI)","38","22","11","12","3","0","1","16","149.0","9.3","0.9%"
"10","Los Angeles Rams (LAR)","52","17","4","10","5","1","0","16","149.0","9.3","21.3%"
"11","Atlanta Falcons (ATL)","29","20","11","15","2","0","0","16","133.0","8.3","16.8%"
"12","New York Giants (NYG)","33","21","14","11","2","0","1","16","132.0","8.3","2.0%"
"13","Minnesota Vikings (MIN)","44","10","12","13","3","0","2","16","123.0","7.7","9.9%"
"14","Green Bay Packers (GB)","47","18","5","8","2","0","1","16","122.0","7.6","27.2%"
"15","Washington Commanders (WAS)","32","21","9","12","6","0","0","16","120.0","7.5","8.1%"
"16","Carolina Panthers (CAR)","39","11","12","15","4","1","0","16","118.0","7.4","3.0%"
"17","Cleveland Browns (CLE)","38","17","12","16","2","0","1","16","117.0","7.3","94.3%"
"18","Tennessee Titans (TEN)","39","19","5","13","5","1","4","16","115.0","7.2","3.6%"
"19","Baltimore Ravens (BAL)","37","13","12","6","2","0","3","16","115.0","7.2","82.2%"
"20","New Orleans Saints (NO)","30","15","11","10","4","0","1","16","113.0","7.1","65.3%"
"21","Pittsburgh Steelers (PIT)","37","10","10","15","1","0","0","16","111.0","6.9","72.8%"
"22","New York Jets (NYJ)","30","11","12","13","3","1","2","16","110.0","6.9","77.8%"
"23","Tampa Bay Buccaneers (TB)","27","18","8","10","3","0","1","16","108.0","6.8","20.1%"
"24","Miami Dolphins (MIA)","42","10","6","11","0","0","2","16","106.0","6.6","68.5%"
"25","Indianapolis Colts (IND)","32","12","3","6","4","0","2","16","97.0","6.1","31.1%"
"26","Dallas Cowboys (DAL)","34","7","9","13","3","0","1","16","85.0","5.3","90.4%"
"27","Buffalo Bills (BUF)","36","12","9","18","1","1","3","16","78.0","4.9","58.7%"
"28","Jacksonville Jaguars (JAC)","20","12","11","12","0","0","1","16","70.0","4.4","43.2%"
"29","Detroit Lions (DET)","34","11","6","9","0","1","0","16","68.0","4.3","31.0%"
"30","Las Vegas Raiders (LV)","25","11","8","8","0","0","0","16","61.0","3.8","33.5%"
"31","Kansas City Chiefs (KC)","27","7","6","11","1","1","0","16","55.0","3.4","82.9%"
"32","Philadelphia Eagles (PHI)","30","8","5","9","0","0","1","16","54.0","3.4","52.2%"
""
""
