Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
113,Quentin Johnston,LAC,22,WR,17,10,67,38,56.7%,431,11.3,2,20,47.8,57,6.4,2.2,25.4,0,JohnQu02
114,Josh Palmer,LAC,24,WR,10,6,61,38,62.3%,581,15.3,2,22,47.5,79,9.5,3.8,58.1,1,PalmJo00
115,Rhamondre Stevenson,NWE,25,RB,12,12,51,38,74.5%,238,6.3,0,8,35.3,34,4.7,3.2,19.8,1,StevRh00
116,Michael Wilson,ARI,23,WR,13,12,58,38,65.5%,565,14.9,3,29,56.9,69,9.7,2.9,43.5,0,WilsMi02
117,Kendrick Bourne,NWE,28,WR,8,5,55,37,67.3%,406,11.0,4,15,49.1,36,7.4,4.6,50.8,1,BourKe00
118,Josh Jacobs,LVR,25,RB,13,13,54,37,68.5%,296,8.0,0,15,55.6,21,5.5,2.8,22.8,3,JacoJo01
119,Juwan Johnson,NOR,27,TE,13,11,59,37,62.7%,368,9.9,4,23,50.8,32,6.2,2.8,28.3,0,JohnJu02
120,Brian Robinson Jr.,WAS,24,RB,15,15,43,36,83.7%,368,10.2,4,15,53.5,51,8.6,2.4,24.5,4,RobiBr01
121,Nelson Agholor,BAL,30,WR,17,3,45,35,77.8%,381,10.9,4,19,55.6,37,8.5,2.1,22.4,1,AghoNe00
122,Odell Beckham Jr.,BAL,31,WR,14,6,64,35,54.7%,565,16.1,3,27,50.0,51,8.8,2.5,40.4,1,BeckOd00
123,DJ Chark,CAR,27,WR,15,11,66,35,53.0%,525,15.0,5,22,43.9,47,8.0,2.3,35.0,2,CharDJ00
124,Kalif Raymond,DET,29,WR,17,3,44,35,79.5%,489,14.0,1,20,65.9,41,11.1,2.1,28.8,1,RaymKa00
125,Durham Smythe,MIA,28,TE,16,14,43,35,81.4%,366,10.5,0,22,72.1,22,8.5,2.2,22.9,0,SmytDu00
126,Michael Gallup,DAL,27,WR,17,13,57,34,59.6%,418,12.3,2,19,50.9,41,7.3,2.0,24.6,0,GallMi00
127,Roschon Johnson,CHI,22,RB,15,0,40,34,85.0%,209,6.1,0,6,27.5,24,5.2,2.3,13.9,1,JohnRo07
128,Zay Jones,JAX,28,WR,9,7,64,34,53.1%,321,9.4,2,14,43.8,36,5.0,3.8,35.7,0,JoneZa00
129,Luke Musgrave,GNB,23,TE,11,9,46,34,73.9%,352,10.4,1,14,50.0,37,7.7,3.1,32.0,0,MusgLu00
130,Allen Robinson,PIT,30,WR,17,17,49,34,69.4%,280,8.2,0,9,44.9,31,5.7,2.0,16.5,0,RobiAl02
131,Noah Brown,HOU,27,WR,10,7,55,33,60.0%,567,17.2,2,24,52.7,75,10.3,3.3,56.7,0,BrowNo00
132,Zach Charbonnet,SEA,22,RB,16,2,40,33,82.5%,209,6.3,0,7,45.0,39,5.2,2.1,13.1,0,CharZa00
133,Taysom Hill,NOR,33,QB,16,7,40,33,82.5%,291,8.8,2,11,57.5,36,7.3,2.1,18.2,1,HillTa00
134,DeVante Parker,NWE,30,WR,13,13,55,33,60.0%,394,11.9,0,17,49.1,30,7.2,2.5,30.3,0,ParkDe01
135,Rashod Bateman,BAL,24,WR,16,12,56,32,57.1%,367,11.5,1,20,50.0,29,6.6,2.0,22.9,0,BateRa00
136,Noah Fant,SEA,26,TE,17,17,43,32,74.4%,414,12.9,0,16,60.5,51,9.6,1.9,24.4,0,FantNo00
137,Pat Freiermuth,PIT,25,TE,12,9,47,32,68.1%,308,9.6,2,17,48.9,29,6.6,2.7,25.7,0,FreiPa00
138,Alec Pierce,IND,23,WR,17,16,65,32,49.2%,514,16.1,2,24,46.2,58,7.9,1.9,30.2,0,PierAl00
139,Kyren Williams*,LAR,23,RB,12,11,48,32,66.7%,206,6.4,3,9,43.8,24,4.3,2.7,17.2,3,WillKy02
140,Tucker Kraft,GNB,23,TE,17,8,40,31,77.5%,355,11.5,2,18,67.5,43,8.9,1.8,20.9,0,KrafTu00
141,Jaleel McLaughlin,DEN,23,RB,17,3,36,31,86.1%,160,5.2,2,5,38.9,22,4.4,1.8,9.4,0,McLaJa00
142,Darnell Mooney,CHI,26,WR,15,14,61,31,50.8%,414,13.4,1,20,41.0,41,6.8,2.1,27.6,0,MoonDa00
143,Kenneth Gainwell,PHI,24,RB,16,2,37,30,81.1%,183,6.1,0,11,48.6,19,4.9,1.9,11.4,3,GainKe00
144,Kylen Granson,IND,25,TE,15,7,50,30,60.0%,368,12.3,1,19,46.0,46,7.4,2.0,24.5,0,GranKy00
145,Aaron Jones,GNB,29,RB,11,11,43,30,69.8%,233,7.8,1,13,39.5,51,5.4,2.7,21.2,2,JoneAa00
146,Isaiah Likely,BAL,23,TE,17,8,40,30,75.0%,411,13.7,5,15,60.0,54,10.3,1.8,24.2,0,LikeIs00
147,Alexander Mattison,MIN,25,RB,16,13,44,30,68.2%,192,6.4,3,5,34.1,47,4.4,1.9,12.0,3,MattAl01
148,Devin Singletary,HOU,26,RB,17,10,38,30,78.9%,193,6.4,0,7,36.8,41,5.1,1.8,11.4,1,SingDe00
149,Mike Gesicki,NWE,28,TE,17,10,45,29,64.4%,244,8.4,2,11,44.4,18,5.4,1.7,14.4,0,GesiMi00
150,Najee Harris,PIT,25,RB,17,17,38,29,76.3%,170,5.9,0,9,50.0,32,4.5,1.7,10.0,2,HarrNa00
151,Brandon Powell,MIN,28,WR,17,2,44,29,65.9%,324,11.2,1,18,50.0,28,7.4,1.7,19.1,1,PoweBr00
