"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Rhamondre Stevenson","NE","RB","11.9","13.7","-1.799999999999999","11.9","13.7","-1.8","1","6","5.37","64","37.47","0","0.1248","25","51.7636","0","0.23"
"Christian McCaffrey","SF","RB","24.4","15","9.399999999999999","24.4","15","9.4","1","3","3.21","17","28.58","0","0","152","98.147","1","0.12"
"T.J. Hockenson","MIN","TE","7.5","9.6","-2.0999999999999996","7.5","9.6","-2.1","1","8","6.58","35","58.47","0","0.0768","0","0","0","0"
"Mike Williams","LAC","WR","6.5","7.2","-0.7000000000000002","6.5","7.2","-0.7","1","4","3.18","45","36.21","0","0.3264","0","0","0","0"
"Alec Pierce","IND","WR","1","5.6","-4.6","1","5.6","-4.6","1","1","2.04","5","20.78","0","0.4224","0","0","0","0"
"Devin Singletary","HST","RB","1.5","3.3","-1.7999999999999998","1.5","3.3","-1.8","1","0","0","0","0","0","0","15","32.0362","0","0.01"
"Josh Jacobs","LV","RB","8.1","20","-11.9","8.1","20","-11.9","1","2","2.62","23","19.29","0","0.0288","48","74.235","0","1.53"
"Trey McBride","ARZ","TE","3.3","2.8","0.5","3.3","2.8","0.5","1","2","1.57","23","20.21","0","0","0","0","0","0"
"Nico Collins","HST","WR","11","16.1","-5.100000000000001","11","16.1","-5.1","1","6","6.75","80","112.07","0","0.2496","0","0","0","0"
"Zamir White","LV","RB","1.2","2.7","-1.5000000000000002","1.2","2.7","-1.5","1","1","0.88","5","4.84","0","0.0384","2","2.8322","0","0.21"
"Damien Harris","BUF","RB","2.9","3.2","-0.30000000000000027","2.9","3.2","-0.3","1","2","1.7","16","10.06","0","0","3","2.9106","0","0.18"
"Erik Ezukanma","MIA","WR","1.7","1","0.7","1.7","1","0.7","1","0","0","0","0","0","0","17","6.7816","0","0.05"
"Ameer Abdullah","LV","RB","0","3.1","-3.1","0","3.1","-3.1","1","0","0.45","0","2.7","0","0.432","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","0","2.8","-2.8","0","2.8","-2.8","1","0","0.96","0","18.42","0","0.0768","0","0","0","0"
"Evan Hull","IND","RB","1.2","1.6","-0.40000000000000013","1.2","1.6","-0.4","1","1","0.82","6","6.01","0","0","1","4.0376","0","0.03"
"Samaje Perine","DEN","RB","9.8","8.6","1.200000000000001","9.8","8.6","1.2","1","4","3.47","37","27.22","0","0","41","37.6124","0","0.07"
"Andrew Ogletree","IND","TE","2.5","2.9","-0.3999999999999999","2.5","2.9","-0.4","1","1","1.3","20","22.06","0","0","0","0","0","0"
"Austin Hooper","LV","TE","2.5","1.9","0.6000000000000001","2.5","1.9","0.6","1","1","0.43","20","7.9","0","0.144","0","0","0","0"
"Antonio Gibson","WAS","RB","2.4","2.4","0","2.4","2.4","0","1","1","0.91","10","4.69","0","0","9","12.7596","0","0.03"
"Randall Cobb","NYJ","WR","0","1.6","-1.6","0","1.6","-1.6","1","0","0.69","0","12.11","0","0.0096","0","0","0","0"
"David Montgomery","DET","RB","13.4","11.1","2.3000000000000007","13.4","11.1","2.3","1","0","0","0","0","0","0","74","87.1416","1","0.39"
"Connor Heyward","PIT","TE","2.9","6.7","-3.8000000000000003","2.9","6.7","-3.8","1","2","2.23","19","32.94","0","0.384","0","0","0","0"
"Zach Charbonnet","SEA","RB","1.1","1.9","-0.7999999999999998","1.1","1.9","-0.8","1","0","0","0","0","0","0","11","11.9168","0","0.11"
"Durham Smythe","MIA","TE","5.9","9","-3.0999999999999996","5.9","9","-3.1","1","3","3.95","44","43.73","0","0.4416","0","0","0","0"
"Gabe Davis","BUF","WR","4.2","5.9","-1.7000000000000002","4.2","5.9","-1.7","1","2","1.82","32","33.44","0","0.2688","0","0","0","0"
"Charlie Kolar","BLT","TE","0","0.9","-0.9","0","0.9","-0.9","1","0","0.5","0","6.92","0","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","7","6.2","0.7999999999999998","7","6.2","0.8","1","2","1.83","18","9.62","0","0.0576","42","30.429","0","0.16"
"Salvon Ahmed","MIA","RB","1.1","1.9","-0.7999999999999998","1.1","1.9","-0.8","1","0","0.49","0","0.74","0","0","11","12.7694","0","0.05"
"Rakim Jarrett","TB","WR","0","0.5","-0.5","0","0.5","-0.5","1","0","0","0","0","0","0","0","4.6844","0","0"
"Deebo Samuel","SF","WR","8.8","9.3","-0.5","8.8","9.3","-0.5","1","5","4.45","55","54.97","0","0.1056","8","9.114","0","0.01"
"Clyde Edwards-Helaire","KC","RB","3.4","3.7","-0.30000000000000027","3.4","3.7","-0.3","1","1","0.88","7","5.87","0","0","22","25.8818","0","0.01"
"Jaylen Warren","PIT","RB","4.3","9.2","-4.8999999999999995","4.3","9.2","-4.9","1","5","5.34","12","33.91","0","0.2688","6","14.308","0","0.01"
"Adam Trautman","DEN","TE","5.9","8.5","-2.5999999999999996","5.9","8.5","-2.6","1","5","3.93","34","29.29","0","0.5952","0","0","0","0"
"Sean Tucker","TB","RB","3.4","4.7","-1.3000000000000003","3.4","4.7","-1.3","1","2","1.79","9","13.98","0","0","15","22.5596","0","0.02"
"Joshua Palmer","LAC","WR","0.9","1.1","-0.20000000000000007","0.9","1.1","-0.2","1","1","0.8","4","6.51","0","0","0","0","0","0"
"Tyler Scott","CHI","WR","2.4","2.3","0.10000000000000009","2.4","2.3","0.1","1","2","1.71","14","14.5","0","0","0","0","0","0"
"Logan Thomas","WAS","TE","6.3","8","-1.7000000000000002","6.3","8","-1.7","1","4","4.84","43","54.77","0","0.0192","0","0","0","0"
"Chris Olave","NO","WR","15.2","13.4","1.799999999999999","15.2","13.4","1.8","1","8","6.77","112","90.16","0","0.1632","0","0","0","0"
"Noah Gray","KC","TE","4.6","5.8","-1.2000000000000002","4.6","5.8","-1.2","1","3","3.59","31","40.34","0","0","0","0","0","0"
"Puka Nacua","LA","WR","16.9","20.4","-3.5","16.9","20.4","-3.5","1","10","10.05","119","131.45","0","0.3648","0","0","0","0"
"Kenneth Gainwell","PHI","RB","9.4","13","-3.5999999999999996","9.4","13","-3.6","1","4","3.52","20","26.6","0","0.0096","54","57.5064","0","0.46"
"Rico Dowdle","DAL","RB","2.4","3.1","-0.7000000000000002","2.4","3.1","-0.7","1","0","0","0","0","0","0","24","26.215","0","0.08"
"Isaiah Hodgins","NYG","WR","2.9","3.7","-0.8000000000000003","2.9","3.7","-0.8","1","1","1.99","24","26.55","0","0.0096","0","0","0","0"
"Rashid Shaheed","NO","WR","18.5","11.8","6.699999999999999","18.5","11.8","6.7","1","5","3.07","89","47.21","1","0.7584","11","9.0062","0","0.02"
"Marquise Goodwin","CLV","WR","0","4.8","-4.8","0","4.8","-4.8","1","0","0.61","0","27.16","0","0.2976","0","0","0","0"
"Justin Jefferson","MIN","WR","19.5","14.7","4.800000000000001","19.5","14.7","4.8","1","9","8","150","106.95","0","0","0","0","0","0"
"Keith Kirkwood","NO","WR","0","3.8","-3.8","0","3.8","-3.8","1","0","0.46","0","8.72","0","0.4416","0","0","0","0"
"Jerome Ford","CLV","RB","3.6","7.3","-3.6999999999999997","3.6","7.3","-3.7","1","0","0","0","0","0","0","36","67.8062","0","0.08"
"Malik Heath","GB","WR","0","1.8","-1.8","0","1.8","-1.8","1","0","0.77","0","13.09","0","0.0096","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","16.1","11.8","4.300000000000001","16.1","11.8","4.3","1","6","5.86","71","69.08","1","0.3264","0","0","0","0"
"Rachaad White","TB","RB","5.9","10.7","-4.799999999999999","5.9","10.7","-4.8","1","2","1.89","10","10.2","0","0.0096","39","72.8532","0","0.23"
"Jaxon Smith-Njigba","SEA","WR","2.8","4.8","-2","2.8","4.8","-2","1","3","3.38","13","25.88","0","0.0864","0","0","0","0"
"Najee Harris","PIT","RB","4.3","4.7","-0.40000000000000036","4.3","4.7","-0.4","1","2","1.77","2","12.97","0","0","31","23.765","0","0.03"
"Justyn Ross","KC","WR","1.1","1.1","0","1.1","1.1","0","1","1","0.75","6","7.47","0","0","0","0","0","0"
