Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Reggie Bush,Bills,2016,1,,"$1,500,000","$1,500,000","$375,000",,1.0%,,"$2,467,315","$2,467,315","$616,829"
Chris Johnson,Cardinals,2016,1,,"$1,500,000","$1,500,000","$1,000,000",,1.0%,,"$2,467,315","$2,467,315","$1,644,877"
Arian Foster,Dolphins,2016,1,,"$1,500,000","$1,500,000","$400,000",,1.0%,,"$2,467,315","$2,467,315","$657,951"
D'Onta Foreman,Panthers,2022,1,,"$2,000,000","$2,000,000","$940,000",,1.0%,,"$2,453,410","$2,453,410","$1,153,103"
Marlon Mack,Texans,2022,1,,"$2,000,000","$2,000,000","$1,000,000",,1.0%,,"$2,453,410","$2,453,410","$1,226,705"
Malcolm Brown,Dolphins,2021,1,,"$1,750,000","$1,750,000","$1,750,000",,1.0%,,"$2,449,041","$2,449,041","$2,449,041"
James Conner,Cardinals,2021,1,,"$1,750,000","$1,750,000","$1,750,000",,1.0%,,"$2,449,041","$2,449,041","$2,449,041"
Taiwan Jones,Bills,2021,1,,"$1,750,000","$1,750,000","$700,000",,1.0%,,"$2,449,041","$2,449,041","$979,616"
Dalvin Cook,Vikings,2017,4,,"$6,353,310","$1,588,328","$3,979,375",,1.0%,,"$9,716,379","$2,429,096","$6,085,823"
Priest Holmes,Chiefs,2006,4,,"$3,880,000","$970,000","$670,000",,1.0%,,"$9,715,216","$2,428,804","$1,677,627"
Rudi Johnson,Lions,2008,1,,"$1,100,000","$1,100,000",$0,,0.9%,,"$2,421,897","$2,421,897",$0
Travis Henry,Broncos,2008,4,,"$4,400,000","$1,100,000",$0,,0.9%,,"$9,687,586","$2,421,897",$0
Marshall Faulk,Rams,2006,3,,"$2,875,000","$958,333",$0,,0.9%,,"$7,198,775","$2,399,591",$0
Justin Forsett,Jaguars,2013,2,,"$2,300,000","$1,150,000","$300,000",,0.9%,,"$4,775,772","$2,387,886","$622,927"
Clinton Portis,Broncos,2002,4,,"$2,650,000","$662,500","$1,290,000",,0.9%,,"$9,518,994","$2,379,749","$4,633,774"
Kerryon Johnson,DET/PHI,2018,4,,"$6,503,698","$1,625,925","$4,065,583",,0.9%,,"$9,373,840","$2,343,461","$5,859,762"
Samaje Perine,Bengals,2021,2,,"$3,300,000","$1,650,000","$700,000",,0.9%,,"$4,618,192","$2,309,096","$979,616"
Charcandrick West,Chiefs,2016,3,,"$4,200,000","$1,400,000","$2,300,000",,0.9%,,"$6,908,482","$2,302,827","$3,783,216"
Spencer Ware,Chiefs,2016,3,,"$4,200,000","$1,400,000","$2,300,000",,0.9%,,"$6,908,482","$2,302,827","$3,783,216"
Lance Dunbar,Rams,2017,1,,"$1,500,000","$1,500,000","$1,375,000",,0.9%,,"$2,294,012","$2,294,012","$2,102,844"
Nick Chubb,Browns,2024,1,,"$2,275,000","$2,275,000","$2,050,000",,0.9%,,"$2,275,000","$2,275,000","$2,050,000"
James Robinson,Patriots,2023,2,,"$4,000,000","$2,000,000","$150,000",,0.9%,,"$4,544,484","$2,272,242","$170,418"
D'Onta Foreman,Bears,2023,1,,"$2,000,000","$2,000,000","$1,000,000",,0.9%,,"$2,272,242","$2,272,242","$1,136,121"
Boston Scott,Eagles,2023,1,,"$2,000,000","$2,000,000","$1,080,000",,0.9%,,"$2,272,242","$2,272,242","$1,227,011"
