"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jake Browning","CIN","13","10.6","2.4000000000000004","13","10.6","2.4","1","26","19","17.09","1","0.42","227","165.99","1","0.73","10","15.1776","0","0","-1","-1","0","0"
"Jordan Love","GB","26.6","15.8","10.8","26.6","15.8","10.8","1","32","22","17.6","0","0.81","268","214.81","3","1.52","2","12.1551","0","0.0665","37","2.9102","0","0"
"Lamar Jackson","BLT","15","15.9","-0.9000000000000004","15","15.9","-0.9","1","32","18","20.54","0","0.55","177","212.29","1","0.88","9","12.5643","0","0.0095","30","29.9284","0","0.03"
"Tommy DeVito","NYG","12.2","11.9","0.29999999999999893","12.2","11.9","0.3","1","25","17","16.17","0","0.48","191","175.82","1","0.73","8","14.8242","0","0","-2","7.967","0","0.02"
"Baker Mayfield","TB","15.8","20.4","-4.599999999999998","15.8","20.4","-4.6","1","30","20","18.26","1","0.5","199","198.68","2","2.17","14","7.3377","0","0","-6","5.655","0","0.49"
"Aidan O'Connell","LV","13.9","10.9","3","13.9","10.9","3","1","33","23","23.31","0","0.52","248","231.46","1","0.54","0","0","0","0","0","0","0","0"
"Tim Boyle","NYJ","9.4","15.3","-5.9","9.4","15.3","-5.9","1","38","27","27.2","2","0.68","179","223.09","1","1.55","0","0","0","0","2","7.742","0","0.02"
"Brock Purdy","SF","11.5","15.3","-3.8000000000000007","11.5","15.3","-3.8","1","30","21","19.92","1","0.74","209","230","1","1.51","3","6.1101","0","0.0665","-2","-2","0","0"
"Mike White","MIA","-0.2","-0.1","-0.1","-0.2","-0.1","-0.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-1","0","0"
"Will Levis","TEN","7.1","9.1","-2","7.1","9.1","-2","1","28","18","16.94","0","0.64","185","218.51","0","0.33","0","0","0","0","-3","-3","0","0"
