"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Blair Walsh (FA)","35","38","92.1","56","0","10","8","7","10","36","36","16","168.0","10.5","0.1%"
"2","Stephen Gostkowski (FA)","29","35","82.9","53","0","8","10","9","2","66","66","16","166.0","10.4","0.1%"
"3","Matt Bryant (FA)","33","38","86.8","55","1","8","10","10","4","44","44","16","161.0","10.1","1.1%"
"4","Lawrence Tynes (FA)","33","39","84.6","50","0","11","14","7","1","46","46","16","154.0","9.6","0.0%"
"5","Shayne Graham (FA)","31","38","81.6","51","1","9","10","7","4","45","45","16","153.0","9.6","0.0%"
"6","Justin Tucker (BAL)","30","33","90.9","56","0","8","8","10","4","42","42","16","150.0","9.4","98.6%"
"7","Connor Barth (FA)","28","33","84.8","57","0","7","3","12","6","39","39","15","147.0","9.8","0.0%"
"8","Matt Prater (ARI)","26","32","81.3","53","1","7","10","5","3","55","55","16","144.0","9.0","1.7%"
"9","David Akers (FA)","29","42","69.0","63","1","8","11","7","2","44","44","16","142.0","8.9","0.0%"
"10","Dan Bailey (FA)","29","31","93.5","51","1","5","13","7","3","37","37","16","137.0","8.6","0.0%"
"11","Phil Dawson (FA)","29","31","93.5","53","0","8","8","6","7","29","29","16","136.0","8.5","0.1%"
"12","Sebastian Janikowski (FA)","31","34","91.2","57","1","9","10","5","6","25","25","16","135.0","8.4","20.0%"
"13","Adam Vinatieri (FA)","26","33","78.8","53","1","8","4","9","4","37","37","16","132.0","8.3","0.2%"
"14","Shaun Suisham (FA)","28","31","90.3","52","0","7","8","12","1","34","34","16","131.9","8.2","0.0%"
"15","Mason Crosby (NYG)","21","33","63.6","54","0","5","5","9","2","50","50","16","126.0","7.9","0.1%"
"16","Stephen Hauschka (FA)","24","27","88.9","52","1","7","10","5","1","46","46","16","125.0","7.8","0.0%"
"17","Garrett Hartley (FA)","18","22","81.8","53","0","9","4","2","3","57","57","16","119.0","7.4","0.0%"
"18","Alex Henery (FA)","27","31","87.1","49","0","8","8","11","0","25","26","16","117.0","7.3","0.0%"
"19","Rob Bironas (FA)","25","31","80.6","53","0","6","13","5","1","35","35","16","117.0","7.3","0.0%"
"20","Greg Zuerlein (NYJ)","23","31","74.2","60","1","4","4","7","7","26","26","16","116.0","7.3","41.9%"
"21","Ryan Succop (FA)","28","34","82.4","52","0","4","12","10","2","17","17","16","115.0","7.2","0.0%"
"22","Jay Feely (FA)","25","28","89.3","61","0","6","9","8","2","25","25","16","112.0","7.0","0.0%"
"23","Rian Lindell (FA)","21","24","87.5","50","1","3","10","6","1","39","39","16","110.0","6.9","0.0%"
"24","Josh Scobee (FA)","25","28","89.3","50","1","4","8","11","1","18","18","16","106.0","6.6","0.0%"
"25","Robbie Gould (FA)","21","25","84.0","54","0","7","6","6","2","33","33","13","106.0","8.2","0.1%"
"26","Nick Folk (TEN)","21","27","77.8","54","0","7","6","5","3","30","30","16","104.0","6.5","9.8%"
"27","Dan Carpenter (FA)","22","27","81.5","53","0","4","8","8","2","26","26","14","104.0","7.4","0.2%"
"28","Mike Nugent (FA)","19","23","82.6","55","2","5","5","6","1","35","35","12","100.0","8.3","1.0%"
"29","Kai Forbath (LAR)","17","18","94.4","50","0","3","2","11","1","33","33","11","97.0","8.8","3.0%"
"30","Nick Novak (FA)","18","20","90.0","51","1","5","6","4","2","33","33","13","95.0","7.3","0.1%"
"31","Graham Gano (NYG)","9","11","81.8","51","0","3","3","2","1","20","21","6","51.0","8.5","1.3%"
"32","Josh Brown (FA)","11","12","91.7","52","0","3","4","3","1","8","8","4","46.0","11.5","0.0%"
"33","Billy Cundiff (FA)","7","12","58.3","45","0","1","3","3","0","17","17","5","41.0","8.2","0.0%"
"34","Jason Hanson (FA)","32","36","88.9","53","0","0","0","0","0","38","38","16","38.0","2.4","0.0%"
"35","Nate Kaeding (FA)","8","10","80.0","45","1","3","0","4","0","9","9","5","37.0","7.4","0.0%"
"36","Justin Medlock (FA)","7","10","70.0","45","0","0","0","0","0","23","23","10","23.0","2.3","0.0%"
"37","Olindo Mare (FA)","6","8","75.0","40","0","0","0","0","0","7","7","3","7.0","2.3","0.0%"
"38","Jonathan Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"39","John Potter (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
""
""
