"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Demaryius Thomas (FA)","92","142","1,430","15.5","78","19","14","0","0","0","0","16","319.0","19.9","0.1%"
"2","Josh Gordon (FA)","87","159","1,646","18.9","95","30","9","5","88","0","0","14","314.4","22.5","0.0%"
"3","Antonio Brown (FA)","110","166","1,499","13.6","56","23","8","7","4","0","0","16","308.9","19.3","0.8%"
"4","A.J. Green (FA)","98","178","1,426","14.6","82","18","11","0","0","0","0","16","306.6","19.2","0.6%"
"5","Brandon Marshall (FA)","100","163","1,295","13.0","44","16","12","0","0","0","0","16","305.5","19.1","2.6%"
"6","Calvin Johnson (FA)","84","157","1,492","17.8","87","22","12","0","0","0","1","14","303.2","21.7","0.1%"
"7","Dez Bryant (FA)","93","160","1,233","13.3","79","14","13","1","1","0","1","16","292.4","18.3","2.6%"
"8","Alshon Jeffery (FA)","89","150","1,421","16.0","80","20","7","16","105","0","1","16","283.6","17.7","0.0%"
"9","Eric Decker (FA)","87","136","1,288","14.8","61","19","11","0","0","0","1","16","279.8","17.5","0.6%"
"10","Andre Johnson (FA)","109","181","1,407","12.9","62","20","5","0","0","0","0","16","279.7","17.5","0.0%"
"11","Pierre Garcon (FA)","113","181","1,346","11.9","53","16","5","2","19","0","1","16","277.5","17.3","0.0%"
"12","DeSean Jackson (FA)","82","125","1,332","16.2","61","25","9","3","2","0","0","16","269.4","16.8","0.6%"
"13","Jordy Nelson (FA)","85","127","1,314","15.5","76","22","8","0","0","0","0","16","264.4","16.5","0.1%"
"14","Julian Edelman (FA)","105","151","1,056","10.1","44","9","6","2","11","0","0","16","251.7","15.7","12.1%"
"15","Anquan Boldin (FA)","85","129","1,179","13.9","63","19","7","2","11","0","0","16","246.0","15.4","0.1%"
"16","Vincent Jackson (FA)","78","160","1,224","15.7","60","19","7","1","0","0","0","16","242.4","15.2","0.0%"
"17","Larry Fitzgerald (FA)","82","134","954","11.6","75","11","10","2","8","0","1","16","236.2","14.8","0.2%"
"18","T.Y. Hilton (FA)","82","138","1,083","13.2","73","13","5","2","6","0","0","16","220.9","13.8","3.0%"
"19","Keenan Allen (CHI)","71","104","1,046","14.7","43","16","8","0","0","0","2","15","219.6","14.6","89.5%"
"20","Kendall Wright (FA)","94","140","1,079","11.5","45","17","2","0","0","0","0","16","213.9","13.4","0.0%"
"21","Wes Welker (FA)","73","111","778","10.7","33","12","10","0","0","0","1","13","208.8","16.1","0.0%"
"22","Torrey Smith (FA)","65","137","1,128","17.4","74","20","4","0","0","0","0","16","203.8","12.7","0.0%"
"23","Brian Hartline (FA)","76","133","1,016","13.4","50","14","4","0","0","0","0","16","201.6","12.6","0.0%"
"24","Harry Douglas (FA)","85","132","1,067","12.6","80","13","2","0","0","0","2","16","199.7","12.5","0.0%"
"25","Mike Wallace (FA)","73","141","930","12.7","57","11","5","3","33","0","0","16","199.3","12.5","0.0%"
"26","Marques Colston (FA)","75","110","943","12.6","35","13","5","0","0","0","0","15","199.3","13.3","0.0%"
"27","Michael Floyd (FA)","65","112","1,041","16.0","91","17","5","0","0","0","0","16","199.1","12.4","0.0%"
"28","Victor Cruz (FA)","73","122","998","13.7","70","10","4","0","0","0","1","14","194.8","13.9","0.1%"
"29","Marvin Jones Jr. (FA)","51","80","712","14.0","45","10","10","8","65","0","0","16","188.7","11.8","0.1%"
"30","Golden Tate (FA)","64","98","898","14.0","80","12","5","3","31","0","0","16","186.9","11.7","0.0%"
