RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
258,13,Jacksonville Jaguars,JAC,DST22,225,302,264.3,24.8,0
259,13,Boston Scott,PHI,RB71,235,318,264.9,26.4,0
260,13,Logan Thomas,WAS,TE33,236,315,265,22.8,0
261,13,Mack Hollins,ATL,WR91,243,293,265.9,17.7,0
262,13,Kendrick Bourne,NE,WR92,226,295,266.1,20.4,0
263,13,Jerome Ford,CLE,RB72,198,310,266.3,35.6,0
264,13,Khalil Shakir,BUF,WR93,196,293,251.8,34.4,0
265,13,Kendre Miller,NO,RB73,157,322,252.3,56.1,0
266,13,Mac Jones,NE,QB29,254,282,269,10.2,0
267,13,Josh Reynolds,DET,WR94,247,304,269.4,18.9,0
268,13,David Bell,CLE,WR95,214,269,237.8,20.6,0
269,13,Jordan Mason,SF,RB74,245,323,273,23.5,0
270,13,Marvin Jones Jr.,DET,WR96,247,306,273.9,19,0
271,13,Kyren Williams,LAR,RB75,235,330,275.6,33.6,0
272,13,Matt Breida,NYG,RB76,259,296,277.9,13.9,0
273,13,Jalin Hyatt,NYG,WR97,242,301,264.7,23.3,0
274,13,Wil Lutz,NO,K17,269,287,278,5.2,0
275,13,Tank Bigsby,JAC,RB77,238,307,265.5,22.7,0
276,13,Greg Joseph,MIN,K18,276,281,278.9,2.5,0
277,13,Tyjae Spears,TEN,RB78,120,352,248,92,0
278,13,Josh Downs,IND,WR98,210,295,266.7,30.9,0
279,13,Sam Laporta,DET,TE34,167,299,249.4,52.2,0
280,13,Robert Tonyan,CHI,TE35,260,294,280.9,14.1,0
281,13,Jonathan Mingo,CAR,WR99,113,223,180.3,48.2,0
282,13,Devin Duvernay,BAL,WR100,229,315,271,26,0
283,13,Sam Howell,WAS,QB30,197,328,283.4,42.9,0
284,13,Roschon Johnson,FA,RB79,131,350,254.6,96.6,0
285,13,Quez Watkins,PHI,WR101,268,328,285.3,20.7,0
286,13,Greg Zuerlein,NYJ,K19,267,292,285.9,8,0
287,13,Dustin Hopkins,LAC,K20,281,292,287.3,3.1,0
288,13,KJ Hamler,DEN,WR102,263,372,292.1,35.3,0
289,13,J.D. McKissic,FA,RB80,189,313,265.4,42,0
290,13,Latavius Murray,FA,RB81,259,306,284.2,15.4,0
291,13,Desmond Ridder,ATL,QB31,254,341,295.4,28.8,0
292,13,Albert Okwuegbunam,DEN,TE36,257,335,296.1,23.1,0
293,13,Rashee Rice,KC,WR103,240,298,272.4,19.1,0
294,13,Brett Maher,FA,K21,270,332,297.4,17,0
295,13,Tennessee Titans,TEN,DST23,278,318,297.6,13.5,0
296,13,Austin Hooper,LV,TE37,258,376,300.1,38.5,0
297,13,Marvin Mims,DEN,WR104,226,304,275.6,28.3,0
298,13,Kayshon Boutte,FA,WR105,247,302,275.6,21.1,0
299,13,Tyrion Davis-Price,SF,RB82,264,381,302.4,41,0
300,13,Ronald Jones II,DAL,RB83,245,327,300,31,0
301,13,New York Giants,NYG,DST24,279,307,300.3,8.9,0
302,13,Julio Jones,FA,WR106,243,374,285.2,48.4,0
303,13,Laviska Shenault Jr.,CAR,WR107,269,295,282.4,11.1,0
304,14,Jonnu Smith,ATL,TE38,267,299,286.4,13.7,0
305,14,Evan Hull,FA,RB84,117,256,186.5,69.5,0
306,14,Melvin Gordon III,FA,RB85,235,360,289.8,44.1,0
307,14,Chris Boswell,PIT,K22,299,304,301.3,1.6,0
308,14,Kenyan Drake,FA,RB86,259,329,290.4,26.8,0
309,14,Braxton Berrios,MIA,WR108,231,346,291,36.5,0
310,14,Cedric Tillman,CLE,WR109,231,306,276,31.8,0
311,14,Tyler Davis,FA,K23,175,342,292.6,59.8,0
312,14,Chris Evans,CIN,RB87,277,318,293,17.4,0
313,14,DeWayne McBride,FA,RB88,189,353,277,70.5,0
314,14,Tyler Conklin,NYJ,TE39,190,325,277.8,52.1,0
315,14,Israel Abanikanda,FA,RB89,192,329,294.8,51.7,0
316,14,Baker Mayfield,TB,QB32,254,392,318.1,41.1,0
317,14,Luke Musgrave,GB,TE40,246,321,298,28.6,0
318,14,Seattle Seahawks,SEA,DST25,307,323,315.3,5.4,0
319,14,Jarvis Landry,FA,WR110,263,311,283.5,19.3,0
320,14,Minnesota Vikings,MIN,DST26,294,345,316.1,14,0
321,14,Nelson Agholor,BAL,WR111,286,315,300.4,9.5,0
322,14,Brock Purdy,SF,QB33,284,338,316.9,21.6,0
323,14,Jake Ferguson,DAL,TE41,166,348,262.3,74.7,0
324,14,Chosen Anderson,MIA,WR112,261,391,307.4,44.2,0
325,14,Darrell Henderson Jr.,FA,RB90,237,375,306.4,46.8,0
326,14,Rodrigo Blankenship,FA,K24,288,322,303.4,14.2,0
327,14,Greg Dortch,ARI,WR113,222,222,222,0,0
328,14,Eno Benjamin,NO,RB91,272,336,303.6,23.1,0
329,14,Mason Crosby,FA,K25,305,339,313.3,12.1,0
