Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
B.  Quinn,KC,37,-440,37,-448,38,-43.8%,38,-44.4%,37,25.4,219,1018,38,489,2,1,0,7,57.1%,2/51,28,0.2
M. Sanchez,NYJ,38,-593,38,-480,35,-29.4%,34,-25.9%,35,28.2,487,2676,29,1812,13,2,7,18,54.7%,10/101,23,0.9

Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
S.  Hill,DET,128,137,136.4%,146.8%,49.7,12,172,245,2,0,0,0,83.3%,0/0,-4.0
K. Orton,DAL,95,79,110.7%,90.1%,99.6,10,89,192,1,0,0,0,90.0%,0/0,4.0
K. Cousins,WAS,59,55,6.4%,5.0%,77.3,51,429,352,4,1,0,3,70.2%,1/7,-0.6
T.  Lewis,CLE,42,46,6.5%,8.5%,63.5,35,190,246,1,0,0,1,68.8%,1/35,0.1
M. Moore,MIA,40,31,15.5%,9.7%,70.3,21,122,174,1,0,0,0,57.9%,0/0,14.1
C. McCoy,CLE,10,-23,-2.7%,-30.0%,29.3,21,54,116,1,0,0,0,52.9%,1/19,-3.8
T.  Pryor,OAK,4,16,-9.1%,-2.9%,70.9,31,155,166,2,0,0,1,48.4%,0/0,9.1
B. Gradkowski,CIN,-3,-8,-15.0%,-21.3%,35.3,12,60,60,0,1,0,0,45.5%,1/21,1.8
C. Batch,PIT,-8,-14,-13.0%,-14.2%,40.8,74,469,359,1,0,0,4,64.8%,1/25,4.0
T. Tebow,NYJ,-9,-13,-24.2%,-29.5%,27.6,10,32,45,0,0,0,0,75.0%,0/0,6.0
B. Leftwich,PIT,-12,-16,-14.5%,-15.6%,28.1,56,248,268,0,0,0,1,47.2%,2/64,8.8
T. Taylor,BAL,-34,-56,-28.3%,-39.7%,63.3,32,149,113,0,0,0,1,58.6%,1/25,-1.0
B. Hoyer,2TM,-60,-119,-26.5%,-41.5%,33.3,57,300,234,1,1,0,2,56.6%,0/0,-1.8
M. Leinart,OAK,-77,-105,-51.2%,-66.0%,26.9,34,106,50,0,0,0,1,48.5%,0/0,-2.1
G. McElroy,NYJ,-82,-84,-44.6%,-45.5%,17.1,42,146,86,1,0,1,1,61.3%,1/22,-2.8
T. Yates,HOU,-85,-89,-128.3%,-133.3%,43.3,11,34,-57,0,0,1,1,40.0%,0/0,3.5
J.  Campbell,CHI,-129,-166,-50.2%,-61.1%,10.8,57,216,103,2,2,0,2,62.8%,1/9,0.5
R. Lindley,ARI,-482,-601,-55.8%,-66.8%,10.2,184,646,215,0,1,2,7,52.1%,2/33,-3.3

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM
C. Newton,CAR,1,149,2,138,17,11.3%,18,9.6%,114,746,1,809,8,3
R. Wilson,SEA,2,147,3,130,10,22.4%,14,18.3%,82,501,2,652,4,0
A. Luck,IND,3,123,1,139,3,41.0%,3,47.6%,42,270,4,456,5,0
J. Cutler,CHI,4,114,4,109,1,96.2%,1,91.5%,24,248,6,342,0,0
R. Griffin,WAS,5,109,5,106,19,7.9%,19,7.4%,110,816,3,651,7,7
A. Rodgers,GB,6,94,6,90,6,30.6%,6,28.9%,41,276,5,376,2,0
T. Brady,NE,7,56,9,52,4,40.3%,5,36.1%,13,41,11,209,4,0
M. Ryan,ATL,8,54,10,51,5,39.7%,4,36.7%,22,152,13,204,1,0
J. Locker,TEN,9,54,7,58,11,20.4%,10,22.7%,39,292,9,245,1,1
A. Dalton,CIN,10,53,8,54,12,18.9%,12,19.5%,29,137,8,246,4,0
K. Kolb,ARI,11,49,11,48,2,80.7%,2,78.7%,12,103,19,154,1,0
S. Bradford,STL,12,42,14,36,7,29.7%,9,24.5%,21,140,17,170,1,1
A. Smith,SF,13,36,13,37,8,26.0%,8,27.1%,21,142,20,152,0,0
C. Ponder,MIN,14,36,16,25,20,4.2%,21,-0.7%,44,271,10,241,2,2
M. Cassel,KC,15,35,12,47,13,17.8%,7,27.8%,22,148,18,166,1,1
C. Kaepernick,SF,16,31,23,13,24,-1.5%,26,-7.6%,57,406,7,279,5,7
