"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Trey Lance","SF","1","35","28","13","3","61.5","164","0","8.2","0","0","0","1","2","0","0","0","0","0","13","54","0","0","1","3","0","23.1","0","0","0","0","0","11","0.31"
"Justin Fields","CHI","1","23","17","8","0","47.1","121","0","10.2","2","1","1","1","2","2","1","0","11.8","5.9","11","28","0","0","0","3","0","27.3","0","0","0","0","0","14.6","0.63"
"Trevor Lawrence","JAX","1","45","42","24","1","69.4","275","0","10.6","1","0","0","1","2","5","1","0","11.9","2.4","2","4","0","0","0","2","0","100","0","0","0","0","1","14.4","0.32"
"Tua Tagovailoa","MIA","1","37","33","23","1","77.4","270","0","8.3","1","1","0","0","3","0","0","0","0","0","2","0","0","0","1","2","0","100","0","0","0","0","0","14.8","0.4"
"Mac Jones","NE","1","33","30","21","0","72.4","213","0","9.3","1","0","0","1","2","1","0","1","3.3","0","2","0","0","0","1","0","0","0","0","0","0","0","0","11.5","0.35"
"Davis Mills","HST","1","40","37","23","2","71.4","240","0","7.4","2","0","0","0","3","0","0","0","0","0","2","-1","0","0","1","0","0","0","0","0","0","0","0","17.5","0.44"
"Josh Allen","BUF","1","38","31","26","1","87.1","297","0","7.4","3","1","1","2","2","2","1","0","6.5","3.2","10","56","1","0","0","2","1","20","1","1","10","0","0","33.5","0.88"
"Baker Mayfield","CAR","1","32","27","16","0","80","235","0","6.2","1","1","1","1","4","0","0","0","0","0","5","6","1","0","5","2","1","40","0","0","0","0","0","19","0.59"
"Lamar Jackson","BLT","1","34","30","17","2","67.9","213","0","12.4","3","1","1","1","2","2","2","0","6.7","6.7","6","17","0","0","0","1","0","16.7","0","0","0","0","0","21.2","0.62"
"Jordan Love","GB","1","5","5","4","0","100","65","0","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6","0.52"
