"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jake Browning","CIN","10.7","12.4","-1.700000000000001","10.7","12.4","-1.7","1","14","8","8.65","0","0.31","68","104.75","1","1.17","40","26.1609","0","0.209","0","0","0","0"
"Jordan Love","GB","20.3","18","2.3000000000000007","20.3","18","2.3","1","40","27","26.01","0","0.74","322","275.95","2","1.59","0","0","0","0","-6","7.134","0","0.1"
"Lamar Jackson","BLT","24","20","4","24","20","4","1","26","16","14.19","0","0.59","264","188.63","2","1.69","20","26.4771","0","0.1805","34","19.649","0","0.09"
"Tommy DeVito","NYG","22.5","13.5","9","22.5","13.5","9","1","26","18","16.95","0","0.57","246","198.55","3","1.36","7","7.3098","0","0","0","0","0","0"
"Baker Mayfield","TB","13.3","22.3","-9","13.3","22.3","-9","1","45","29","28.32","1","1.39","246","305.28","1","2.65","3","5.5707","0","0","2","3.3512","0","0"
"Aidan O'Connell","LV","12.1","16.4","-4.299999999999999","12.1","16.4","-4.3","1","41","24","25.08","3","1.22","271","319.53","1","1.09","0","0","0","0","3","3.92","0","0.01"
"Tim Boyle","NYJ","0.4","4.7","-4.3","0.4","4.7","-4.3","1","14","7","10.64","1","0.3","33","111.89","0","0.02","0","0","0","0","1","3.773","0","0.01"
"Brock Purdy","SF","26.7","13.3","13.399999999999999","26.7","13.3","13.4","1","25","21","16.97","0","0.73","333","202.31","3","1.21","16","13.0758","0","0","-2","-2","0","0"
"Drew Lock","SEA","-0.9","2.1","-3","-0.9","2.1","-3","1","6","2","3.02","1","0.26","3","58.88","0","0","0","0","0","0","0","0","0","0"
"Zach Wilson","NYJ","7.7","8.5","-0.7999999999999998","7.7","8.5","-0.8","1","15","7","9.47","1","0.22","81","99.31","1","0.53","15","21.6132","0","0","0","4.2826","0","0"
"Will Levis","TEN","14.5","9.9","4.6","14.5","9.9","4.6","1","17","13","11.59","0","0.32","158","121.13","2","1.13","4","6.3612","0","0","-2","2.6648","0","0"
"Tua Tagovailoa","MIA","20.6","19.4","1.2000000000000028","20.6","19.4","1.2","1","39","28","25.43","1","0.76","325","302.48","2","1.87","7","6.3891","0","0","-1","-1","0","0"
