Player,ADP
Jonathan Taylor,10.4
Austin Ekeler,10.4
Todd Gurley,225.3
Saquon Barkley,9.6
Cam Akers,271.7
Boston Scott,238.8
Jerick McKinnon,235.5
Le'Veon Bell,232.3
Devontae Booker,200
Marlon Mack,223.5
Malcolm Brown,218.3
Damien Williams,211.5
Ty Johnson,210.5
Tony Jones,207
Aaron Jones,9.4
Tarik Cohen,206.5
Mark Ingram,221.6
Darrel Williams,213.2
Ty'Son Williams,198.6
Latavius Murray,194.2
Rashaad Penny,190.6
Kenneth Gainwell,177.8
Chuba Hubbard,176.6
Giovani Bernard,174.4
Rhamondre Stevenson,169
Ezekiel Elliott,5.8
Tevin Coleman,167.8
Alexander Mattison,154.2
James White,151.8
Phillip Lindsay,146.2
J.D. McKissic,139.8
Tony Pollard,132.6
David Johnson,129.8
Nyheim Hines,124
Sony Michel,117.8
Jamaal Williams,116.4
Derrick Henry,4
Devin Singletary,112.4
Zack Moss,106.6
Kenyan Drake,106.4
AJ Dillon,105.8
James Conner,100.8
Michael Carter,93.4
Ronald Jones,91.8
Trey Sermon,87.2
Leonard Fournette,86.4
Melvin Gordon,79.6
Alvin Kamara,3
Damien Harris,72
Raheem Mostert,68.8
Gus Edwards,65.2
Chase Edmonds,62
Javonte Williams,60.6
Darrell Henderson,60
Kareem Hunt,57.2
Mike Davis,56.8
Myles Gaskin,49.8
Miles Sanders,38.2
Dalvin Cook,2
D'Andre Swift,36.8
Josh Jacobs,36.4
James Robinson,33.4
Chris Carson,32.4
David Montgomery,30.2
Clyde Edwards-Helaire,24.2
Joe Mixon,20.8
Antonio Gibson,17.6
Najee Harris,15.6
Nick Chubb,10.4
Christian McCaffrey,1
