"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Stephen Gostkowski (FA)","38","41","92.7","54","1","8","13","11","5","44","44","16","179.0","11.2","0.1%"
"2","Matt Prater (ARI)","25","26","96.2","64","2","4","5","8","6","75","75","16","170.0","10.6","1.7%"
"3","Adam Vinatieri (FA)","35","40","87.5","52","0","6","10","15","4","34","34","15","162.0","10.8","0.2%"
"4","Justin Tucker (BAL)","38","41","92.7","61","0","10","12","10","6","26","26","16","162.0","10.1","98.6%"
"5","Stephen Hauschka (FA)","33","35","94.3","53","0","10","9","11","3","44","44","16","160.0","10.0","0.0%"
"6","Phil Dawson (FA)","32","36","88.9","56","0","12","6","10","4","44","44","16","158.0","9.9","0.1%"
"7","Nick Novak (FA)","34","37","91.9","50","1","9","13","9","2","42","42","16","157.0","9.8","0.1%"
"8","Mason Crosby (NYG)","33","37","89.2","57","1","13","8","6","5","42","42","16","157.0","9.8","0.1%"
"9","Dan Bailey (FA)","28","30","93.3","53","2","2","8","10","6","47","47","16","153.0","9.6","0.0%"
"10","Dan Carpenter (FA)","33","36","91.7","55","0","13","6","10","4","32","32","16","149.0","9.3","0.2%"
"11","Jay Feely (FA)","30","36","83.3","52","0","9","7","11","3","37","37","16","144.0","9.0","0.0%"
"12","Nick Folk (TEN)","33","36","91.7","54","0","8","10","12","3","27","27","16","144.0","9.0","9.8%"
"13","Shaun Suisham (FA)","30","32","93.8","48","0","9","13","8","0","39","39","16","135.8","8.5","0.0%"
"14","Robbie Gould (FA)","26","29","89.7","58","0","11","6","6","3","45","45","16","135.0","8.4","0.1%"
"15","Graham Gano (NYG)","24","27","88.9","55","0","9","4","5","6","42","42","16","131.0","8.2","1.3%"
"16","Blair Walsh (FA)","26","30","86.7","54","0","7","12","5","2","43","44","16","130.0","8.1","0.1%"
"17","Ryan Succop (FA)","22","28","78.6","51","0","6","9","6","1","52","52","16","126.0","7.9","0.0%"
"18","Caleb Sturgis (FA)","26","34","76.5","54","1","4","10","8","3","33","33","16","125.0","7.8","0.0%"
"19","Rob Bironas (FA)","25","29","86.2","55","0","10","8","5","2","41","41","16","125.0","7.8","0.0%"
"20","Alex Henery (FA)","23","28","82.1","51","0","8","7","7","1","45","45","16","123.0","7.7","0.0%"
"21","Matt Bryant (FA)","24","27","88.9","53","0","9","7","5","3","39","39","16","122.0","7.6","1.1%"
"22","Greg Zuerlein (NYJ)","26","28","92.9","54","0","7","10","8","1","34","34","16","122.0","7.6","41.9%"
"23","Mike Nugent (FA)","18","22","81.8","54","0","2","6","7","3","52","52","16","119.0","7.4","1.0%"
"24","Randy Bullock (NYG)","26","35","74.3","51","1","7","5","12","1","26","26","16","118.0","7.4","0.1%"
"25","Garrett Hartley (FA)","22","30","73.3","55","2","5","5","9","1","41","41","14","118.0","8.4","0.0%"
"26","Sebastian Janikowski (FA)","21","30","70.0","53","0","6","4","8","3","37","37","16","114.0","7.1","20.0%"
"27","Rian Lindell (FA)","23","29","79.3","54","0","3","12","4","4","31","31","16","112.0","7.0","0.0%"
"28","David Akers (FA)","19","24","79.2","53","1","5","6","4","3","42","42","16","109.0","6.8","0.0%"
"29","Josh Brown (FA)","23","26","88.5","52","0","8","7","7","1","31","31","16","109.0","6.8","0.0%"
"30","Billy Cundiff (FA)","21","26","80.8","51","0","7","5","7","2","32","32","16","106.0","6.6","0.0%"
"31","Josh Scobee (FA)","23","25","92.0","55","0","3","12","4","4","22","22","16","103.0","6.4","0.0%"
"32","Kai Forbath (LAR)","18","22","81.8","50","0","3","10","4","1","26","26","13","86.0","6.6","3.0%"
"33","John Potter (FA)","3","4","75.0","43","0","2","0","1","0","7","7","3","17.0","5.7","0.0%"
"34","Shayne Graham (FA)","2","2","100.0","40","0","1","0","1","0","7","7","2","14.0","7.0","0.0%"
"35","Jonathan Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
""
""
