"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","23.3","31.9","-8.599999999999998","23.3","31.9","-8.6","1","44","22","24.71","1","1.39","259","313.99","1","3.75","42","30.504","0","0","-3","-3","1","0.49"
"Lamar Jackson","BLT","29.1","18.2","10.900000000000002","29.1","18.2","10.9","1","31","22","23.1","0","0.65","202","242.08","0","0.18","27","21.7899","0","0","63","44.8644","2","0.3"
"Blaine Gabbert","KC","-0.9","1.4","-2.3","-0.9","1.4","-2.3","1","5","3","3.47","2","0.12","31","37.24","0","0.05","0","0","0","0","-1","-2","0","0"
"C.J. Beathard","JAX","0.4","0.6","-0.19999999999999996","0.4","0.6","-0.2","1","2","2","1.65","0","0.03","9","15.15","0","0","0","0","0","0","0","0","0","0"
"Brock Purdy","SF","20.3","17.9","2.400000000000002","20.3","17.9","2.4","1","37","25","24.12","0","0.63","310","221.98","2","2.21","0","0","0","0","-1","4.125","0","0.07"
"Zach Wilson","NYJ","6.4","12.1","-5.699999999999999","6.4","12.1","-5.7","1","36","18","20.3","0","0.77","157","215.65","0","0.71","1","14.3685","0","0","0","0","0","0"
"Mike White","MIA","6.6","0.5","6.1","6.6","0.5","6.1","1","2","2","1.23","0","0.09","67","17.35","1","0.01","0","0","0","0","-1","-1","0","0"
"Tua Tagovailoa","MIA","28.4","15.2","13.2","28.4","15.2","13.2","1","26","23","20.18","0","0.59","309","211.04","4","1.84","0","0","0","0","0","0","0","0"
"Geno Smith","SEA","14.4","17.6","-3.200000000000001","14.4","17.6","-3.2","1","36","23","22.83","1","0.72","296","266.65","1","2.01","0","0","0","0","-4","-4","0","0"
"Trevor Lawrence","JAX","15.4","16.5","-1.0999999999999996","15.4","16.5","-1.1","1","40","27","27.71","1","0.77","281","297.07","1","0.79","12","19.4556","0","0.0475","0","0","0","0"
"Gardner Minshew","IND","13.1","16.8","-3.700000000000001","13.1","16.8","-3.7","1","44","27","28.95","0","0.82","227","310.29","1","1.29","0","0","0","0","0","0","0","0"
"Kyle Allen","BUF","-0.2","-0.2","0","-0.2","-0.2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-2","0","0"
"Ryan Tannehill","TEN","4.2","11.1","-6.8999999999999995","4.2","11.1","-6.9","1","25","13","16.02","0","0.58","104","195.8","0","0.96","0","0","0","0","0","0","0","0"
"Jimmy Garoppolo","LV","18.7","24","-5.300000000000001","18.7","24","-5.3","1","44","28","29.21","3","1.31","324","382.15","2","2.23","7","6.5937","0","0","0","3.3712","0","0.01"
"Kenny Pickett","PIT","18.5","11.6","6.9","18.5","11.6","6.9","1","28","16","17.17","0","0.63","235","205.49","2","0.59","10","12.8061","0","0","1","2.8514","0","0.01"
"Tyrod Taylor","NYG","0.2","1","-0.8","0.2","1","-0.8","1","1","0","0.75","0","0.02","0","9.32","0","0","2","6.51","0","0","0","0","0","0"
"Joshua Dobbs","ARZ","17.1","12.8","4.300000000000001","17.1","12.8","4.3","1","21","17","15.52","0","0.38","189","158.14","1","1.24","7","6.5658","0","0.0285","48","10.201","0","0"
"Daniel Jones","NYG","5","10.5","-5.5","5","10.5","-5.5","1","32","22","22.8","1","0.59","137","231.37","0","0.05","0","7.3935","0","0","5","8.9278","0","0"
"Kirk Cousins","MIN","26.7","27","-0.3000000000000007","26.7","27","-0.3","1","50","32","30.93","1","1.07","367","343.66","3","3.39","10","7.719","0","0","0","0","0","0"
"Mac Jones","NE","13.3","12","1.3000000000000007","13.3","12","1.3","1","29","15","16.71","0","0.69","201","217.62","1","0.46","8","7.5516","0","0.0095","5","11.7698","0","0.02"
"C.J. Stroud","HST","20.6","18.2","2.400000000000002","20.6","18.2","2.4","1","30","20","19.94","0","0.66","280","222.41","2","1.38","11","6.8634","0","0.057","3","3.9396","0","0.5"
"Dak Prescott","DAL","15.4","25.1","-9.700000000000001","15.4","25.1","-9.7","1","40","25","26.73","1","0.69","249","245.39","1","3.38","24","22.0596","0","0.038","0","0","0","0"
"Sam Darnold","SF","-0.1","-0.1","0","-0.1","-0.1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","0","0"
"Russell Wilson","DEN","15.2","18.5","-3.3000000000000007","15.2","18.5","-3.3","1","38","23","22.55","1","1.02","306","270.38","1","2.18","0","0","0","0","0","0","0","0"
"Sam Howell","WAS","4.6","13.8","-9.200000000000001","4.6","13.8","-9.2","1","29","19","19.14","4","0.74","170","199.7","0","1.49","18","4.4361","0","0.0285","0","0","0","0"
"Justin Fields","CHI","11.7","22.1","-10.400000000000002","11.7","22.1","-10.4","1","22","11","12.17","1","0.68","100","184.92","1","1.44","22","27.2397","0","0.4275","25","23.8826","0","0.33"
"Desmond Ridder","ATL","8.3","15.9","-7.6","8.3","15.9","-7.6","1","38","21","25.98","0","0.94","201","287.93","0","1.02","1","7.1424","0","0","2","4.8902","0","0"
"Jared Goff","DET","19","18.8","0.1999999999999993","19","18.8","0.2","1","33","22","21.68","1","0.85","243","262.13","1","1.26","3","5.6358","0","0.2375","0","-1.0988","1","0.38"
"Derek Carr","NO","8.1","8.5","-0.40000000000000036","8.1","8.5","-0.4","1","18","13","11.63","0","0.38","103","109.12","1","1.14","0","0","0","0","0","0","0","0"
"Patrick Mahomes","KC","25.7","25.6","0.09999999999999787","25.7","25.6","0.1","1","33","24","22.87","0","0.8","272","224.83","3","3.66","28","20.3763","0","0.114","0","0","0","0"
"Deshaun Watson","CLV","21.2","14.9","6.299999999999999","21.2","14.9","6.3","1","33","27","22.21","0","0.61","289","239.95","2","0.88","4","6.1752","0","0.057","12","10.5056","0","0.07"
"Josh Allen","BUF","22.3","19.8","2.5","22.3","19.8","2.5","1","32","20","19.71","1","0.7","218","247.12","1","1.42","46","34.6239","1","0.247","0","0","0","0"
"Justin Herbert","LAC","29.3","20.9","8.400000000000002","29.3","20.9","8.4","1","47","40","33.56","0","0.96","405","332.45","3","1.98","12","7.5981","0","0","-1","-1","0","0"
"Andy Dalton","CAR","23.5","20.1","3.3999999999999986","23.5","20.1","3.4","1","59","34","37.21","0","1.16","361","416.93","2","0.86","10","6.045","0","0","1","4.851","0","0.01"
"Jameis Winston","NO","4","4.7","-0.7000000000000002","4","4.7","-0.7","1","16","10","10.45","0","0.37","101","118.59","0","0.08","0","0","0","0","0","0","0","0"
