Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,AllPro,ProBowl,Receiving_Points,Year
Brian Quick,STL,24,WR,16,5,35,18,51.4,302,16.8,2,15,42.9,73,8.6,1.1,18.9,0,0,0,51.2,2013
Aldrick Robinson,WAS,25,WR,16,1,46,18,39.1,365,20.3,2,14,37.0,62,7.9,1.1,22.8,0,0,0,57.5,2013
Anthony Sherman,KAN,25,RB,16,8,24,18,75.0,155,8.6,1,8,54.2,26,6.5,1.1,9.7,1,0,0,30.5,2013
Stedman Bailey,STL,23,WR,16,2,25,17,68.0,226,13.3,0,10,52.0,28,9.0,1.1,14.1,0,0,0,31.1,2013
Marquise Goodwin,BUF,23,WR,12,1,32,17,53.1,283,16.6,3,13,43.8,59,8.8,1.4,23.6,1,0,0,54.8,2013
Ladarius Green,SDG,23,WR,16,10,30,17,56.7,376,22.1,3,15,50.0,60,12.5,1.1,23.5,0,0,0,64.1,2013
Darren McFadden,OAK,26,RB,10,7,25,17,68.0,108,6.4,0,4,36.0,16,4.3,1.7,10.8,1,0,0,19.3,2013
Andre Caldwell,DEN,28,WR,16,2,29,16,55.2,200,12.5,3,12,44.8,36,6.9,1.0,12.5,0,0,0,46.0,2013
Frank Gore,SFO,30,RB,16,16,27,16,59.3,141,8.8,0,5,29.6,29,5.2,1.0,8.8,3,0,1,22.1,2013
Robert Meachem,NOR,29,WR,15,5,30,16,53.3,324,20.3,2,9,50.0,60,10.8,1.1,21.6,0,0,0,52.4,2013
Justin Forsett,JAX,28,RB,9,0,16,15,93.8,82,5.5,0,5,31.3,14,5.1,1.7,9.1,1,0,0,15.700000000000001,2013
DeVier Posey,HOU,23,WR,14,0,25,15,60.0,155,10.3,0,5,24.0,42,6.2,1.1,11.1,0,0,0,23.0,2013
Bobby Rainey,2TM,26,RB,15,6,19,15,78.9,46,3.1,1,6,26.3,15,2.4,1.0,3.1,1,0,0,18.1,2013
Antonio Brown,PIT,26,WR,16,16,181,129,71.3,1698,13.2,13,87,60.2,63,9.4,8.1,106.1,2,1,1,312.3,2014
Demaryius Thomas,DEN,27,WR,16,16,184,111,60.3,1619,14.6,11,69,50.5,86,8.8,6.9,101.2,0,0,1,283.4,2014
Julio Jones,ATL,25,WR,15,15,163,104,63.8,1593,15.3,6,76,55.8,79,9.8,6.9,106.2,2,0,1,247.3,2014
Matt Forte,CHI,29,RB,16,16,130,102,78.5,808,7.9,4,28,46.2,56,6.2,6.4,50.5,2,0,0,155.8,2014
Emmanuel Sanders,DEN,27,WR,16,16,141,101,71.6,1404,13.9,9,69,63.8,48,10.0,6.3,87.8,1,0,1,244.9,2014
Golden Tate,DET,26,WR,16,16,144,99,68.8,1331,13.4,4,61,54.2,73,9.2,6.2,83.2,1,0,1,206.6,2014
Jordy Nelson,GNB,29,WR,16,16,151,98,64.9,1519,15.5,13,71,58.9,80,10.1,6.1,94.9,0,0,1,278.9,2014
Julian Edelman,NWE,28,WR,14,13,134,92,68.7,972,10.6,4,50,55.2,69,7.3,6.6,69.4,3,0,0,167.2,2014
Odell Beckham Jr.,NYG,22,WR,12,11,130,91,70.0,1305,14.3,12,58,60.8,80,10.0,7.6,108.8,1,0,1,248.0,2014
Randall Cobb,GNB,24,WR,16,16,127,91,71.7,1287,14.1,12,71,63.0,70,10.1,5.7,80.4,3,0,1,246.20000000000002,2014
Martellus Bennett,CHI,27,TE,16,15,128,90,70.3,916,10.2,6,43,51.6,37,7.2,5.6,57.3,0,0,1,172.60000000000002,2014
Dez Bryant,DAL,26,WR,16,16,136,88,64.7,1320,15.0,16,60,55.1,68,9.7,5.5,82.5,0,1,1,272.0,2014
Jimmy Graham,NOR,28,TE,16,13,125,85,68.0,889,10.5,10,54,62.4,29,7.1,5.3,55.6,2,0,1,191.4,2014
Alshon Jeffery,CHI,24,WR,16,16,145,85,58.6,1133,13.3,10,60,51.0,74,7.8,5.3,70.8,1,0,0,215.8,2014
Andre Johnson,HOU,33,WR,15,15,146,85,58.2,936,11.0,3,50,47.3,35,6.4,5.7,62.4,3,0,0,154.10000000000002,2014
Jeremy Maclin,PHI,26,WR,16,16,143,85,59.4,1318,15.5,10,56,52.4,72,9.2,5.3,82.4,0,0,0,234.3,2014
Jarvis Landry,MIA,22,WR,16,11,112,84,75.0,758,9.0,5,50,52.7,25,6.8,5.3,47.4,7,0,0,147.8,2014
Greg Olsen,CAR,29,TE,16,16,123,84,68.3,1008,12.0,6,55,61.0,38,8.2,5.3,63.0,1,0,1,178.8,2014
Le'Veon Bell,PIT,22,RB,16,16,105,83,79.0,854,10.3,3,41,60.0,48,8.1,5.2,53.4,0,1,1,144.9,2014
Anquan Boldin,SFO,34,WR,16,16,130,83,63.8,1062,12.8,5,56,56.2,76,8.2,5.2,66.4,0,0,0,177.7,2014
Rob Gronkowski,NWE,25,TE,15,10,131,82,62.6,1124,13.7,12,60,55.7,46,8.6,5.5,74.9,0,1,1,225.4,2014
T.Y. Hilton,IND,25,WR,15,15,131,82,62.6,1345,16.4,7,64,56.5,73,10.3,5.5,89.7,3,0,1,217.5,2014
Roddy White,ATL,33,WR,14,14,125,80,64.0,921,11.5,7,55,56.0,39,7.4,5.7,65.8,3,0,0,174.10000000000002,2014
Steve Smith Sr.,BAL,35,WR,16,16,134,79,59.0,1065,13.5,6,45,47.0,80,7.9,4.9,66.6,2,0,0,182.0,2014
Keenan Allen,SDG,22,WR,14,14,121,77,63.6,783,10.2,4,41,49.6,35,6.5,5.5,55.9,2,0,0,140.8,2014
DeAndre Hopkins,HOU,22,WR,16,16,127,76,59.8,1210,15.9,6,57,53.5,76,9.5,4.8,75.6,2,0,0,195.0,2014
Eric Decker,NYJ,27,WR,15,15,115,74,64.3,962,13.0,5,47,53.9,74,8.4,4.9,64.1,0,0,0,163.2,2014
Brandon LaFell,NWE,28,WR,16,13,119,74,62.2,953,12.9,7,50,52.9,56,8.0,4.6,59.6,1,0,0,174.3,2014
Kelvin Benjamin,CAR,23,WR,16,15,145,73,50.3,1008,13.8,9,52,43.4,51,7.0,4.6,63.0,1,0,0,191.3,2014
James Jones,OAK,30,WR,16,10,112,73,65.2,666,9.1,6,40,42.9,42,5.9,4.6,41.6,3,0,0,139.10000000000002,2014
Calvin Johnson,DET,29,WR,13,13,128,71,55.5,1077,15.2,8,59,53.9,67,8.4,5.5,82.8,0,0,1,191.2,2014
Rueben Randle,NYG,23,WR,16,13,127,71,55.9,938,13.2,3,48,48.0,49,7.4,4.4,58.6,0,0,0,147.3,2014
Vincent Jackson,TAM,31,WR,16,16,142,70,49.3,1002,14.3,2,50,46.5,50,7.1,4.4,62.6,1,0,0,147.2,2014
