Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,AllPro,ProBowl,Receiving_Points,Year
Louis Murphy,TAM,27,WR,11,3,56,31,55.4,380,12.3,2,14,48.2,54,6.8,2.8,34.5,1,0,0,65.5,2014
Levine Toilolo,ATL,23,TE,16,16,54,31,57.4,238,7.7,2,15,40.7,20,4.4,1.9,14.9,1,0,0,51.3,2014
Stedman Bailey,STL,24,WR,14,3,46,30,65.2,435,14.5,1,19,63.0,38,9.5,2.1,31.1,0,0,0,64.5,2014
Devonta Freeman,ATL,22,RB,16,0,37,30,81.1,225,7.5,1,8,45.9,36,6.1,1.9,14.1,1,0,0,43.5,2014
Rashad Jennings,NYG,29,RB,11,9,41,30,73.2,226,7.5,0,8,34.1,27,5.5,2.7,20.5,1,0,0,37.6,2014
Dwayne Allen,IND,24,TE,13,13,50,29,58.0,395,13.6,8,24,52.0,41,7.9,2.2,30.4,1,0,0,102.0,2014
Donald Brown,SDG,27,RB,13,3,41,29,70.7,211,7.3,0,7,34.1,24,5.1,2.2,16.2,1,0,0,35.6,2014
Brandon Gibson,MIA,27,WR,14,5,51,29,56.9,295,10.2,1,14,43.1,40,5.8,2.1,21.1,2,0,0,50.0,2014
Mark Ingram,NOR,25,RB,13,9,36,29,80.6,145,5.0,0,5,38.9,14,4.0,2.2,11.2,3,0,1,29.0,2014
Andrew Quarless,GNB,26,TE,16,11,46,29,63.0,323,11.1,3,20,58.7,34,7.0,1.8,20.2,0,0,0,64.80000000000001,2014
Paul Richardson,SEA,22,WR,15,6,44,29,65.9,271,9.3,1,16,50.0,32,6.2,1.9,18.1,1,0,0,47.6,2014
Jacquizz Rodgers,ATL,24,RB,16,1,40,29,72.5,173,6.0,1,9,40.0,14,4.3,1.8,10.8,1,0,0,37.8,2014
Justin Hunter,TEN,23,WR,12,8,67,28,41.8,498,17.8,3,20,37.3,75,7.4,2.3,41.5,0,0,0,81.80000000000001,2014
LeSean McCoy,PHI,26,RB,16,16,37,28,75.7,155,5.5,0,10,43.2,18,4.2,1.8,9.7,4,0,1,29.5,2014
Danny Amendola,NWE,29,WR,16,4,42,27,64.3,200,7.4,1,12,42.9,21,4.8,1.7,12.5,0,0,0,39.5,2014
Jeremy Hill,CIN,22,RB,16,8,32,27,84.4,215,8.0,0,7,46.9,38,6.7,1.7,13.4,5,0,0,35.0,2014
Lance Kendricks,STL,26,TE,16,14,38,27,71.1,259,9.6,5,17,63.2,23,6.8,1.7,16.2,0,0,0,69.4,2014
Jerick McKinnon,MIN,22,RB,11,6,41,27,65.9,135,5.0,0,7,24.4,17,3.3,2.5,12.3,0,0,0,27.0,2014
Trent Richardson,IND,24,RB,15,12,34,27,79.4,229,8.5,0,9,50.0,24,6.7,1.8,15.3,2,0,0,36.400000000000006,2014
Martavis Bryant,PIT,23,WR,10,3,48,26,54.2,549,21.1,8,16,45.8,94,11.4,2.6,54.9,0,0,0,115.9,2014
Vernon Davis,SFO,30,TE,14,14,50,26,52.0,245,9.4,2,11,36.0,29,4.9,1.9,17.5,0,0,0,49.5,2014
Clay Harbor,JAX,27,TE,13,8,35,26,74.3,289,11.1,1,12,42.9,59,8.3,2.0,22.2,0,0,0,47.900000000000006,2014
Dexter McCluster,TEN,25,WR,14,2,36,26,72.2,197,7.6,1,10,44.4,25,5.5,1.9,14.1,1,0,0,38.7,2014
Tim Wright,NWE,24,TE,16,2,33,26,78.8,259,10.0,6,18,66.7,30,7.8,1.6,16.2,0,0,0,74.9,2014
Eric Ebron,DET,21,TE,13,7,47,25,53.2,248,9.9,1,14,44.7,22,5.3,1.9,19.1,0,0,0,43.3,2014
Anthony Fasano,KAN,30,TE,15,13,36,25,69.4,226,9.0,4,15,52.8,22,6.3,1.7,15.1,0,0,0,59.1,2014
Brian Quick,STL,25,WR,7,7,39,25,64.1,375,15.0,3,20,59.0,51,9.6,3.6,53.6,0,0,0,68.0,2014
Jonathan Stewart,CAR,27,RB,13,8,31,25,80.6,181,7.2,1,7,51.6,22,5.8,1.9,13.9,2,0,0,36.6,2014
Jordan Todman,JAX,24,RB,16,1,37,25,67.6,198,7.9,1,6,24.3,26,5.4,1.6,12.4,0,0,0,38.3,2014
Kamar Aiken,BAL,25,WR,16,0,32,24,75.0,267,11.1,3,15,68.8,24,8.3,1.5,16.7,0,0,0,56.7,2014
Marlon Brown,BAL,23,WR,14,1,31,24,77.4,255,10.6,0,16,58.1,22,8.2,1.7,18.2,0,0,0,37.5,2014
Jordan Cameron,CLE,26,TE,10,9,48,24,50.0,424,17.7,2,13,31.3,81,8.8,2.4,42.4,0,0,0,66.4,2014
Josh Gordon,CLE,23,WR,5,5,47,24,51.1,303,12.6,0,16,40.4,32,6.4,4.8,60.6,0,0,0,42.3,2014
Chris Johnson,NYJ,29,RB,16,6,34,24,70.6,151,6.3,1,9,38.2,26,4.4,1.5,9.4,1,0,0,33.1,2014
Jeremy Ross,DET,26,WR,16,13,35,24,68.6,314,13.1,1,15,51.4,59,9.0,1.5,19.6,4,0,0,49.400000000000006,2014
Kyle Rudolph,MIN,25,TE,9,8,34,24,70.6,231,9.6,2,13,64.7,23,6.8,2.7,25.7,1,0,0,47.1,2014
Dion Sims,MIA,23,TE,14,2,36,24,66.7,284,11.8,2,13,58.3,38,7.9,1.7,20.3,0,0,0,52.400000000000006,2014
Victor Cruz,NYG,28,WR,6,6,41,23,56.1,337,14.7,1,13,43.9,61,8.2,3.8,56.2,0,0,0,51.2,2014
Jeff Cumberland,NYJ,27,TE,16,14,47,23,48.9,247,10.7,3,12,36.2,28,5.3,1.4,15.4,0,0,0,54.2,2014
Chase Ford,MIN,24,TE,11,5,35,23,65.7,258,11.2,1,15,57.1,22,7.4,2.1,23.5,0,0,0,43.3,2014
Denard Robinson,JAX,24,RB,13,9,31,23,74.2,124,5.4,0,7,32.3,19,4.0,1.8,9.5,2,0,0,23.9,2014
De'Anthony Thomas,KAN,21,RB,12,3,31,23,74.2,156,6.8,0,8,38.7,30,5.0,1.9,13.0,0,0,0,27.1,2014
Jaron Brown,ARI,24,WR,16,2,32,22,68.8,229,10.4,2,14,53.1,26,7.2,1.4,14.3,1,0,0,45.900000000000006,2014
Brandon Myers,TAM,29,TE,14,6,32,22,68.8,190,8.6,0,8,43.8,26,5.9,1.6,13.6,0,0,0,30.0,2014
Leon Washington,TEN,32,RB,16,0,31,22,71.0,159,7.2,2,8,32.3,25,5.1,1.4,9.9,3,0,0,38.9,2014
Luke Willson,SEA,24,TE,15,10,40,22,55.0,362,16.5,3,14,40.0,80,9.1,1.5,24.1,0,0,0,65.2,2014
Corey Brown,CAR,23,WR,13,3,36,21,58.3,296,14.1,2,12,50.0,47,8.2,1.6,22.8,3,0,0,52.1,2014
Brice Butler,OAK,24,WR,15,0,35,21,60.0,280,13.3,2,14,51.4,55,8.0,1.4,18.7,0,0,0,50.5,2014
Dan Herron,IND,25,RB,16,3,26,21,80.8,173,8.2,0,7,50.0,26,6.7,1.3,10.8,2,0,0,27.8,2014
Ronnie Hillman,DEN,23,RB,8,4,34,21,61.8,139,6.6,1,7,32.4,16,4.1,2.6,17.4,1,0,0,30.4,2014
Austin Seferian-Jenkins,TAM,22,TE,9,9,38,21,55.3,221,10.5,2,12,50.0,30,5.8,2.3,24.6,1,0,0,44.6,2014
Kenbrell Thompkins,2TM,26,WR,14,7,48,21,43.8,262,12.5,0,26,33.3,50,5.5,1.5,18.7,0,0,0,36.7,2014
Damien Williams,MIA,22,RB,16,0,27,21,77.8,187,8.9,1,13,63.0,32,6.9,1.3,11.7,0,0,0,35.2,2014
Toby Gerhart,JAX,27,RB,14,7,24,20,83.3,186,9.3,0,10,62.5,26,7.8,1.4,13.3,1,0,0,28.6,2014
Steven Jackson,ATL,31,RB,15,15,27,20,74.1,148,7.4,0,6,48.1,17,5.5,1.3,9.9,0,0,0,24.8,2014
Richard Rodgers,GNB,22,TE,16,5,30,20,66.7,225,11.3,2,10,50.0,43,7.5,1.3,14.1,0,0,0,44.5,2014
Ben Watson,NOR,34,TE,16,8,31,20,64.5,136,6.8,2,9,35.5,15,4.4,1.3,8.5,0,0,0,35.6,2014
Rhett Ellison,MIN,26,TE,16,13,26,19,73.1,208,10.9,1,12,61.5,40,8.0,1.2,13.0,0,0,0,36.3,2014
Ladarius Green,SDG,24,TE,14,4,25,19,76.0,226,11.9,0,12,60.0,28,9.0,1.4,16.1,0,0,0,32.1,2014
Derek Hagan,TEN,30,WR,16,3,34,19,55.9,254,13.4,1,10,35.3,38,7.5,1.2,15.9,0,0,0,40.900000000000006,2014
Kyle Juszczyk,BAL,23,RB,16,14,27,19,70.4,182,9.6,1,6,59.3,33,6.7,1.2,11.4,2,0,0,33.7,2014
Charles Sims,TAM,24,RB,8,0,27,19,70.4,190,10.0,0,7,37.0,24,7.0,2.4,23.8,2,0,0,28.5,2014
C.J. Spiller,BUF,27,RB,9,5,22,19,86.4,125,6.6,1,7,59.1,25,5.7,2.1,13.9,3,0,0,28.0,2014
Travis Benjamin,CLE,25,WR,16,0,46,18,39.1,314,17.4,3,14,37.0,43,6.8,1.1,19.6,2,0,0,58.400000000000006,2014
Jack Doyle,IND,24,TE,16,1,22,18,81.8,118,6.6,2,7,59.1,20,5.4,1.1,7.4,0,0,0,32.8,2014
Lance Dunbar,DAL,24,RB,16,0,22,18,81.8,217,12.1,0,12,59.1,40,9.9,1.1,13.6,0,0,0,30.700000000000003,2014
Garrett Graham,HOU,28,TE,11,9,28,18,64.3,197,10.9,1,10,50.0,26,7.0,1.6,17.9,0,0,0,34.7,2014
Chris Ivory,NYJ,26,RB,16,10,27,18,66.7,123,6.8,1,4,40.7,23,4.6,1.1,7.7,2,0,0,27.3,2014
Marcedes Lewis,JAX,30,TE,8,8,31,18,58.1,206,11.4,2,10,48.4,63,6.6,2.3,25.8,0,0,0,41.6,2014
Bruce Miller,SFO,27,RB,16,8,25,18,72.0,189,10.5,2,11,60.0,22,7.6,1.1,11.8,1,0,0,39.900000000000006,2014
Bishop Sankey,TEN,22,RB,16,9,23,18,78.3,133,7.4,0,5,47.8,18,5.8,1.1,8.3,2,0,0,22.3,2014
Zac Stacy,STL,23,RB,13,5,23,18,78.3,152,8.4,0,9,60.9,17,6.6,1.4,11.7,2,0,0,24.200000000000003,2014
James Starks,GNB,28,RB,16,0,29,18,62.1,140,7.8,0,6,34.5,28,4.8,1.1,8.8,1,0,0,23.0,2014
Andre Williams,NYG,22,RB,16,7,37,18,48.6,130,7.2,0,6,27.0,24,3.5,1.1,8.1,1,0,0,22.0,2014
Jim Dray,CLE,28,TE,16,8,27,17,63.0,242,14.2,1,12,51.9,31,9.0,1.1,15.1,0,0,0,38.7,2014
Alfred Morris,WAS,26,RB,16,16,26,17,65.4,155,9.1,0,8,38.5,26,6.0,1.1,9.7,2,0,1,24.0,2014
Latavius Murray,OAK,24,RB,15,3,23,17,73.9,143,8.4,0,3,30.4,46,6.2,1.1,9.5,1,0,0,22.8,2014
Brandon Tate,CIN,27,WR,16,4,26,17,65.4,193,11.4,1,12,53.8,50,7.4,1.1,12.1,2,0,0,33.8,2014
Nick Toon,NOR,26,WR,8,2,23,17,73.9,215,12.6,1,13,73.9,24,9.3,2.1,26.9,1,0,0,36.0,2014
Marquess Wilson,CHI,22,WR,7,6,32,17,53.1,140,8.2,1,7,40.6,17,4.4,2.4,20.0,0,0,0,28.5,2014
Bryce Brown,BUF,23,RB,7,2,25,16,64.0,176,11.0,0,8,60.0,40,7.0,2.3,25.1,1,0,0,25.6,2014
Antonio Brown,PIT,27,WR,16,16,193,136,70.5,1834,13.5,10,84,56.0,59,9.5,8.5,114.6,3,1,1,311.4,2015
Julio Jones,ATL,26,WR,16,16,203,136,67.0,1871,13.8,8,93,57.6,70,9.2,8.5,116.9,3,1,1,303.1,2015
DeAndre Hopkins,HOU,23,WR,16,16,192,111,57.8,1521,13.7,11,83,53.6,61,7.9,6.9,95.1,1,0,1,273.6,2015
Jarvis Landry,MIA,23,WR,16,14,166,110,66.3,1157,10.5,4,60,47.0,50,7.0,6.9,72.3,1,0,1,194.7,2015
Larry Fitzgerald,ARI,32,WR,16,16,145,109,75.2,1215,11.1,9,65,65.5,44,8.4,6.8,75.9,2,0,1,230.0,2015
Brandon Marshall,NYJ,31,WR,16,16,173,109,63.0,1502,13.8,14,76,57.2,69,8.7,6.8,93.9,3,0,1,288.70000000000005,2015
Demaryius Thomas,DEN,28,WR,16,16,177,105,59.3,1304,12.4,6,63,49.2,72,7.4,6.6,81.5,2,0,1,218.9,2015
Odell Beckham Jr.,NYG,23,WR,15,15,158,96,60.8,1450,15.1,13,68,53.2,87,9.2,6.4,96.7,2,0,1,271.0,2015
Delanie Walker,TEN,31,TE,15,10,133,94,70.7,1088,11.6,6,53,53.4,61,8.2,6.3,72.5,0,0,1,191.8,2015
Golden Tate,DET,27,WR,16,16,128,90,70.3,813,9.0,6,50,52.3,43,6.4,5.6,50.8,1,0,0,162.3,2015
Calvin Johnson,DET,30,WR,16,16,149,88,59.1,1214,13.8,9,66,53.7,57,8.1,5.5,75.9,1,0,1,219.4,2015
Jeremy Maclin,KAN,27,WR,15,15,124,87,70.2,1088,12.5,8,50,57.3,61,8.8,5.8,72.5,2,0,0,200.3,2015
Jordan Reed,WAS,25,TE,14,8,114,87,76.3,952,10.9,11,54,62.3,32,8.4,6.2,68.0,3,0,0,204.7,2015
A.J. Green,CIN,27,WR,16,16,132,86,65.2,1297,15.1,10,63,60.6,80,9.8,5.4,81.1,1,0,1,232.70000000000002,2015
Michael Crabtree,OAK,28,WR,16,15,146,85,58.2,922,10.8,9,47,47.3,38,6.3,5.3,57.6,1,0,0,188.7,2015
Jordan Matthews,PHI,23,WR,16,12,126,85,67.5,997,11.7,8,46,53.2,78,7.9,5.3,62.3,2,0,0,190.2,2015
Brandin Cooks,NOR,22,WR,16,12,129,84,65.1,1138,13.5,9,45,47.3,71,8.8,5.3,71.1,1,0,0,209.8,2015
Eric Decker,NYJ,28,WR,15,13,132,80,60.6,1027,12.8,12,60,53.8,35,7.8,5.3,68.5,1,0,0,214.7,2015
Theo Riddick,DET,24,RB,16,1,99,80,80.8,697,8.7,3,32,54.5,34,7.0,5.0,43.6,1,0,0,127.7,2015
Allen Robinson,JAX,22,WR,16,16,151,80,53.0,1400,17.5,14,61,49.7,90,9.3,5.0,87.5,0,0,1,264.0,2015
Danny Woodhead,SDG,30,RB,16,2,106,80,75.5,755,9.4,6,39,49.1,61,7.1,5.0,47.2,0,0,0,151.5,2015
Gary Barnidge,CLE,30,TE,16,13,125,79,63.2,1043,13.2,9,52,52.8,40,8.3,4.9,65.2,0,0,1,197.8,2015
Randall Cobb,GNB,25,WR,16,15,129,79,61.2,829,10.5,6,42,45.0,53,6.4,4.9,51.8,1,0,0,158.4,2015
Doug Baldwin,SEA,27,WR,16,16,103,78,75.7,1069,13.7,14,49,65.0,80,10.4,4.9,66.8,1,0,0,229.9,2015
Greg Olsen,CAR,30,TE,16,16,124,77,62.1,1104,14.3,7,52,53.2,52,8.9,4.8,69.0,1,0,1,190.9,2015
Jason Witten,DAL,33,TE,16,16,104,77,74.0,713,9.3,3,37,55.8,35,6.9,4.8,44.6,1,0,0,127.8,2015
Emmanuel Sanders,DEN,28,WR,15,15,136,76,55.9,1135,14.9,6,51,45.6,75,8.3,5.1,75.7,2,0,0,187.5,2015
Kamar Aiken,BAL,26,WR,16,14,127,75,59.1,944,12.6,5,55,52.0,48,7.4,4.7,59.0,1,0,0,161.9,2015
Zach Ertz,PHI,25,TE,15,7,112,75,67.0,853,11.4,2,40,51.8,60,7.6,5.0,56.9,1,0,0,134.8,2015
Mike Evans,TAM,22,WR,15,14,148,74,50.0,1206,16.3,3,63,48.0,68,8.1,4.9,80.4,1,0,0,175.60000000000002,2015
Ben Watson,NOR,35,TE,16,16,110,74,67.3,825,11.1,6,42,56.4,46,7.5,4.6,51.6,1,0,0,155.5,2015
Devonta Freeman,ATL,23,RB,15,13,97,73,75.3,578,7.9,3,21,52.6,44,6.0,4.9,38.5,3,0,1,112.30000000000001,2015
Amari Cooper,OAK,21,WR,16,15,130,72,55.4,1070,14.9,6,47,47.7,68,8.2,4.5,66.9,1,0,1,179.0,2015
Pierre Garcon,WAS,29,WR,16,16,111,72,64.9,777,10.8,6,44,54.1,39,7.0,4.5,48.6,0,0,0,149.7,2015
Rob Gronkowski,NWE,26,TE,15,15,120,72,60.0,1176,16.3,11,52,50.0,76,9.8,4.8,78.4,0,1,1,219.60000000000002,2015
Travis Kelce,KAN,26,TE,16,16,103,72,69.9,875,12.2,5,40,55.3,42,8.5,4.5,54.7,2,0,1,153.5,2015
Anquan Boldin,SFO,35,WR,14,13,111,69,62.2,789,11.4,4,36,46.8,51,7.1,4.9,56.4,1,0,0,137.4,2015
T.Y. Hilton,IND,26,WR,16,15,134,69,51.5,1124,16.3,5,50,45.5,87,8.4,4.3,70.3,1,0,1,176.9,2015
Willie Snead,NOR,23,WR,15,8,101,69,68.3,984,14.3,3,44,58.4,63,9.7,4.6,65.6,2,0,0,150.9,2015
Travis Benjamin,CLE,26,WR,16,15,125,68,54.4,966,14.2,5,38,45.6,61,7.7,4.3,60.4,3,0,0,160.60000000000002,2015
Keenan Allen,SDG,23,WR,8,8,89,67,75.3,725,10.8,4,34,62.9,38,8.1,8.4,90.6,1,0,0,130.0,2015
Danny Amendola,NWE,30,WR,14,7,87,65,74.7,648,10.0,3,32,57.5,41,7.4,4.6,46.3,1,0,0,115.3,2015
John Brown,ARI,25,WR,15,11,101,65,64.4,1003,15.4,7,49,56.4,68,9.9,4.3,66.9,1,0,0,174.8,2015
Marvin Jones,CIN,25,WR,16,13,103,65,63.1,816,12.6,4,34,52.4,47,7.9,4.1,51.0,0,0,0,138.10000000000002,2015
Allen Hurns,JAX,24,WR,15,15,105,64,61.0,1031,16.1,10,49,53.3,80,9.8,4.3,68.7,2,0,0,195.10000000000002,2015
Donte Moncrief,IND,22,WR,16,10,105,64,61.0,733,11.5,6,41,51.4,33,7.0,4.0,45.8,0,0,0,141.3,2015
Julian Edelman,NWE,29,WR,9,9,88,61,69.3,692,11.3,7,37,59.1,59,7.9,6.8,76.9,1,0,0,141.7,2015
Duke Johnson,CLE,22,RB,16,7,74,61,82.4,534,8.8,2,24,41.9,52,7.2,3.8,33.4,1,0,0,95.9,2015
Heath Miller,PIT,33,TE,15,15,81,60,74.1,535,8.9,2,30,58.0,27,6.6,4.0,35.7,0,0,0,95.5,2015
Sammy Watkins,BUF,22,WR,13,13,96,60,62.5,1047,17.5,9,41,55.2,63,10.9,4.6,80.5,0,0,0,188.7,2015
Jamison Crowder,WAS,22,WR,16,6,78,59,75.6,604,10.2,2,34,57.7,44,7.7,3.7,37.8,4,0,0,101.9,2015
Jacob Tamme,ATL,30,TE,15,8,81,59,72.8,657,11.1,1,31,59.3,41,8.1,3.9,43.8,0,0,0,101.2,2015
Shane Vereen,NYG,26,RB,16,0,81,59,72.8,494,8.4,4,22,44.4,37,6.1,3.7,30.9,1,0,0,102.9,2015
Richard Rodgers,GNB,23,TE,16,12,85,58,68.2,510,8.8,8,28,45.9,61,6.0,3.6,31.9,0,0,0,128.0,2015
Rueben Randle,NYG,24,WR,16,16,90,57,63.3,797,14.0,8,36,53.3,72,8.9,3.6,49.8,0,0,0,156.2,2015
Antonio Gates,SDG,35,TE,11,4,85,56,65.9,630,11.3,5,33,55.3,40,7.4,5.1,57.3,0,0,0,121.0,2015
Darren Sproles,PHI,32,RB,16,4,83,55,66.3,388,7.1,1,21,33.7,35,4.7,3.4,24.3,2,0,1,72.30000000000001,2015
Coby Fleener,IND,27,TE,16,11,84,54,64.3,491,9.1,3,23,46.4,57,5.8,3.4,30.7,0,0,0,94.1,2015
Alshon Jeffery,CHI,25,WR,9,8,94,54,57.4,807,14.9,4,43,51.1,50,8.6,6.0,89.7,1,0,0,131.7,2015
Martellus Bennett,CHI,28,TE,11,11,80,53,66.3,439,8.3,3,26,47.5,24,5.5,4.8,39.9,2,0,0,88.4,2015
Tavon Austin,STL,25,WR,16,15,87,52,59.8,473,9.1,5,21,35.6,66,5.4,3.3,29.6,3,0,0,103.30000000000001,2015
Cole Beasley,DAL,26,WR,16,3,75,52,69.3,536,10.3,5,31,52.0,30,7.1,3.3,33.5,2,0,0,109.6,2015
Stefon Diggs,MIN,22,WR,13,9,84,52,61.9,720,13.8,4,30,46.4,40,8.6,4.0,55.4,2,0,0,122.0,2015
Tyler Eifert,CIN,25,TE,13,12,74,52,70.3,615,11.8,13,38,66.2,31,8.3,4.0,47.3,0,0,1,165.5,2015
Michael Floyd,ARI,26,WR,15,6,89,52,58.4,849,16.3,6,40,52.8,60,9.5,3.5,56.6,0,0,0,146.9,2015
Terrance Williams,DAL,26,WR,16,13,93,52,55.9,840,16.2,3,36,51.6,42,9.0,3.3,52.5,0,0,0,128.0,2015
Charles Clay,BUF,26,TE,13,13,77,51,66.2,528,10.4,3,26,46.8,40,6.9,3.9,40.6,1,0,0,96.30000000000001,2015
Tyler Lockett,SEA,23,WR,16,8,69,51,73.9,664,13.0,6,31,66.7,49,9.6,3.2,41.5,2,1,1,127.9,2015
Charles Sims,TAM,25,RB,16,0,70,51,72.9,561,11.0,4,22,51.4,56,8.0,3.2,35.1,2,0,0,105.6,2015
Davante Adams,GNB,23,WR,13,12,94,50,53.2,483,9.7,1,20,45.7,40,5.1,3.8,37.2,0,0,0,79.30000000000001,2015
Martavis Bryant,PIT,24,WR,11,5,92,50,54.3,765,15.3,6,25,44.6,88,8.3,4.5,69.5,1,0,0,137.5,2015
Mark Ingram,NOR,26,RB,12,10,60,50,83.3,405,8.1,0,22,53.3,59,6.8,4.2,33.8,2,0,0,65.5,2015
James Jones,GNB,31,WR,16,15,99,50,50.5,890,17.8,8,40,46.5,65,9.0,3.1,55.6,1,0,0,162.0,2015
Giovani Bernard,CIN,24,RB,16,1,66,49,74.2,472,9.6,0,19,45.5,45,7.2,3.1,29.5,2,0,0,71.7,2015
Jermaine Kearse,SEA,25,WR,16,16,68,49,72.1,685,14.0,5,32,60.3,50,10.1,3.1,42.8,1,0,0,123.0,2015
Kyle Rudolph,MIN,26,TE,16,16,73,49,67.1,495,10.1,5,25,49.3,47,6.8,3.1,30.9,0,0,0,104.0,2015
Jimmy Graham,SEA,29,TE,11,11,74,48,64.9,605,12.6,2,29,54.1,45,8.2,4.4,55.0,0,0,0,96.5,2015
Eric Ebron,DET,22,TE,14,8,70,47,67.1,537,11.4,5,27,52.9,55,7.7,3.4,38.4,0,0,0,107.2,2015
Lamar Miller,MIA,24,RB,16,16,57,47,82.5,397,8.4,2,15,40.4,54,7.0,2.9,24.8,1,0,0,75.2,2015
Bilal Powell,NYJ,27,RB,11,2,63,47,74.6,388,8.3,2,21,39.7,25,6.2,4.3,35.3,2,0,0,74.30000000000001,2015
Nate Washington,HOU,32,WR,14,14,94,47,50.0,658,14.0,4,33,43.6,49,7.0,3.4,47.0,0,0,0,113.3,2015
Robert Woods,BUF,23,WR,14,9,80,47,58.8,552,11.7,3,27,52.5,37,6.9,3.4,39.4,2,0,0,96.7,2015
Owen Daniels,DEN,33,TE,16,16,77,46,59.7,517,11.2,3,27,50.6,37,6.7,2.9,32.3,0,0,0,92.7,2015
Brian Hartline,CLE,29,WR,12,4,77,46,59.7,523,11.4,2,30,49.4,41,6.8,3.8,43.6,1,0,0,87.30000000000001,2015
Steve Smith Sr.,BAL,36,WR,7,7,73,46,63.0,670,14.6,3,29,50.7,50,9.2,6.6,95.7,0,0,0,108.0,2015
Julius Thomas,JAX,27,TE,12,10,80,46,57.5,455,9.9,5,25,47.5,34,5.7,3.8,37.9,0,0,0,98.5,2015
Javorius Allen,BAL,24,RB,16,6,62,45,72.6,353,7.8,2,15,46.8,41,5.7,2.8,22.1,2,0,0,69.80000000000001,2015
Marques Colston,NOR,32,WR,13,5,67,45,67.2,520,11.6,4,26,55.2,53,7.8,3.5,40.0,0,0,0,98.5,2015
Stevie Johnson,SDG,29,WR,10,8,65,45,69.2,497,11.0,3,29,58.5,34,7.6,4.5,49.7,1,0,0,90.2,2015
Matt Forte,CHI,30,RB,13,13,58,44,75.9,389,8.8,3,17,50.0,38,6.7,3.4,29.9,2,0,0,78.9,2015
Ted Ginn Jr.,CAR,30,WR,15,13,97,44,45.4,739,16.8,10,36,42.3,74,7.6,2.9,49.3,0,0,0,155.9,2015
DeMarco Murray,PHI,27,RB,15,8,55,44,80.0,322,7.3,1,13,47.3,44,5.9,2.9,21.5,2,0,0,60.2,2015
Markus Wheaton,PIT,24,WR,16,8,79,44,55.7,749,17.0,5,32,51.9,72,9.5,2.8,46.8,0,0,0,126.9,2015
Rishard Matthews,MIA,26,WR,11,11,61,43,70.5,662,15.4,4,32,67.2,53,10.9,3.9,60.2,0,0,0,111.7,2015
James Starks,GNB,29,RB,16,4,53,43,81.1,392,9.1,3,17,54.7,30,7.4,2.7,24.5,5,0,0,78.7,2015
Roddy White,ATL,34,WR,16,16,70,43,61.4,506,11.8,1,27,50.0,25,7.2,2.7,31.6,0,0,0,78.1,2015
Cecil Shorts,HOU,28,WR,11,4,75,42,56.0,484,11.5,2,27,42.7,42,6.5,3.8,44.0,2,0,0,81.4,2015
Will Tye,NYG,24,TE,13,7,62,42,67.7,464,11.0,3,23,54.8,45,7.5,3.2,35.7,1,0,0,85.4,2015
Andre Johnson,IND,34,WR,16,14,77,41,53.2,503,12.3,4,32,45.5,35,6.5,2.6,31.4,0,0,0,94.80000000000001,2015
Kyle Juszczyk,BAL,24,RB,16,11,56,41,73.2,321,7.8,4,17,44.6,39,5.7,2.6,20.1,0,0,0,76.6,2015
Latavius Murray,OAK,25,RB,16,16,53,41,77.4,232,5.7,0,9,45.3,23,4.4,2.6,14.5,4,0,1,43.7,2015
Darren McFadden,DAL,28,RB,16,10,53,40,75.5,328,8.2,0,12,41.5,21,6.2,2.5,20.5,3,0,0,52.800000000000004,2015
James White,NWE,23,RB,14,1,54,40,74.1,410,10.3,4,19,51.9,68,7.6,2.9,29.3,0,0,0,85.0,2015
DeAngelo Williams,PIT,32,RB,16,10,47,40,85.1,367,9.2,0,15,51.1,34,7.8,2.5,22.9,4,0,0,56.7,2015
Jared Cook,STL,28,TE,16,12,75,39,52.0,481,12.3,0,19,37.3,49,6.4,2.4,30.1,2,0,0,67.6,2015
Jerricho Cotchery,CAR,33,WR,14,3,54,39,72.2,485,12.4,3,26,59.3,59,9.0,2.8,34.6,0,0,0,86.0,2015
Mike Wallace,MIN,29,WR,16,12,72,39,54.2,473,12.1,2,27,41.7,34,6.6,2.4,29.6,0,0,0,78.80000000000001,2015
Vernon Davis,2TM,31,TE,15,9,58,38,65.5,395,10.4,0,42,53.4,43,6.8,2.5,26.3,0,0,0,58.5,2015
Ladarius Green,SDG,25,TE,13,11,63,37,58.7,429,11.6,4,24,49.2,31,6.8,2.8,33.0,0,0,0,85.4,2015
Brandon LaFell,NWE,29,WR,11,7,74,37,50.0,515,13.9,0,22,37.8,54,7.0,3.4,46.8,0,0,0,70.0,2015
Eddie Royal,CHI,29,WR,9,9,50,37,74.0,238,6.4,1,9,36.0,30,4.8,4.1,26.4,0,0,0,48.3,2015
Kenny Britt,STL,27,WR,16,14,72,36,50.0,681,18.9,3,29,44.4,60,9.5,2.3,42.6,0,0,0,104.10000000000001,2015
Harry Douglas,TEN,31,WR,14,12,72,36,50.0,411,11.4,2,22,43.1,51,5.7,2.6,29.4,2,0,0,71.1,2015
Dwayne Harris,NYG,28,WR,15,6,57,36,63.2,396,11.0,4,20,49.1,38,6.9,2.4,26.4,3,0,0,81.6,2015
