Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Larry Fitzgerald*,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,60,58.0,33,6.8,6.7,63.9,2,FitzLa00
2,Antonio Brown*+,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,64,51.3,51,8.3,7.1,85.6,0,BrowAn04
3,Odell Beckham Jr.*,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,66,49.7,75,8.1,6.3,85.4,3,BeckOd00
4,Julian Edelman,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,56,52.2,77,7.0,6.1,69.1,3,EdelJu00
5,Jordy Nelson,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,62,59.2,60,8.3,6.1,78.6,1,NelsJo00
6,Mike Evans*,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,82,53.2,45,7.6,6.0,82.6,0,EvanMi00
7,Doug Baldwin*,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,51,58.4,59,9.0,5.9,70.5,1,BaldDo00
8,Jarvis Landry*,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,53,53.4,71,8.7,5.9,71.0,2,LandJa00
9,Michael Thomas,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,62,67.8,46,9.4,6.1,75.8,2,ThomMi05
10,T.Y. Hilton*,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,66,54.2,63,9.3,5.7,90.5,0,HiltT.00
11,Golden Tate,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,47,49.6,67,8.0,5.7,67.3,2,TateGo00
12,Demaryius Thomas*,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,50,52.8,55,7.5,5.6,67.7,2,ThomDe03
13,Michael Crabtree,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,52.4,56,6.9,5.6,62.7,2,CrabMi00
14,Dennis Pitta,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,37,47.9,30,6.0,5.4,45.6,1,PittDe00
15,Travis Kelce*+,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,55,63.2,80,9.6,5.3,70.3,0,KelcTr00
16,Stefon Diggs,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,48,63.4,46,8.1,6.5,69.5,0,DiggSt00
17,Amari Cooper*,OAK,22,WR,16,14,132,83,62.9%,1153,13.9,5,49,46.2,64,8.7,5.2,72.1,2,CoopAm00
18,Julio Jones*+,ATL,27,WR,14,14,129,83,64.3%,1409,17.0,6,64,58.9,75,10.9,5.9,100.6,0,JoneJu02
19,Kyle Rudolph,MIN,27,TE,16,16,132,83,62.9%,840,10.1,7,50,50.0,44,6.4,5.2,52.5,0,RudoKy00
20,David Johnson*+,ARI,25,RB,16,16,120,80,66.7%,879,11.0,4,42,48.3,58,7.3,5.0,54.9,5,JohnDa08
21,Greg Olsen*,CAR,31,TE,16,16,129,80,62.0%,1073,13.4,3,54,57.4,78,8.3,5.0,67.1,0,OlseGr00
22,Pierre Garcon,WAS,30,WR,16,16,114,79,69.3%,1041,13.2,3,53,60.5,70,9.1,4.9,65.1,0,GarcPi00
23,Emmanuel Sanders*,DEN,29,WR,16,16,137,79,57.7%,1032,13.1,5,50,51.1,64,7.5,4.9,64.5,1,SandEm00
24,Brandin Cooks,NOR,23,WR,16,12,117,78,66.7%,1173,15.0,8,46,52.1,98,10.0,4.9,73.3,1,CookBr00
25,Zach Ertz,PHI,26,TE,14,12,106,78,73.6%,816,10.5,4,42,57.5,30,7.7,5.6,58.3,0,ErtzZa00
26,DeAndre Hopkins,HOU,24,WR,16,16,151,78,51.7%,954,12.2,4,57,47.0,51,6.3,4.9,59.6,0,HopkDe00
27,Terrelle Pryor,CLE,27,WR,16,15,140,77,55.0%,1007,13.1,4,50,49.3,54,7.2,4.8,62.9,1,PryoTe00
28,Davante Adams,GNB,24,WR,16,15,121,75,62.0%,997,13.3,12,46,48.8,66,8.2,4.7,62.3,2,AdamDa01
29,Cole Beasley,DAL,27,WR,16,6,98,75,76.5%,833,11.1,5,51,69.4,47,8.5,4.7,52.1,0,BeasCo00
30,Le'Veon Bell*,PIT,24,RB,12,12,94,75,79.8%,616,8.2,2,32,58.5,32,6.6,6.3,51.3,4,BellLe00
31,Jordan Matthews,PHI,24,WR,14,13,117,73,62.4%,804,11.0,3,38,48.7,54,6.9,5.2,57.4,1,MattJo00
32,Allen Robinson,JAX,23,WR,16,16,151,73,48.3%,883,12.1,6,51,41.7,42,5.8,4.6,55.2,1,RobiAl02
33,Willie Snead,NOR,24,WR,15,4,104,72,69.2%,895,12.4,4,51,60.6,49,8.6,4.8,59.7,2,SneaWi00
34,Mike Wallace,BAL,30,WR,16,16,116,72,62.1%,1017,14.1,4,43,49.1,95,8.8,4.5,63.6,1,WallMi00
35,Steve Smith Sr.,BAL,37,WR,14,14,101,70,69.3%,799,11.4,5,39,55.4,52,7.9,5.0,57.1,0,SmitSt01
36,Adam Thielen,MIN,26,WR,16,10,92,69,75.0%,967,14.0,5,44,60.9,71,10.5,4.3,60.4,2,ThieAd00
37,Tyrell Williams,SDG,24,WR,16,12,119,69,58.0%,1059,15.3,7,48,48.7,51,8.9,4.3,66.2,0,WillTy00
38,Jason Witten,DAL,34,TE,16,16,95,69,72.6%,673,9.8,3,34,51.6,35,7.1,4.3,42.1,1,WittJa00
39,Kenny Britt,LAR,28,WR,15,15,111,68,61.3%,1002,14.7,5,47,51.4,66,9.0,4.5,66.8,2,BritKe00
40,Anquan Boldin,DET,36,WR,16,16,95,67,70.5%,584,8.7,8,41,58.9,35,6.1,4.2,36.5,0,BoldAn00
41,Jamison Crowder,WAS,23,WR,16,9,99,67,67.7%,847,12.6,7,34,49.5,55,8.6,4.2,52.9,2,CrowJa00
42,A.J. Green*,CIN,28,WR,10,10,100,66,66.0%,964,14.6,4,42,54.0,54,9.6,6.6,96.4,0,GreeA.00
43,Cameron Meredith,CHI,24,WR,14,10,97,66,68.0%,888,13.5,4,44,56.7,50,9.2,4.7,63.4,3,MereCa00
44,Jordan Reed*,WAS,26,TE,12,8,89,66,74.2%,686,10.4,6,41,59.6,33,7.7,5.5,57.2,1,ReedJo02
45,Jimmy Graham*,SEA,30,TE,16,15,95,65,68.4%,923,14.2,6,45,58.9,42,9.7,4.1,57.7,2,GrahJi00
46,Rishard Matthews,TEN,27,WR,16,9,108,65,60.2%,945,14.5,9,43,55.6,60,8.8,4.1,59.1,1,MattRi00
47,Sterling Shepard,NYG,23,WR,16,16,105,65,61.9%,683,10.5,8,42,49.5,32,6.5,4.1,42.7,0,ShepSt00
48,Delanie Walker*,TEN,32,TE,15,9,102,65,63.7%,800,12.3,7,35,49.0,47,7.8,4.3,53.3,1,WalkHu00
49,Jeremy Kerley,SFO,28,WR,16,13,115,64,55.7%,667,10.4,3,33,42.6,33,5.8,4.0,41.7,4,KerlJe00
50,Brandon LaFell,CIN,30,WR,16,14,107,64,59.8%,862,13.5,6,42,51.4,86,8.1,4.0,53.9,0,LaFeBr00
51,Kelvin Benjamin,CAR,25,WR,16,13,118,63,53.4%,941,14.9,7,50,49.2,50,8.0,3.9,58.8,1,BenjKe00
52,Marqise Lee,JAX,25,WR,16,6,105,63,60.0%,851,13.5,3,44,54.3,51,8.1,3.9,53.2,1,LeexMa00
53,Eric Ebron,DET,23,TE,13,13,85,61,71.8%,711,11.7,1,37,62.4,61,8.4,4.7,54.7,0,EbroEr00
54,Tyreek Hill*+,KAN,22,WR,16,1,83,61,73.5%,593,9.7,6,31,50.6,49,7.1,3.8,37.1,4,HillTy00
55,Randall Cobb,GNB,26,WR,13,10,84,60,71.4%,610,10.2,4,36,57.1,47,7.3,4.6,46.9,1,CobbRa00
56,James White,NWE,24,RB,16,4,86,60,69.8%,551,9.2,5,26,45.3,61,6.4,3.8,34.4,0,WhitJa02
57,Jack Doyle,IND,26,TE,16,14,75,59,78.7%,584,9.9,5,32,64.0,24,7.8,3.7,36.5,1,DoylJa00
58,Brandon Marshall,NYJ,32,WR,15,15,128,59,46.1%,788,13.4,3,45,40.6,41,6.2,3.9,52.5,0,MarsBr00
59,Mohamed Sanu,ATL,27,WR,15,15,81,59,72.8%,653,11.1,4,33,61.7,59,8.1,3.9,43.5,1,SanuMo00
60,Tavon Austin,LAR,26,WR,15,15,106,58,54.7%,509,8.8,3,25,34.0,43,4.8,3.9,33.9,5,AustTa00
61,Quincy Enunwa,NYJ,24,WR,16,13,105,58,55.2%,857,14.8,4,37,44.8,69,8.2,3.6,53.6,0,EnunQu00
62,Dontrelle Inman,SDG,27,WR,16,16,97,58,59.8%,810,14.0,4,37,47.4,57,8.4,3.6,50.6,0,InmaDo00
63,Bilal Powell,NYJ,28,RB,16,4,74,58,78.4%,388,6.7,2,21,43.2,22,5.2,3.6,24.3,1,PoweBi00
64,Cameron Brate,TAM,25,TE,15,10,81,57,70.4%,660,11.6,8,40,60.5,38,8.1,3.8,44.0,1,BratCa00
65,Charles Clay,BUF,27,TE,15,15,87,57,65.5%,552,9.7,4,22,47.1,40,6.3,3.8,36.8,0,ClayCh00
66,DeSean Jackson,WAS,30,WR,15,15,100,56,56.0%,1005,17.9,4,35,48.0,80,10.1,3.7,67.0,0,JackDe00
67,DeVante Parker,MIA,23,WR,15,8,87,56,64.4%,744,13.3,4,35,50.6,56,8.6,3.7,49.6,0,ParkDe01
68,Gary Barnidge,CLE,31,TE,16,16,82,55,67.1%,612,11.1,2,34,52.4,43,7.5,3.4,38.3,0,BarnGa01
69,Martellus Bennett,NWE,29,TE,16,12,73,55,75.3%,701,12.7,7,31,54.8,58,9.6,3.4,43.8,0,BennMa00
70,Adam Humphries,TAM,23,WR,15,4,83,55,66.3%,622,11.3,2,27,50.6,42,7.5,3.7,41.5,3,HumpAd00
71,Marvin Jones,DET,26,WR,15,15,103,55,53.4%,930,16.9,4,41,47.6,73,9.0,3.7,62.0,0,JoneMa02
72,Tyler Boyd,CIN,22,WR,16,2,81,54,66.7%,603,11.2,1,33,55.6,30,7.4,3.4,37.7,1,BoydTy00
73,C.J. Fiedorowicz,HOU,25,TE,15,15,89,54,60.7%,559,10.4,4,30,48.3,26,6.3,3.6,37.3,1,FiedC.00
74,Devonta Freeman*,ATL,24,RB,16,16,65,54,83.1%,462,8.6,2,22,56.9,35,7.1,3.4,28.9,1,FreeDe00
75,Ted Ginn Jr.,CAR,31,WR,16,8,95,54,56.8%,752,13.9,4,27,42.1,88,7.9,3.4,47.0,3,GinnTe00
76,Antonio Gates,SDG,36,TE,14,9,93,53,57.0%,548,10.3,7,34,52.7,27,5.9,3.8,39.1,1,GateAn00
77,Duke Johnson,CLE,23,RB,16,1,74,53,71.6%,514,9.7,0,24,47.3,32,6.9,3.3,32.1,2,JohnDu00
78,DeMarco Murray*,TEN,28,RB,16,16,67,53,79.1%,377,7.1,3,20,34.3,35,5.6,3.3,23.6,3,MurrDe00
79,Theo Riddick,DET,25,RB,10,8,67,53,79.1%,371,7.0,5,20,47.8,23,5.5,5.3,37.1,0,RiddTh00
80,Alshon Jeffery,CHI,26,WR,12,12,94,52,55.3%,821,15.8,2,42,53.2,54,8.7,4.3,68.4,0,JeffAl00
81,Cordarrelle Patterson*+,MIN,25,WR,16,8,70,52,74.3%,453,8.7,2,23,51.4,39,6.5,3.3,28.3,2,PattCo00
82,Darren Sproles*,PHI,33,RB,15,5,71,52,73.2%,427,8.2,2,19,45.1,73,6.0,3.5,28.5,1,SproDa00
83,Robert Woods,BUF,24,WR,13,10,76,51,67.1%,613,12.0,1,34,56.6,34,8.1,3.9,47.2,0,WoodRo02
84,Dez Bryant*,DAL,28,WR,13,13,96,50,52.1%,796,15.9,8,38,50.0,56,8.3,3.8,61.2,1,BryaDe01
85,Coby Fleener,NOR,28,TE,16,8,81,50,61.7%,631,12.6,3,28,56.8,50,7.8,3.1,39.4,2,FleeCo00
86,Ryan Griffin,HOU,26,TE,16,5,74,50,67.6%,442,8.8,2,19,51.4,45,6.0,3.1,27.6,1,GrifRy00
87,Lance Kendricks,LAR,28,TE,16,16,87,50,57.5%,499,10.0,2,22,42.5,44,5.7,3.1,31.2,1,KendLa00
88,LeSean McCoy*,BUF,28,RB,15,15,57,50,87.7%,356,7.1,1,17,54.4,41,6.2,3.3,23.7,3,McCoLe01
89,T.J. Yeldon,JAX,23,RB,15,13,68,50,73.5%,312,6.2,1,16,38.2,17,4.6,3.3,20.8,2,YeldT.00
90,Chris Thompson,WAS,26,RB,16,0,62,49,79.0%,349,7.1,2,19,46.8,38,5.6,3.1,21.8,2,ThomCh03
91,Eli Rogers,PIT,24,WR,13,8,66,48,72.7%,594,12.4,3,24,57.6,39,9.0,3.7,45.7,2,RogeEl00
92,Will Tye,NYG,25,TE,16,10,70,48,68.6%,395,8.2,1,16,54.3,27,5.6,3.0,24.7,0,TyexWi00
93,Travis Benjamin,SDG,27,WR,14,8,75,47,62.7%,677,14.4,4,25,52.0,54,9.0,3.4,48.4,5,BenjTr00
94,Will Fuller,HOU,22,WR,14,13,92,47,51.1%,635,13.5,2,31,39.1,53,6.9,3.4,45.4,2,FullWi01
95,Zach Miller,CHI,32,TE,10,8,64,47,73.4%,486,10.3,4,28,62.5,34,7.6,4.7,48.6,0,MillZa02
96,Mark Ingram,NOR,27,RB,16,14,58,46,79.3%,319,6.9,4,18,53.4,22,5.5,2.9,19.9,2,IngrMa01
97,Chris Conley,KAN,24,WR,16,11,69,44,63.8%,530,12.0,0,30,56.5,39,7.7,2.8,33.1,1,ConlCh00
98,Vernon Davis,WAS,32,TE,16,14,59,44,74.6%,583,13.3,2,22,62.7,44,9.9,2.8,36.4,0,DaviVe00
99,Jeremy Maclin,KAN,28,WR,12,12,76,44,57.9%,536,12.2,2,29,47.4,44,7.1,3.7,44.7,0,MaclJe00
100,Ty Montgomery,GNB,23,RB,15,6,56,44,78.6%,348,7.9,0,20,51.8,24,6.2,2.9,23.2,2,MontTy01
101,Terrance Williams,DAL,27,WR,16,15,61,44,72.1%,594,13.5,4,34,65.6,47,9.7,2.8,37.1,1,WillTe01
102,Todd Gurley,LAR,22,RB,16,16,58,43,74.1%,327,7.6,0,16,39.7,33,5.6,2.7,20.4,2,GurlTo01
103,Jerick McKinnon,MIN,24,RB,15,7,53,43,81.1%,255,5.9,2,17,43.4,41,4.8,2.9,17.0,0,McKiJe00
104,Robbie Chosen,NYJ,23,WR,16,8,78,42,53.8%,587,14.0,2,19,43.6,52,7.5,2.6,36.7,1,AndeRo04
105,Kenny Stills,MIA,24,WR,16,16,81,42,51.9%,726,17.3,9,30,45.7,74,9.0,2.6,45.4,0,StilKe00
106,Melvin Gordon*,SDG,23,RB,13,11,57,41,71.9%,419,10.2,2,21,57.9,35,7.4,3.2,32.2,2,GordMe00
107,Jermaine Kearse,SEA,26,WR,16,15,89,41,46.1%,510,12.4,1,24,41.6,36,5.7,2.6,31.9,0,KearJe01
108,Tyler Lockett,SEA,24,WR,15,9,66,41,62.1%,597,14.6,1,23,50.0,57,9.0,2.7,39.8,0,LockTy00
109,Brian Quick,LAR,27,WR,16,8,77,41,53.2%,564,13.8,3,22,40.3,65,7.3,2.6,35.3,0,QuicBr00
110,Tajae Sharpe,TEN,22,WR,16,10,83,41,49.4%,522,12.7,2,27,45.8,34,6.3,2.6,32.6,0,SharTa00
111,Travaris Cadet,NOR,27,RB,15,1,54,40,74.1%,281,7.0,4,18,53.7,25,5.2,2.7,18.7,0,CadeTr00
112,Isaiah Crowell,CLE,23,RB,16,16,53,40,75.5%,319,8.0,0,14,49.1,44,6.0,2.5,19.9,2,CrowIs00
113,Giovani Bernard,CIN,25,RB,10,2,51,39,76.5%,336,8.6,1,16,49.0,32,6.6,3.9,33.6,1,BernGi00
114,John Brown,ARI,26,WR,15,6,73,39,53.4%,517,13.3,2,28,50.7,30,7.1,2.6,34.5,1,BrowJo02
115,Victor Cruz,NYG,30,WR,15,12,72,39,54.2%,586,15.0,1,25,47.2,48,8.1,2.6,39.1,1,CruzVi00
116,Jesse James,PIT,22,TE,16,13,60,39,65.0%,338,8.7,3,20,51.7,24,5.6,2.4,21.1,0,JameJe00
117,Frank Gore,IND,33,RB,16,16,47,38,80.9%,277,7.3,4,14,53.2,49,5.9,2.4,17.3,2,GoreFr00
118,Chris Hogan,NWE,29,WR,15,14,58,38,65.5%,680,17.9,4,23,55.2,79,11.7,2.5,45.3,1,HogaCh00
119,Seth Roberts,OAK,25,WR,16,6,77,38,49.4%,397,10.4,5,22,37.7,41,5.2,2.4,24.8,0,RobeSe00
120,Trey Burton,PHI,25,TE,15,4,60,37,61.7%,327,8.8,1,21,43.3,32,5.5,2.5,21.8,0,BurtTr01
121,Michael Floyd,2TM,27,WR,15,8,76,37,48.7%,488,13.2,5,31,92.1,39,6.4,2.5,32.5,0,FloyMi00
122,Jermaine Gresham,ARI,28,TE,16,14,61,37,60.7%,391,10.6,2,19,50.8,34,6.4,2.3,24.4,1,GresJe00
123,Kyle Juszczyk*,BAL,25,RB,16,7,49,37,75.5%,266,7.2,0,12,38.8,40,5.4,2.3,16.6,0,JuszKy00
124,Quinton Patton,SFO,26,WR,14,14,63,37,58.7%,408,11.0,0,22,46.0,45,6.5,2.6,29.1,1,PattQu00
125,Nelson Agholor,PHI,23,WR,15,14,69,36,52.2%,365,10.1,2,15,39.1,40,5.3,2.4,24.3,1,AghoNe00
126,Dorial Green-Beckham,PHI,23,WR,15,7,74,36,48.6%,392,10.9,2,25,44.6,26,5.3,2.4,26.1,0,GreeDo00
127,Hunter Henry,SDG,22,TE,15,10,53,36,67.9%,478,13.3,8,30,62.3,59,9.0,2.4,31.9,1,HenrHu00
128,Dwayne Allen,IND,26,TE,14,14,52,35,67.3%,406,11.6,6,25,63.5,23,7.8,2.5,29.0,1,AlleDw00
129,Taylor Gabriel,ATL,25,WR,13,3,50,35,70.0%,579,16.5,6,23,54.0,76,11.6,2.7,44.5,0,GabrTa00
130,Allen Hurns,JAX,25,WR,11,11,76,35,46.1%,477,13.6,3,23,39.5,42,6.3,3.2,43.4,1,HurnAl01
131,Rashad Jennings,NYG,31,RB,13,12,42,35,83.3%,201,5.7,1,8,35.7,24,4.8,2.7,15.5,1,JennRa00
132,JJ Nelson,ARI,24,WR,15,6,74,34,45.9%,568,16.7,6,26,44.6,80,7.7,2.3,37.9,1,NelsJJ00
133,Terrance West,BAL,25,RB,16,13,45,34,75.6%,236,6.9,1,11,53.3,17,5.2,2.1,14.8,2,WestTe00
134,Corey Coleman,CLE,22,WR,10,10,73,33,45.2%,413,12.5,3,18,37.0,58,5.7,3.3,41.3,0,ColeCo00
135,Phillip Dorsett,IND,23,WR,15,7,59,33,55.9%,528,16.0,2,20,44.1,64,8.9,2.2,35.2,1,DorsPh00
136,Andrew Hawkins,CLE,30,WR,16,5,54,33,61.1%,324,9.8,3,20,46.3,33,6.0,2.1,20.3,0,HawkAn00
137,Latavius Murray,OAK,26,RB,14,12,43,33,76.7%,264,8.0,0,11,48.8,39,6.1,2.4,18.9,2,MurrLa00
138,Breshad Perriman,BAL,23,WR,16,1,66,33,50.0%,499,15.1,3,19,36.4,53,7.6,2.1,31.2,0,PerrBr02
139,Eddie Royal,CHI,30,WR,9,1,43,33,76.7%,369,11.2,2,16,46.5,64,8.6,3.7,41.0,2,RoyaEd00
140,Clive Walford,OAK,25,TE,15,8,52,33,63.5%,359,10.9,3,19,42.3,31,6.9,2.2,23.9,0,WalfCl00
141,Spencer Ware,KAN,25,RB,14,14,42,33,78.6%,447,13.5,2,17,57.1,46,10.6,2.4,31.9,4,WareSp00
142,Matt Asiata,MIN,29,RB,16,6,38,32,84.2%,263,8.2,0,9,44.7,31,6.9,2.0,16.4,1,AsiaMa00
143,Ezekiel Elliott*+,DAL,21,RB,15,15,39,32,82.1%,363,11.3,1,11,48.7,83,9.3,2.1,24.2,5,ElliEz00
144,Malcolm Mitchell,NWE,24,WR,14,6,48,32,66.7%,401,12.5,4,23,58.3,56,8.4,2.3,28.6,0,MitcMa01
145,Devontae Booker,DEN,24,RB,16,6,45,31,68.9%,265,8.5,1,8,40.0,43,5.9,1.9,16.6,4,BookDe00
146,Tevin Coleman,ATL,23,RB,13,0,40,31,77.5%,421,13.6,3,16,45.0,49,10.5,2.4,32.4,1,ColeTe01
147,Lamar Miller,HOU,25,RB,14,14,39,31,79.5%,188,6.1,1,9,56.4,16,4.8,2.2,13.4,2,MillLa01
148,Albert Wilson,KAN,24,WR,16,5,51,31,60.8%,279,9.0,2,11,37.3,42,5.5,1.9,17.4,0,WilsAl02
149,Jared Cook,GNB,29,TE,10,5,51,30,58.8%,377,12.6,1,19,47.1,47,7.4,3.0,37.7,1,CookJa02
150,Kenneth Dixon,BAL,22,RB,12,0,41,30,73.2%,162,5.4,1,7,34.1,16,4.0,2.5,13.5,1,DixoKe00
151,Matt Forte,NYJ,31,RB,14,13,43,30,69.8%,263,8.8,1,10,48.8,40,6.1,2.1,18.8,1,FortMa00
152,Donte Moncrief,IND,23,WR,9,7,56,30,53.6%,307,10.2,7,22,48.2,39,5.5,3.3,34.1,0,MoncDo00
153,Richard Rodgers,GNB,24,TE,16,6,47,30,63.8%,271,9.0,2,15,55.3,22,5.8,1.9,16.9,0,RodgRi00
154,Julius Thomas,JAX,28,TE,9,6,51,30,58.8%,281,9.4,4,15,41.2,24,5.5,3.3,31.2,0,ThomJu00
155,Kamar Aiken,BAL,27,WR,16,6,50,29,58.0%,328,11.3,1,18,42.0,29,6.6,1.8,20.5,0,AikeKa00
156,Garrett Celek,SFO,28,TE,16,6,50,29,58.0%,350,12.1,3,20,52.0,31,7.0,1.8,21.9,2,CeleGa00
157,Shaun Draughn,SFO,29,RB,16,1,39,29,74.4%,263,9.1,2,10,43.6,29,6.7,1.8,16.4,1,DrauSh00
158,Tyler Eifert,CIN,26,TE,8,2,47,29,61.7%,394,13.6,5,23,59.6,71,8.4,3.6,49.3,0,EifeTy00
159,Marquise Goodwin,BUF,26,WR,15,9,68,29,42.6%,431,14.9,3,20,39.7,84,6.3,1.9,28.7,0,GoodMa00
160,Jordan Howard*,CHI,22,RB,15,13,50,29,58.0%,298,10.3,1,12,44.0,34,6.0,1.9,19.9,2,HowaJo00
161,Jalen Richard,OAK,23,RB,16,0,39,29,74.4%,194,6.7,2,8,30.8,29,5.0,1.8,12.1,0,RichJa01
162,Kendall Wright,TEN,27,WR,11,4,42,29,69.0%,416,14.3,3,18,54.8,48,9.9,2.6,37.8,0,WrigKe01
163,Sammy Watkins,BUF,23,WR,8,8,52,28,53.8%,430,15.4,2,20,51.9,62,8.3,3.5,53.8,0,WatkSa00
164,Charcandrick West,KAN,25,RB,15,2,34,28,82.4%,188,6.7,2,11,41.2,28,5.5,1.9,12.5,0,WestCh01
165,Jay Ajayi*,MIA,23,RB,15,12,35,27,77.1%,151,5.6,0,8,45.7,15,4.3,1.8,10.1,4,AjayJa00
166,Corey Brown,CAR,25,WR,16,8,53,27,50.9%,276,10.2,1,16,37.7,27,5.2,1.7,17.3,1,BrowPh00
