Player,ADP
Mike Evans,23.4
Terrelle Pryor,255.7
Phillip Dorsett,248.3
Cole Beasley,248
Tre'Quan Smith,246.7
Quincy Enunwa,242.3
A.J. Green,20.2
Taywan Taylor,240.7
Terrance Williams,234.3
James Washington,227.7
Donte Moncrief,220.3
Martavis Bryant,190.3
Christian Kirk,189
Mike Wallace,227.8
Ted Ginn,187.7
Tyrell Williams,183
Marqise Lee,156
Davante Adams,18.8
Geronimo Allison,190.8
Paul Richardson,171.3
Dede Westbrook,168.5
DeSean Jackson,168.3
Rishard Matthews,163.3
Dez Bryant,161.5
Mohamed Sanu,158
Courtland Sutton,194.4
Danny Amendola,187.6
John Ross,180.2
Keenan Allen,16.4
John Brown,173.2
Mike Williams,177.2
Chris Godwin,166.6
Anthony Miller,166
Cameron Meredith,153
Tyler Lockett,150
Josh Doctson,148.2
Kenny Golladay,144.6
Michael Gallup,144.2
DJ Moore,139
Michael Thomas,15.8
Keelan Cole,136.4
Calvin Ridley,135.6
Allen Hurns,125.2
DeVante Parker,125.2
Kenny Stills,115.8
Kelvin Benjamin,113.8
Sterling Shepard,105.6
Nelson Agholor,102
Randall Cobb,99.4
Jordy Nelson,93.2
Julio Jones,12.6
Pierre Garcon,92.6
Robbie Anderson,89.8
Jamison Crowder,88.4
Cooper Kupp,85
Devin Funchess,82.8
Robert Woods,82.4
Sammy Watkins,80.2
William Fuller,79.8
Alshon Jeffery,73.4
Julian Edelman,72.2
Odell Beckham,11
Emmanuel Sanders,67
Marquise Goodwin,67
Michael Crabtree,66.4
Corey Davis,63.6
Chris Hogan,55
Marvin Jones,54.8
Josh Gordon,48.6
Allen Robinson,48
Golden Tate,45.8
Brandin Cooks,45.4
DeAndre Hopkins,8.8
JuJu Smith-Schuster,44
Demaryius Thomas,43.2
Jarvis Landry,38.4
Doug Baldwin,37
Amari Cooper,34.6
Larry Fitzgerald,33.6
Adam Thielen,31.8
Stefon Diggs,29.8
T.Y. Hilton,28.2
Tyreek Hill,26.8
Antonio Brown,5.2
