id,player,team,opponent,position,salary,ownership
94059-85671,Justin Jefferson,MIN,LAC,WR,9700,27.0
94059-91872,Joshua Kelley,LAC,MIN,RB,6100,25.6
94059-39829,Mike Williams,LAC,MIN,WR,7200,25.6
94059-72776,Alexander Mattison,MIN,LAC,RB,6300,21.7
94059-33076,Travis Kelce,KC,CHI,TE,8000,20.8
94059-89956,Travis Etienne Jr.,JAC,HOU,RB,8000,19.1
94059-64555,Calvin Ridley,JAC,HOU,WR,7500,19.0
94059-53681,Tyreek Hill,MIA,DEN,WR,9600,18.5
94059-60858,Christian Kirk,JAC,HOU,WR,6500,18.2
94059-63759,Tony Pollard,DAL,ARI,RB,9400,17.9
94059-93107,AJ Dillon,GB,NO,RB,6300,17.0
94059-22038,Kirk Cousins,MIN,LAC,QB,7800,16.2
94059-90533,Jerome Ford,CLE,TEN,RB,5600,16.2
94059-92575,Isiah Pacheco,KC,CHI,RB,5700,14.6
94059-69213,Michael Pittman Jr.,IND,BAL,WR,6700,14.1
94059-129368,Jahmyr Gibbs,DET,ATL,RB,7000,13.6
94059-25079,Stefon Diggs,BUF,WAS,WR,8000,13.3
94059-86631,CeeDee Lamb,DAL,ARI,WR,8500,12.8
94059-52436,Mark Andrews,BAL,IND,TE,7400,12.6
94059-103342,Kenneth Walker III,SEA,CAR,RB,7600,12.3
94059-70027,Zack Moss,IND,BAL,RB,6400,12.2
94059-12555,Baltimore Ravens,BAL,IND,D,4500,11.5
94059-86997,Amon-Ra St. Brown,DET,ATL,WR,7900,10.9
94059-28744,Raheem Mostert,MIA,DEN,RB,6600,10.2
94059-12544,New York Jets,NYJ,NE,D,3900,10.2
94059-29253,Keenan Allen,LAC,MIN,WR,8800,9.9
94059-87770,Chris Olave,NO,GB,WR,7800,9.8
94059-73048,DK Metcalf,SEA,CAR,WR,7400,9.7
94059-31001,Amari Cooper,CLE,TEN,WR,6200,9.6
94059-111540,Rhamondre Stevenson,NE,NYJ,RB,6500,9.2
94059-40687,James Conner,ARI,DAL,RB,6200,9.1
94059-57439,Patrick Mahomes,KC,CHI,QB,9200,8.9
94059-91419,Nico Collins,HOU,JAC,WR,6900,8.5
94059-71845,Miles Sanders,CAR,SEA,RB,6700,8.4
94059-27050,Tyler Lockett,SEA,CAR,WR,7300,8.4
94059-69189,Justin Herbert,LAC,MIN,QB,8400,8.2
94059-89951,Trevor Lawrence,JAC,HOU,QB,7600,8.0
94059-112745,Drake London,ATL,DET,WR,6500,7.9
94059-12539,Miami Dolphins,MIA,DEN,D,3900,7.3
94059-12546,Arizona Cardinals,ARI,DAL,D,3100,7.2
94059-113228,Luke Musgrave,GB,NO,TE,4900,7.2
94059-12553,Carolina Panthers,CAR,SEA,D,3500,6.9
94059-90561,Jerry Jeudy,DEN,MIA,WR,6100,6.8
94059-63115,Lamar Jackson,BAL,IND,QB,8200,6.7
94059-41872,Evan Engram,JAC,HOU,TE,5900,6.5
94059-62239,Josh Allen,BUF,WAS,QB,8800,6.5
94059-129210,Jordan Addison,MIN,LAC,WR,6800,6.3
94059-104424,Craig Reynolds,DET,ATL,RB,5700,6.1
94059-89680,Jake Ferguson,DAL,ARI,TE,5000,5.9
94059-12550,Seattle Seahawks,SEA,CAR,D,4200,5.8
94059-40167,Gus Edwards,BAL,IND,RB,6200,5.7
94059-12526,Buffalo Bills,BUF,WAS,D,4400,5.7
94059-93541,Javonte Williams,DEN,MIA,RB,6100,5.6
94059-90572,Tua Tagovailoa,MIA,DEN,QB,8100,5.6
94059-86055,Dameon Pierce,HOU,JAC,RB,5800,5.6
94059-12542,New Orleans Saints,NO,GB,D,4100,5.5
94059-71706,T.J. Hockenson,MIN,LAC,TE,7500,5.4
94059-26483,Geno Smith,SEA,CAR,QB,7200,5.3
94059-12533,Green Bay Packers,GB,NO,D,4100,5.1
94059-105646,Sam LaPorta,DET,ATL,TE,5200,5.1
94059-136855,Bijan Robinson,ATL,DET,RB,9000,5.1
94059-12541,New England Patriots,NE,NYJ,D,5000,4.7
94059-12535,Indianapolis Colts,IND,BAL,D,3800,4.7
94059-28573,Michael Thomas,NO,GB,WR,5800,4.7
94059-63855,K.J. Osborn,MIN,LAC,WR,5600,4.6
94059-88297,Chig Okonkwo,TEN,CLE,TE,4800,4.5
94059-22015,Russell Wilson,DEN,MIA,QB,7400,4.4
94059-12530,Dallas Cowboys,DAL,ARI,D,5200,4.3
94059-12536,Kansas City Chiefs,KC,CHI,D,4800,4.2
94059-72412,Khalil Herbert,CHI,KC,RB,5600,4.2
94059-12556,Houston Texans,HOU,JAC,D,3200,4.0
94059-112295,Zay Flowers,BAL,IND,WR,6300,3.8
94059-54879,Deshaun Watson,CLE,TEN,QB,7500,3.6
94059-120657,Kendre Miller,NO,GB,RB,4600,3.5
94059-91626,James Cook,BUF,WAS,RB,6900,3.4
94059-29501,Brandin Cooks,DAL,ARI,WR,6000,3.3
94059-55042,Dalton Schultz,HOU,JAC,TE,4800,3.3
94059-12534,Tennessee Titans,TEN,CLE,D,3800,3.1
94059-39716,Adam Thielen,CAR,SEA,WR,5700,3.0
94059-31716,Dak Prescott,DAL,ARI,QB,7600,2.9
94059-86229,Jahan Dotson,WAS,BUF,WR,5800,2.9
94059-129291,Tank Dell,HOU,JAC,WR,5400,2.9
94059-169776,Christian Watson,GB,NO,WR,6600,2.9
94059-129471,C.J. Stroud,HOU,JAC,QB,6600,2.8
94059-129458,Jaxon Smith-Njigba,SEA,CAR,WR,5300,2.7
94059-86080,Kyle Pitts,ATL,DET,TE,5400,2.7
94059-86687,Marquise Brown,ARI,DAL,WR,6200,2.7
94059-94534,Gabe Davis,BUF,WAS,WR,6700,2.7
94059-29685,Robert Woods,HOU,JAC,WR,5800,2.6
94059-39280,Derrick Henry,TEN,CLE,RB,8400,2.6
94059-12529,Cleveland Browns,CLE,TEN,D,4300,2.5
94059-86052,Kadarius Toney,KC,CHI,WR,5500,2.5
94059-33260,DeVante Parker,NE,NYJ,WR,5400,2.5
94059-61798,Gardner Minshew,IND,BAL,QB,7100,2.5
94059-69017,Jordan Love,GB,NO,QB,7300,2.5
94059-64585,Dawson Knox,BUF,WAS,TE,5300,2.5
94059-104576,Sam Howell,WAS,BUF,QB,7000,2.4
94059-86278,Desmond Ridder,ATL,DET,QB,7000,2.3
94059-40647,Marquez Valdes-Scantling,KC,CHI,WR,5400,2.3
94059-80289,Kendrick Bourne,NE,NYJ,WR,5900,2.3
94059-57403,Courtland Sutton,DEN,MIA,WR,6300,2.2
94059-45859,Derek Carr,NO,GB,QB,6900,2.1
94059-56250,Terry McLaurin,WAS,BUF,WR,7100,2.1
94059-103064,Breece Hall,NYJ,NE,RB,6400,2.0
