"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jimmy Graham (NO)","85","135","982","11.6","46","12","9","0","0","0","0","15","237.2","15.8","0.0%"
"2","Tony Gonzalez (FA)","93","124","930","10.0","25","3","8","0","0","0","0","16","234.0","14.6","0.0%"
"3","Jason Witten (FA)","110","149","1,039","9.4","36","8","3","0","0","0","0","16","231.9","14.5","0.0%"
"4","Heath Miller (FA)","71","101","816","11.5","43","11","8","0","0","0","0","15","202.6","13.5","0.0%"
"5","Rob Gronkowski (FA)","55","80","790","14.4","41","13","11","0","0","0","1","11","198.0","18.0","1.5%"
"6","Brandon Myers (FA)","79","105","806","10.2","29","9","4","0","0","0","0","16","183.6","11.5","0.0%"
"7","Greg Olsen (FA)","69","104","843","12.2","47","11","5","0","0","0","0","16","183.3","11.5","7.0%"
"8","Dennis Pitta (FA)","61","94","669","11.0","61","8","7","0","0","0","0","16","169.9","10.6","0.0%"
"9","Owen Daniels (FA)","62","104","716","11.5","39","7","6","0","0","0","0","15","169.6","11.3","0.0%"
"10","Jermaine Gresham (FA)","64","94","737","11.5","55","8","5","0","0","0","1","16","165.7","10.4","0.0%"
"11","Kyle Rudolph (FA)","53","94","493","9.3","29","5","9","0","0","0","0","16","158.3","9.9","0.0%"
"12","Martellus Bennett (FA)","55","90","626","11.4","33","7","5","0","0","0","0","16","147.6","9.2","23.0%"
"13","Antonio Gates (FA)","49","80","538","11.0","34","5","7","0","0","0","0","15","144.8","9.7","0.2%"
"14","Jermichael Finley (FA)","61","87","667","10.9","40","10","2","0","0","0","1","16","137.7","8.6","0.0%"
"15","Scott Chandler (FA)","43","74","571","13.3","43","10","6","0","0","0","1","15","134.1","8.9","0.0%"
"16","Marcedes Lewis (CHI)","52","77","540","10.4","26","9","4","0","0","0","0","16","130.0","8.1","0.1%"
"17","Aaron Hernandez (FA)","51","83","483","9.5","31","5","5","1","5","0","0","10","129.8","13.0","0.0%"
"18","Brandon Pettigrew (FA)","59","102","567","9.6","24","3","3","0","0","0","2","14","129.7","9.3","0.0%"
"19","Brent Celek (FA)","57","88","684","12.0","34","10","1","0","0","0","1","15","129.4","8.6","0.0%"
"20","Vernon Davis (FA)","41","61","548","13.4","53","12","5","0","0","0","0","16","125.8","7.9","1.6%"
"21","Lance Kendricks (FA)","42","64","519","12.4","80","6","4","0","0","0","0","16","119.9","7.5","0.0%"
"22","Jacob Tamme (FA)","52","84","555","10.7","36","6","2","0","0","0","0","16","119.5","7.5","0.0%"
"23","Jared Cook (FA)","44","72","523","11.9","61","8","4","0","0","0","1","13","118.3","9.1","0.0%"
"24","Benjamin Watson (FA)","49","81","501","10.2","27","5","3","0","0","0","0","16","117.1","7.3","2.8%"
"25","Dwayne Allen (FA)","45","66","521","11.6","40","9","3","3","5","0","0","16","115.6","7.2","0.0%"
"26","Dallas Clark (FA)","47","75","435","9.3","33","4","4","0","0","0","0","16","114.5","7.2","0.0%"
"27","Joel Dreessen (FA)","41","58","356","8.7","30","4","5","0","0","0","0","16","106.6","6.7","0.0%"
"28","Anthony Fasano (FA)","41","69","332","8.1","22","1","5","0","0","0","0","16","106.2","6.6","0.1%"
"29","Tony Scheffler (FA)","42","85","504","12.0","57","6","1","0","0","0","0","15","98.4","6.6","0.0%"
"30","Zach Miller (FA)","38","53","396","10.4","30","7","3","0","0","0","1","16","93.6","5.9","0.0%"
"31","Rob Housler (FA)","45","68","417","9.3","33","5","0","0","0","0","0","15","86.7","5.8","0.0%"
"32","James Casey (FA)","34","44","330","9.7","30","3","3","1","6","0","0","16","85.6","5.4","0.0%"
"33","Tony Moeaki (FA)","33","56","453","13.7","38","7","1","0","0","0","0","15","84.3","5.6","0.0%"
"34","Jeff Cumberland (FA)","29","53","359","12.4","39","6","3","0","0","0","0","15","82.9","5.5","0.0%"
"35","Garrett Graham (FA)","28","40","263","9.4","30","3","3","0","0","0","0","15","72.3","4.8","0.0%"
"36","Dustin Keller (FA)","28","36","317","11.3","32","6","2","0","0","0","0","8","71.7","9.0","0.0%"
"37","Delanie Walker (FA)","21","39","344","16.4","45","9","3","0","0","0","1","16","71.4","4.5","0.1%"
"38","Coby Fleener (FA)","26","48","281","10.8","26","5","2","0","0","0","0","12","66.1","5.5","0.0%"
"39","Anthony McCoy (FA)","18","28","291","16.2","67","5","3","0","0","0","0","16","65.1","4.1","0.0%"
