id,player,team,opponent,position,salary,ownership
95781-93150,Jake Bobo,SEA,WAS,WR,4600,0.0
95781-30733,Cordarrelle Patterson,ATL,ARI,RB,4600,0.0
95781-87260,Isaiah Likely,BAL,CLE,TE,4600,0.0
95781-56262,Parris Campbell,NYG,DAL,WR,4600,0.0
95781-91401,Ronnie Bell,SF,JAC,WR,4600,0.0
95781-90870,Calvin Austin III,PIT,GB,WR,4500,0.0
95781-79979,Jamal Agnew,JAC,SF,WR,4500,0.0
95781-71032,Devin Duvernay,BAL,CLE,WR,4500,0.0
95781-91046,Brock Wright,DET,LAC,TE,4500,0.0
95781-185861,Emanuel Wilson,GB,PIT,RB,4500,0.0
95781-120657,Kendre Miller,NO,MIN,RB,4500,0.0
95781-63907,Josh Oliver,MIN,NO,TE,4400,0.0
95781-60712,Foster Moreau,NO,MIN,TE,4400,0.0
95781-103587,Brenton Strange,JAC,SF,TE,4400,0.0
95781-91417,Luke Schoonmaker,DAL,NYG,TE,4400,0.0
95781-56711,Drew Sample,CIN,HOU,TE,4400,0.0
95781-70601,Harrison Bryant,CLE,BAL,TE,4400,0.0
95781-87432,Cedric Tillman,CLE,BAL,WR,4300,0.0
95781-69558,Greg Dortch,ARI,ATL,WR,4300,0.0
95781-94481,Deven Thompkins,TB,TEN,WR,4300,0.0
95781-56708,Will Dissly,SEA,WAS,TE,4300,0.0
95781-57338,Jordan Akins,CLE,BAL,TE,4300,0.0
95781-72705,John Bates,WAS,SEA,TE,4300,0.0
95781-87127,Chris Rodriguez,WAS,SEA,RB,4300,0.0
95781-89437,Tim Jones,JAC,SF,WR,4300,0.0
95781-133477,Darnell Washington,PIT,GB,TE,4300,0.0
95781-62505,MyCole Pruitt,ATL,ARI,TE,4300,0.0
95781-86255,Josh Whyle,TEN,TB,TE,4300,0.0
95781-40371,Johnny Mundt,MIN,NO,TE,4300,0.0
95781-61112,Josiah Deguara,GB,PIT,TE,4300,0.0
95781-27477,Sterling Shepard,NYG,DAL,WR,4300,0.0
95781-94087,DeeJay Dallas,SEA,WAS,RB,4300,0.0
95781-119788,Xavier Hutchinson,HOU,CIN,WR,4300,0.0
95781-53390,Zach Pascal,ARI,ATL,WR,4200,0.0
95781-63646,Lawrence Cager,NYG,DAL,TE,4200,0.0
95781-64827,Miles Boykin,PIT,GB,WR,4200,0.0
95781-83138,Ross Dwelley,SF,JAC,TE,4200,0.0
95781-57543,D'Ernest Johnson,JAC,SF,RB,4200,0.0
95781-93391,Payne Durham,TB,TEN,TE,4200,0.0
95781-73176,Luke Farrell,JAC,SF,TE,4200,0.0
95781-103966,Stone Smartt,LAC,DET,TE,4200,0.0
95781-40726,Godwin Igwebuike,PIT,GB,RB,4200,0.0
95781-70501,C.J. Ham,MIN,NO,RB,4200,0.0
95781-28827,Dare Ogunbowale,HOU,CIN,RB,4200,0.0
95781-61072,Stanley Morgan,CIN,HOU,WR,4200,0.0
95781-92859,Jalen Nailor,MIN,NO,WR,4100,0.0
95781-94345,Cole Turner,WAS,SEA,TE,4100,0.0
95781-136031,Rakim Jarrett,TB,TEN,WR,4100,0.0
95781-39428,Kyle Juszczyk,SF,JAC,RB,4100,0.0
95781-114180,David Bell,CLE,BAL,WR,4100,0.0
95781-138786,Malik Heath,GB,PIT,WR,4100,0.0
95781-69168,N'Keal Harry,MIN,NO,WR,4100,0.0
95781-87621,A.T. Perry,NO,MIN,WR,4100,0.0
95781-70705,Trevon Wesco,TEN,TB,TE,4100,0.0
95781-68714,Ko Kieft,TB,TEN,TE,4100,0.0
95781-68730,Sean McKeon,DAL,NYG,TE,4100,0.0
95781-69068,Jonathan Ward,TEN,TB,RB,4100,0.0
95781-87515,Tylan Wallace,BAL,CLE,WR,4100,0.0
95781-185863,Hunter Luepke,DAL,NYG,RB,4100,0.0
95781-160303,Tucker Kraft,GB,PIT,TE,4100,0.0
95781-38523,Geoff Swaim,ARI,ATL,TE,4100,0.0
95781-85635,Charlie Kolar,BAL,CLE,TE,4100,0.0
95781-65182,Mitchell Wilcox,CIN,HOU,TE,4100,0.0
95781-71351,Charlie Woerner,SF,JAC,TE,4100,0.0
95781-85986,James Mitchell,DET,LAC,TE,4100,0.0
95781-185599,Colton Dowell,TEN,TB,WR,4000,0.0
95781-79980,Eric Saubert,HOU,CIN,TE,4000,0.0
95781-170206,Rodney Williams II,PIT,GB,TE,4000,0.0
95781-83226,Kevin Rader,TEN,TB,TE,4000,0.0
