Player,ADP
Calvin Johnson,6
Roddy White,30.8
Victor Cruz,33.8
Vincent Jackson,36.5
Wes Welker,41
Danny Amendola,41.8
Dwayne Bowe,42.8
Reggie Wayne,45
Marques Colston,45.5
Pierre Garcon,52.5
Hakeem Nicks,55.5
Dez Bryant,12.8
Jordy Nelson,55.8
Eric Decker,56.5
Antonio Brown,57.8
Torrey Smith,61.3
Mike Wallace,63.8
DeSean Jackson,66.8
Steve Smith,67
James Jones,70.8
T.Y. Hilton,75.5
Tavon Austin,79.5
A.J. Green,14
Cecil Shorts,80
Steve Johnson,83.3
Miles Austin,84.8
Greg Jennings,86.3
Anquan Boldin,87
Mike Williams,91.8
Josh Gordon,95
Kenny Britt,98.8
Lance Moore,101
Golden Tate,106
Brandon Marshall,17.8
Chris Givens,109.5
Kenbrell Thompkins,111.8
DeAndre Hopkins,117.5
Vincent Brown,118.3
Michael Floyd,120.3
Justin Blackmon,120.8
Emmanuel Sanders,122.3
Sidney Rice,128
Alshon Jeffery,135.5
Denarius Moore,141.3
Julio Jones,20.3
Brian Hartline,149.8
Ryan Broyles,153
Rueben Randle,153.5
Aaron Dobson,161
Darrius Heyward-Bey,162.8
Percy Harvin,170.8
Kendall Wright,161.7
Greg Little,169.3
Malcom Floyd,178.3
Mohamed Sanu Sr.,191.3
Demaryius Thomas,22.3
Michael Crabtree,193.7
Andre Roberts,207
Brandon LaFell,209.3
Julian Edelman,213.3
Kenny Stills,216
Rod Streater,217
Robert Woods,218
Santonio Holmes,222
Markus Wheaton,222.3
Jacoby Jones,222.7
Larry Fitzgerald,27.3
Quinton Patton,229.3
Riley Cooper,229.7
Santana Moss,234.7
Jeremy Maclin,195.5
Danario Alexander,201.5
Andre Johnson,30.3
Randall Cobb,30.3
