Player,ADP
Christian McCaffrey,1
Austin Ekeler,2.3
Saquon Barkley,3.7
Bijan Robinson,4
Jonathan Taylor,4
Josh Jacobs,7
Nick Chubb,7.3
Tony Pollard,8.3
Derrick Henry,8.7
Travis Etienne,11.3
Breece Hall,11.7
Rhamondre Stevenson,12
Najee Harris,12
Kenneth Walker,12.7
Jahmyr Gibbs,15.3
Dalvin Cook,17
Aaron Jones,17
Joe Mixon,19
Dameon Pierce,19.3
Miles Sanders,19.7
J.K. Dobbins,20
D'Andre Swift,21
Cam Akers,22.3
Rachaad White,24.3
David Montgomery,25.3
Isiah Pacheco,26
James Conner,26.3
James Cook,28.7
Javonte Williams,29
Alvin Kamara,31.3
AJ Dillon,33
Alexander Mattison,33.3
Brian Robinson,33.3
Zach Charbonnet,35.3
Jamaal Williams,35.7
Samaje Perine,35.7
Khalil Herbert,35.7
Rashaad Penny,38
Devon Achane,38
Damien Harris,38.3
Antonio Gibson,39.3
Tyler Allgeier,41.3
Elijah Mitchell,43.3
D'Onta Foreman,45
Jerick McKinnon,45.7
Kendre Miller,48
Raheem Mostert,48.7
Ezekiel Elliott,49.3
Kenneth Gainwell,49.3
Devin Singletary,50
Roschon Johnson,50.7
Jeff Wilson,51.3
Leonard Fournette,52.3
Jaylen Warren,53.3
Kareem Hunt,54.3
Tank Bigsby,55
Tyjae Spears,56
Chase Brown,57
Chuba Hubbard,58.7
Israel Abanikanda,61.3
Zach Evans,63
Deuce Vaughn,64.3
Joshua Kelley,65.3
Jerome Ford,65.7
James Robinson,66.3
Michael Carter,67.3
Gus Edwards,67.7
Clyde Edwards-Helaire,67.7
Cordarrelle Patterson,68
DeWayne McBride,71
Sean Tucker,65
Trayveon Williams,74.3
Zonovan Knight,70.5
Pierre Strong,75
Latavius Murray,75.7
Zamir White,77
D'Ernest Johnson,74
Nyheim Hines,76.5
Chase Edmonds,78
Malik Davis,76
Kyren Williams,80
Eric Gray,77
Isaiah Spiller,77.5
Ronald Jones,78
Evan Hull,79.5
Matt Breida,77
Zack Moss,82
Ty Chandler,82
Keaontay Ingram,83.5
Melvin Gordon,86
Chris Rodriguez,89
J.D. McKissic,90
Kenny McIntosh,91
JaMycal Hasty,92
