"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Le'Veon Bell (FA)","290","1,361","4.7","81","8","8","83","105","854","10.3","3","0","16","370.5","23.2","0.2%"
"2","DeMarco Murray (FA)","392","1,845","4.7","51","15","13","57","64","416","7.3","0","5","16","351.1","21.9","0.1%"
"3","Matt Forte (FA)","266","1,038","3.9","32","1","6","102","130","808","7.9","4","2","16","346.6","21.7","19.1%"
"4","Marshawn Lynch (FA)","280","1,306","4.7","79","7","13","37","48","367","9.9","4","2","16","302.3","18.9","0.3%"
"5","Arian Foster (FA)","260","1,246","4.8","51","9","8","38","59","327","8.6","5","2","13","273.5","21.0","0.0%"
"6","Eddie Lacy (FA)","246","1,139","4.6","44","8","9","42","55","427","10.2","4","2","16","272.6","17.0","0.3%"
"7","Jamaal Charles (FA)","206","1,033","5.0","63","6","9","40","59","291","7.3","5","3","15","250.4","16.7","0.1%"
"8","Justin Forsett (FA)","235","1,266","5.4","52","17","8","44","59","263","6.0","0","0","16","246.9","15.4","0.0%"
"9","Lamar Miller (FA)","216","1,099","5.1","97","9","8","38","52","275","7.2","1","3","16","223.4","14.0","0.0%"
"10","C.J. Anderson (FA)","179","849","4.7","27","7","8","34","44","324","9.5","2","0","15","211.3","14.1","1.0%"
"11","Jeremy Hill (FA)","222","1,124","5.1","85","8","9","27","32","215","8.0","0","2","16","210.9","13.2","0.0%"
"12","LeSean McCoy (FA)","312","1,319","4.2","53","9","5","28","37","155","5.5","0","3","16","199.4","12.5","2.0%"
"13","Joique Bell (FA)","223","860","3.9","57","5","7","34","53","322","9.5","1","1","15","198.2","13.2","0.2%"
"14","Matt Asiata (FA)","164","570","3.5","19","0","9","44","63","312","7.1","1","1","15","194.2","12.9","0.0%"
"15","Mark Ingram II (FA)","226","964","4.3","31","5","9","29","36","145","5.0","0","1","13","191.9","14.8","0.1%"
"16","Fred Jackson (FA)","141","525","3.7","38","1","2","66","90","501","7.6","1","0","14","188.6","13.5","0.0%"
"17","Alfred Morris (FA)","265","1,074","4.1","30","9","8","17","26","155","9.1","0","0","16","187.9","11.7","0.0%"
"18","Giovani Bernard (FA)","168","680","4.0","89","2","5","43","59","349","8.1","2","0","13","187.9","14.5","0.0%"
"19","Andre Ellington (FA)","201","660","3.3","22","4","3","46","64","395","8.6","2","2","12","177.5","14.8","0.1%"
"20","Shane Vereen (FA)","96","391","4.1","19","0","2","52","77","447","8.6","3","0","16","165.8","10.4","0.0%"
"21","Frank Gore (FA)","255","1,106","4.3","52","5","4","11","19","111","10.1","1","2","16","158.7","9.9","12.1%"
"22","Ahmad Bradshaw (FA)","90","425","4.7","29","3","2","38","47","300","7.9","6","2","10","154.5","15.5","0.0%"
"23","Chris Ivory (FA)","198","821","4.1","71","1","6","18","27","123","6.8","1","1","16","152.4","9.5","0.0%"
"24","Jonathan Stewart (FA)","175","809","4.6","69","4","3","25","31","181","7.2","1","1","13","146.0","11.2","0.0%"
"25","Darren Sproles (FA)","57","329","5.8","49","2","6","40","62","387","9.7","0","1","15","145.6","9.7","0.1%"
"26","Branden Oliver (FA)","160","582","3.6","52","3","3","36","45","271","7.5","1","0","14","145.3","10.4","0.0%"
"27","Andre Williams (FA)","217","721","3.3","50","4","7","18","37","130","7.2","0","0","16","145.1","9.1","0.0%"
"28","Steven Jackson (FA)","190","707","3.7","55","2","6","20","27","148","7.4","0","0","15","141.5","9.4","0.0%"
"29","Rashad Jennings (FA)","167","639","3.8","18","0","4","30","41","226","7.5","0","1","11","138.5","12.6","0.0%"
"30","Tre Mason (FA)","179","765","4.3","89","6","4","16","26","148","9.3","1","1","12","135.3","11.3","0.6%"
"31","Roy Helu (FA)","40","216","5.4","18","0","1","42","47","477","11.4","2","1","14","127.3","9.1","0.0%"
"32","Benny Cunningham Jr. (FA)","66","246","3.7","20","1","3","45","53","352","7.8","1","2","16","124.8","7.8","0.0%"
"33","Pierre Thomas (FA)","45","222","4.9","27","1","2","45","55","378","8.4","1","0","11","123.0","11.2","0.0%"
"34","Isaiah Crowell (FA)","148","607","4.1","35","5","8","9","14","87","9.7","0","2","16","122.4","7.7","0.1%"
"35","Darren McFadden (FA)","155","534","3.4","25","1","2","36","56","212","5.9","0","1","16","120.6","7.5","7.0%"
"36","Trent Richardson (FA)","159","519","3.3","27","1","3","27","34","229","8.5","0","1","15","117.8","7.9","0.0%"
"37","Chris Johnson (FA)","155","663","4.3","47","4","1","24","34","151","6.3","1","1","16","115.4","7.2","0.6%"
"38","Knile Davis (FA)","134","463","3.5","48","3","6","16","25","147","9.2","1","2","16","115.0","7.2","0.0%"
