Player,ADP
Matt Ryan,84.8
Drew Brees,83.8
Tom Brady,81.5
Russell Wilson,59.5
Deshaun Watson,59.0
Kyler Murray,58.5
Dwayne Haskins,261.3
Dak Prescott,53.8
Tua Tagovailoa,254.3
Sam Darnold,218.3
Derek Carr,203.3
Teddy Bridgewater,191.3
Kirk Cousins,166.7
Drew Lock,181.8
Gardner Minshew,181.0
Philip Rivers,177.3
Jimmy Garoppolo,163.5
Cam Newton,159.5
Lamar Jackson,21.0
Ryan Tannehill,157.5
Joe Burrow,149.5
Baker Mayfield,148.3
Jared Goff,143.5
Ben Roethlisberger,133.8
Daniel Jones,131.3
Matthew Stafford,110.5
Carson Wentz,105.3
Aaron Rodgers,97.5
Josh Allen,93.8
Patrick Mahomes,20.0
