"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jimmy Garoppolo","LV","16.1","21.2","-5.099999999999998","16.1","21.2","-5.1","1","26","20","17.18","1","0.6","200","176.34","2","2.39","17","18.9069","0","0.0475","-6","0.4986","0","0.5"
"Kenny Pickett","PIT","11.7","20.3","-8.600000000000001","11.7","20.3","-8.6","1","46","31","30.71","2","1.15","232","314.78","1","2.02","4","7.44","0","0","0","0","0","0"
"Tyrod Taylor","NYG","0.2","1.1","-0.9000000000000001","0.2","1.1","-0.9","1","2","2","1.87","0","0.01","6","8.56","0","0","0","7.533","0","0","0","0","0","0"
"Joshua Dobbs","ARZ","4.7","15.4","-10.7","4.7","15.4","-10.7","1","30","21","21.68","0","0.6","132","216.08","0","1.2","0","7.5981","0","0","-6","13.7102","0","0.07"
"Matthew Stafford","LA","14.7","23.9","-9.2","14.7","23.9","-9.2","1","38","24","24.4","0","1.25","340","333.64","0","1.92","9","7.2819","0","0","2","5.0376","0","0.49"
"Daniel Jones","NYG","6.8","17","-10.2","6.8","17","-10.2","1","28","15","18.81","2","0.59","112","189.31","0","0.24","45","55.3443","0","0.1235","-2","24.6176","0","0.06"
"Kirk Cousins","MIN","21.5","23.9","-2.3999999999999986","21.5","23.9","-2.4","1","44","33","30.22","1","1.09","344","317.12","2","2.31","4","5.3847","0","0.2755","3","7.203","0","0.02"
"Mac Jones","NE","25.1","29.7","-4.599999999999998","25.1","29.7","-4.6","1","54","35","36.46","1","1.3","316","386.7","3","2.46","15","15.5594","0","0.684","0","0","0","0"
"C.J. Stroud","HST","11.7","16.4","-4.699999999999999","11.7","16.4","-4.7","1","44","28","31.09","0","0.88","242","312.66","0","0.44","20","29.109","0","0.0095","0","0","0","0"
"Bryce Young","CAR","9.5","13.9","-4.4","9.5","13.9","-4.4","1","38","20","21.52","2","0.82","146","242.44","1","0.74","20","15.252","0","0.0095","-3","4.5178","0","0.01"
"Dak Prescott","DAL","6.3","16.2","-9.899999999999999","6.3","16.2","-9.9","1","24","13","15.6","0","0.52","143","166.54","0","2.28","0","0","0","0","6","3.4888","0","0.09"
"Sam Darnold","SF","-0.2","-0.2","0","-0.2","-0.2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-2","0","0"
"Russell Wilson","DEN","15.2","19","-3.8000000000000007","15.2","19","-3.8","1","34","27","23.5","0","0.54","177","207.47","2","2.44","1","14.7312","0","0.0095","0","0","0","0"
"Jalen Hurts","PHI","14.5","18.4","-3.8999999999999986","14.5","18.4","-3.9","1","33","22","20.63","0","0.59","170","241.78","1","1.1","10","20.9064","0","0","27","25.4894","0","0.05"
"Sam Howell","WAS","18.2","16.5","1.6999999999999993","18.2","16.5","1.7","1","31","19","19.74","1","0.77","202","229","1","0.7","11","27.5187","1","0.4275","0","0","0","0"
"Justin Fields","CHI","17.5","21.8","-4.300000000000001","17.5","21.8","-4.3","1","37","24","26.58","1","0.45","216","218.62","1","1.7","60","58.4133","0","0","-1","8.7122","0","0"
"Desmond Ridder","ATL","8.5","7.4","1.0999999999999996","8.5","7.4","1.1","1","18","15","13.04","0","0.23","115","118.54","1","0.54","0","7.812","0","0","-1","-1","0","0"
"Jared Goff","DET","14","11.9","2.0999999999999996","14","11.9","2.1","1","35","22","21.82","0","0.71","252","256.09","1","0.57","0","0","0","0","-1","1.067","0","0"
"Derek Carr","NO","15.6","19.7","-4.1","15.6","19.7","-4.1","1","33","23","20.48","1","1.09","305","263.44","1","2.42","7","6.8448","0","0.0095","-3","-2","0","0"
"Joe Burrow","CIN","3.2","10.1","-6.8999999999999995","3.2","10.1","-6.9","1","31","14","19.93","0","0.58","82","215.35","0","0.54","0","0","0","0","-1","-1","0","0"
"Patrick Mahomes","KC","20.5","24.9","-4.399999999999999","20.5","24.9","-4.4","1","39","21","25.96","1","1.22","226","309.06","2","2.36","45","40.5387","0","0.0475","0","0","0","0"
"Cooper Rush","DAL","0","0.5","-0.5","0","0.5","-0.5","1","1","0","0.71","0","0.04","0","9.05","0","0.05","0","0","0","0","0","0","0","0"
"Deshaun Watson","CLV","19.7","20.4","-0.6999999999999993","19.7","20.4","-0.7","1","29","16","17.92","1","0.65","154","229.67","1","1.89","19","27.7326","0","0.0475","26","8.4574","1","0.07"
"Josh Allen","BUF","14","20.4","-6.399999999999999","14","20.4","-6.4","1","41","29","27.56","3","1.04","236","282.57","1","1.57","34","27.6768","0","0.0285","2","7.5264","0","0.02"
"Justin Herbert","LAC","20.9","20.9","0","20.9","20.9","0","1","33","23","21.17","0","0.73","228","215.52","1","1.88","17","24.8031","0","0","1","1","1","0.49"
