"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jake Browning","CIN","-0.1","0.2","-0.30000000000000004","-0.1","0.2","-0.3","1","1","0","0.49","0","0.03","0","8.44","0","0","0","0","0","0","-1","-1","0","0"
"Jordan Love","GB","23","18.1","4.899999999999999","23","18.1","4.9","1","27","15","18.53","0","0.74","245","223.11","3","2","11","14.4708","0","0.0095","1","4.067","0","0"
"Lamar Jackson","BLT","9.6","14.3","-4.700000000000001","9.6","14.3","-4.7","1","22","17","14.73","1","0.37","169","129.87","0","1.38","36","28.3929","0","0.0285","2","8.8102","0","0.01"
"Baker Mayfield","TB","16","17.7","-1.6999999999999993","16","17.7","-1.7","1","34","21","21.39","0","0.71","173","222.55","2","1.72","8","19.9857","0","0","3","5.869","0","0"
"Sean Clifford","GB","-0.1","0.5","-0.6","-0.1","0.5","-0.6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","4.5472","0","0.01"
"Brock Purdy","SF","18.8","14.6","4.200000000000001","18.8","14.6","4.2","1","29","19","18.27","0","0.72","220","207.5","2","1.42","21","14.8614","0","0","-1","-1","0","0"
"Zach Wilson","NYJ","9.2","9.3","-0.10000000000000142","9.2","9.3","-0.1","1","21","14","12.96","1","0.39","140","121.9","1","0.59","6","5.3847","0","0.2755","0","0.6362","0","0.03"
"Tua Tagovailoa","MIA","29.6","30.6","-1","29.6","30.6","-1","1","45","28","26.2","1","1.52","466","354.34","3","3.55","7","7.0866","0","0","-7","4.2916","0","0.44"
"Geno Smith","SEA","9.1","10.9","-1.8000000000000007","9.1","10.9","-1.8","1","26","16","15.92","0","0.4","112","145.85","1","1.18","6","7.3935","0","0","0","0","0","0"
"Anthony Richardson","IND","21.9","26.2","-4.300000000000001","21.9","26.2","-4.3","1","37","24","25.37","1","0.63","223","259.51","1","0.79","16","22.3719","0","0.9595","24","21.4326","1","0.53"
"Trevor Lawrence","JAX","18.7","17.6","1.0999999999999979","18.7","17.6","1.1","1","32","24","22.19","1","0.57","241","234.7","2","1.38","11","7.4865","0","0.0095","10","18.1198","0","0.11"
"Gardner Minshew","IND","0","4","-4","0","4","-4","1","2","0","1.14","0","0.05","0","1.14","0","1","0","0","0","0","0","0","0","0"
"Ryan Tannehill","TEN","5.4","15.3","-9.9","5.4","15.3","-9.9","1","34","16","20.23","3","0.82","198","242.3","0","1.04","5","22.2921","0","0.0095","0","0","0","0"
