"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"162",11,"Santonio Holmes",FA,"WR59","132","185","160.1","15.9","+58"
"163",11,"Kendall Hunter",FA,"RB56","124","199","159.8","20.9","+11"
"164",11,"Jeremy Kerley",FA,"WR60","120","180","160.4","14.8","+87"
"165",11,"Dwayne Allen",FA,"TE22","126","223","162.7","21.8","+40"
"166",11,"Michael Bush",FA,"RB57","129","193","166.3","18.6","-15"
"167",11,"Mohamed Sanu Sr.",FA,"WR61","117","186","161.9","17.2","+32"
"168",11,"Ed Dickson",FA,"TE23","136","221","163.1","21.1","+39"
"169",11,"Julius Thomas",FA,"TE24","88","199","148.8","39.0","+29"
"170",11,"Heath Miller",FA,"TE25","110","197","165.8","21.9","+2"
"171",12,"Rod Streater",FA,"WR62","133","202","169.5","15.9","+44"
"172",12,"Andre Brown",FA,"RB58","94","208","147.0","29.4","-3"
"173",12,"Chicago Bears",CHI,"DST3","126","196","170.3","15.1","-66"
"174",12,"Cincinnati Bengals",CIN,"DST4","122","190","174.2","14.9","-49"
"175",12,"Houston Texans",HOU,"DST5","158","193","174.9","9.2","-62"
"176",12,"Aaron Dobson",FA,"WR63","143","184","162.3","12.6","-20"
"177",12,"Daniel Thomas",FA,"RB59","128","184","165.4","19.9","-7"
"178",12,"Christine Michael",FA,"RB60","130","219","169.9","24.9","-17"
"179",12,"Denver Broncos",DEN,"DST6","153","188","171.6","11.3","-63"
"180",12,"Stephen Hill",FA,"WR64","124","199","163.7","22.9","+61"
"181",12,"Nate Burleson",FA,"WR65","143","199","172.8","15.1","+81"
"182",12,"Ryan Williams",FA,"RB61","124","192","158.3","27.8","+31"
"183",12,"Mike Tolbert",FA,"RB62","127","198","174.4","19.2","+49"
"184",12,"Percy Harvin",FA,"WR66","133","205","170.5","21.1","-19"
"185",12,"Johnathan Franklin",FA,"RB63","126","195","173.1","16.5","+6"
"186",12,"LaMichael James",FA,"RB64","137","195","169.8","15.3","-28"
"187",12,"Julian Edelman",FA,"WR67","141","195","172.3","15.5","+24"
"188",12,"Zac Stacy",FA,"RB65","158","201","173.1","14.0","+15"
"189",12,"Jacoby Jones",FA,"WR68","145","194","178.4","13.9","+33"
"190",12,"Robert Woods",HOU,"WR69","150","191","176.6","11.1","+26"
"191",12,"Brandon Weeden",FA,"QB26","132","201","177.3","22.8","+28"
"192",12,"Marcedes Lewis",CHI,"TE26","151","218","180.3","18.8","+38"
"193",12,"E.J. Manuel",FA,"QB27","155","195","176.0","12.1","-10"
"194",12,"Jonathan Dwyer",FA,"RB66","109","174","144.2","21.2","-1"
"195",12,"Brent Celek",FA,"TE27","146","200","170.3","19.7","+7"
"196",12,"Markus Wheaton",FA,"WR70","145","197","174.8","18.0","+25"
"197",12,"Knile Davis",FA,"RB67","133","196","162.2","24.8","+13"
"198",13,"Joseph Randle",FA,"RB68","157","196","181.3","12.8","-21"
"199",13,"Riley Cooper",FA,"WR71","134","197","170.8","19.8","+28"
"200",13,"Donnie Avery",FA,"WR72","160","194","179.4","12.1","+50"
