Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Patrick Mahomes,27,17,6.3,1.9,67,8.5,12.1,308.8,77.6,7.51,7.93,4,4,MahoPa00
Justin Herbert,24,17,3.6,1.4,55,6.9,9.9,278.8,58.3,6.15,6.22,4,5,HerbJu00
Tom Brady,45,17,3.4,1.2,63,6.5,9.6,276.1,52.5,6.01,6.13,4,5,BradTo00
Kirk Cousins,34,17,4.5,2.2,66,7.0,10.7,267.5,49.9,6.12,6.05,8,8,CousKi00
Joe Burrow,26,16,5.8,2.0,60,7.6,10.8,279.7,58.7,6.52,6.76,3,4,BurrJo01
Jared Goff,28,17,4.9,1.2,81,8.0,11.6,261.1,61.1,7.02,7.45,3,3,GoffJa00
Josh Allen,26,16,6.2,2.5,98,7.7,11.9,267.7,71.4,6.87,6.99,3,4,AlleJo02
Geno Smith,32,17,5.2,1.9,54,7.7,10.7,251.9,60.8,6.37,6.54,2,3,SmitGe00
Trevor Lawrence,23,17,4.3,1.4,59,7.3,10.6,241.9,54.6,6.43,6.66,3,2,LawrTr00
Jalen Hurts,24,15,4.8,1.3,68,8.4,12.1,246.7,66.3,6.97,7.31,1,2,HurtJa00
Aaron Rodgers,39,17,4.8,2.2,58,6.8,10.6,217.4,39.3,5.99,5.95,3,4,RodgAa00
Tua Tagovailoa,24,13,6.3,2.0,84,9.2,13.7,272.9,68.8,8.04,8.37,2,2,TagoTu00
Russell Wilson,34,15,3.3,2.3,67,6.9,12.1,234.9,37.0,5.87,5.54,3,3,WilsRu00
Derek Carr,31,15,4.8,2.8,60,6.7,11.5,234.8,55.6,6.30,6.01,4,3,CarrDe02
Daniel Jones,25,16,3.2,1.1,65,6.9,10.1,200.3,60.8,5.74,5.89,4,5,JoneDa05
Davis Mills,24,15,3.5,3.1,58,5.8,10.7,207.9,33.2,5.64,4.98,2,3,MillDa02
Matt Ryan,37,12,3.0,2.8,45,6.0,9.9,254.8,43.1,5.55,4.94,5,4,RyanMa00
Mac Jones,24,14,3.2,2.5,48,6.3,10.4,214.1,36.1,5.81,5.36,0,0,JoneMa05
Andy Dalton,35,14,4.8,2.4,64,7.5,11.4,205.1,50.7,6.66,6.54,1,1,DaltAn00
Dak Prescott,29,12,5.8,3.8,68,6.7,11.0,238.3,57.9,6.60,6.08,2,2,PresDa01
Jacoby Brissett,30,11,3.3,1.6,55,7.0,11.1,163.0,59.9,6.23,6.15,2,2,BrisJa00
Ryan Tannehill,34,12,4.0,1.8,69,7.8,12.0,211.3,49.2,6.42,6.39,,,TannRy00
Jimmy Garoppolo,31,10,5.2,1.3,57,8.4,11.8,221.5,54.4,7.17,7.60,1,1,GaroJi00
Kenny Pickett,24,12,1.8,2.3,57,5.5,9.8,184.9,51.6,5.34,4.70,3,4,PickKe00
Kyler Murray,25,11,3.6,1.8,38,6.0,9.1,215.3,51.7,5.24,5.16,1,1,MurrKy00
Justin Fields,23,15,5.3,3.5,56,6.6,11.7,149.5,54.0,5.05,4.63,1,2,FielJu00
Lamar Jackson,25,12,5.2,2.1,75,7.0,11.0,186.8,59.0,6.05,6.12,1,2,JackLa00
Marcus Mariota,29,13,5.0,3.0,75,7.0,12.1,170.7,55.5,6.17,5.85,2,3,MariMa01
Baker Mayfield,27,10,3.0,2.4,75,6.0,10.8,180.3,24.5,5.25,4.81,0,0,MayfBa00
Matthew Stafford,34,9,3.3,2.6,75,6.4,10.1,231.9,50.3,5.66,5.18,,,StafMa00
Taylor Heinicke,29,9,4.6,2.3,61,7.1,11.5,206.6,44.5,6.18,6.07,2,1,HeinTa00
Carson Wentz,30,7,4.0,3.3,75,5.7,10.2,219.4,33.0,5.28,4.67,2,2,WentCa00
Zach Wilson,23,9,2.5,2.9,79,6.2,12.8,187.6,36.4,5.71,4.97,1,2,WilsZa00
Brock Purdy,23,5,7.6,2.4,54,8.6,12.1,152.7,65.5,7.13,7.57,1,1,PurdBr00
Mitchell Trubisky,28,5,2.2,2.8,45,6.2,10.7,178.9,56.4,6.20,5.44,0,1,TrubMi00
Mike White,27,4,1.7,2.3,60,6.1,11.6,298.0,36.9,6.07,5.41,,,WhitMi01
Sam Darnold,25,6,5.0,2.1,52,8.2,13.9,190.5,48.3,7.10,7.13,0,1,DarnSa00
Deshaun Watson,27,6,4.1,2.9,46,6.0,11.1,183.7,38.3,5.24,4.79,,,WatsDe00
Joe Flacco,37,4,2.6,1.6,66,5.3,9.6,210.2,34.2,4.90,4.73,1,1,FlacJo00
Cooper Rush,29,5,3.1,1.9,46,6.3,11.2,116.8,59.1,5.93,5.72,0,2,RushCo00
Jameis Winston,28,3,3.5,4.3,51,6.2,11.8,286.0,32.7,6.22,5.07,1,1,WinsJa00
Bailey Zappe,23,2,5.4,3.3,53,8.1,12.0,195.3,34.4,7.56,7.20,,,ZappBa00
Colt McCoy,36,3,0.8,2.3,47,5.0,8.7,195.0,37.4,4.71,3.92,,,McCoCo00
P.J. Walker,27,5,2.8,2.8,62,6.2,11.6,121.8,23.5,6.06,5.40,,,WalkPh00
Desmond Ridder,23,4,1.7,0.0,40,6.5,9.7,177.0,49.6,5.44,5.77,1,1,RiddDe00
Teddy Bridgewater,30,2,5.1,5.1,64,7.4,13.9,136.6,47.5,7.42,6.26,,,BridTe00
Gardner Minshew II,26,2,3.9,3.9,78,7.7,15.1,132.6,39.6,7.74,6.83,,,MinsGa00
Tyler Huntley,24,4,1.8,2.7,40,5.0,8.8,109.7,41.2,5.24,4.45,1,1,HuntTy01
Jarrett Stidham,26,2,4.8,3.6,60,7.2,12.4,131.2,58.8,6.77,6.16,,,StidJa00
Sam Ehlinger,24,3,3.0,3.0,47,4.9,9.0,143.3,31.8,4.23,3.57,,,EhliSa00
Skylar Thompson,25,2,1.0,2.9,32,4.0,8.9,76.3,27.1,4.45,3.41,0,1,ThomSk00
Brett Rypien,26,2,2.3,4.5,45,3.9,9.1,120.8,24.3,4.54,3.08,,,RypiBr00
Kyle Allen,26,2,2.6,5.1,39,3.5,9.0,208.0,3.3,4.52,2.83,,,AlleKy00
Trace McSorley,27,1,0.0,6.0,47,2.3,9.2,68.7,10.8,4.48,1.86,,,McSoTr00
Joshua Dobbs,27,2,2.9,2.9,39,5.3,10.3,205.5,50.6,5.20,4.53,,,DobbJo00
David Blough,27,2,3.4,3.4,77,6.1,10.6,201.0,28.2,6.00,5.21,,,BlouDa00
John Wolford,27,3,1.6,4.8,30,4.4,10.3,130.0,22.6,4.94,3.28,,,WolfJo00
Anthony Brown,24,1,0.0,4.1,47,4.3,13.7,151.0,,5.33,3.67,,,BrowAn06
Malik Willis,23,3,0.0,4.9,48,2.3,8.9,34.5,12.6,3.20,1.30,,,WillMa12
Taysom Hill,32,8,10.5,0.0,68,14.7,18.5,15.0,78.4,10.76,12.67,,,HillTa00
Nick Foles,33,2,0.0,9.5,49,1.0,9.0,74.7,7.4,3.52,-0.08,,,FoleNi00
Nick Mullens,27,0,4.0,4.0,37,8.0,10.7,56.0,56.0,8.96,7.96,,,MullNi00
Jordan Love,24,0,4.8,0.0,63,10.2,13.9,48.8,82.6,9.29,10.24,,,LoveJo03
Trey Lance,22,2,0.0,3.2,44,4.8,12.9,97.0,34.8,5.61,4.24,,,LancTr00
Trevor Siemian,31,1,3.8,3.8,33,6.1,12.3,92.0,26.4,6.07,5.18,,,SiemTr00
Sam Howell,22,1,5.3,5.3,52,7.6,15.4,169.0,46.2,7.18,6.05,,,HoweSa00
Davis Webb,27,1,2.5,0.0,25,4.7,7.3,168.0,74.7,4.20,4.70,,,WebbDa00
Bryce Perkins,26,1,2.9,5.9,20,2.7,8.5,32.2,28.2,2.78,1.03,,,PerkBr02
Nathan Peterman,28,1,4.0,4.0,28,4.6,9.9,46.3,39.9,5.12,4.15,,,PeteNa00
Jeff Driskel,29,2,5.0,0.0,28,6.4,7.7,15.4,19.9,4.32,5.23,,,DrisJe00
Chris Streveler,27,1,0.0,0.0,30,6.0,9.0,45.0,72.2,6.00,6.00,,,StreCh00
Jacob Eason,25,0,0.0,20.0,49,2.8,19.7,59.0,0.8,11.80,2.80,,,EasoJa00
Tyrod Taylor,33,0,12.5,12.5,19,4.1,9.7,19.3,10.8,3.64,1.36,,,TaylTy00
Chase Daniel,36,0,8.3,0.0,13,6.0,6.5,13.0,57.8,3.92,5.46,,,DaniCh00
Brian Hoyer,37,1,0.0,0.0,27,6.2,7.4,37.0,26.6,4.14,4.14,,,HoyeBr00
C.J. Beathard,29,0,0.0,9.1,11,-0.9,5.0,8.8,21.3,2.50,-1.25,,,BeatC.00
Justin Jefferson,23,17,0.0,0.0,23,17.0,17.0,2.0,94.7,17.00,17.00,,,JeffJu00
Christian McCaffrey,26,16,100.0,0.0,34,54.0,34.0,2.0,100.0,34.00,54.00,0,0,McCaCh01
Tim Boyle,28,0,0.0,25.0,17,-7.1,16.5,33.0,0.5,4.13,-7.13,,,BoylTi00
Blaine Gabbert,33,0,12.5,0.0,13,6.1,4.8,29.0,57.8,3.63,6.13,,,GabbBl00
Tyler Boyd,28,14,0.0,0.0,23,23.0,23.0,1.4,13.1,5.50,5.50,,,BoydTy00
Kyle Trask,24,0,0.0,0.0,9,2.6,7.7,23.0,1.6,2.56,2.56,,,TrasKy00
Brandon Allen,30,0,0.0,0.0,13,7.3,7.3,22.0,44.3,5.50,5.50,,,AlleBr00
Riley Dixon,29,0,0.0,0.0,12,9.0,9.0,1.1,,9.00,9.00,,,DixoRi00
Braden Mann,25,0,0.0,0.0,17,8.5,17.0,1.0,0.0,8.50,8.50,,,MannBr01
Ryan Wright,22,0,0.0,0.0,13,6.5,13.0,0.8,,6.50,6.50,,,WrigRy00
Josh Johnson,36,0,0.0,0.0,10,5.0,10.0,5.0,20.3,5.00,5.00,,,JohnJo05
Case Keenum,34,0,0.0,0.0,5,1.1,4.0,4.0,4.3,1.14,1.14,,,KeenCa00
Jack Fox,26,0,0.0,0.0,6,6.0,6.0,0.4,,6.00,6.00,,,FoxxJa01
Najee Harris,24,17,0.0,0.0,4,4.0,4.0,0.2,10.2,4.00,4.00,,,HarrNa00
Derrick Henry,28,16,50.0,0.0,3,12.0,2.0,0.3,43.3,2.00,12.00,,,HenrDe00
Mack Hollins,29,16,0.0,0.0,4,4.0,4.0,0.2,22.0,4.00,4.00,,,HollMa00
Andy Lee,40,0,0.0,0.0,4,4.0,4.0,0.2,,4.00,4.00,,,LeexAn20
Braxton Berrios,27,2,100.0,0.0,2,22.0,2.0,0.1,99.5,2.00,22.00,,,BerrBr00
Chase Claypool,24,11,100.0,0.0,1,21.0,1.0,0.1,100.0,1.00,21.00,0,0,ClayCh01
Rex Burkhead,32,0,0.0,0.0,0,0.0,,0.0,2.9,0.00,0.00,,,BurkRe00
Amari Cooper,28,17,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,CoopAm00
DeeJay Dallas,24,0,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,DallDe00
Phillip Dorsett,29,4,0.0,0.0,0,0.0,,0.0,2.7,0.00,0.00,,,DorsPh00
Leonard Fournette,27,9,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,FourLe00
Chad Henne,37,0,0.0,0.0,0,0.0,,0.0,3.5,0.00,0.00,,,HennCh01
Christian Kirk,26,17,0.0,0.0,0,0.0,,0.0,9.8,0.00,0.00,,,KirkCh01
Cooper Kupp,29,9,0.0,0.0,0,0.0,,0.0,3.0,0.00,0.00,,,KuppCo00
James Proche,26,0,0.0,100.0,0,-45.0,,0.0,0.0,0.00,-45.00,,,ProcJa00
Tommy Townsend,26,0,0.0,0.0,0,0.0,,0.0,,0.00,0.00,,,TownTo01
Garrett Wilson,22,12,0.0,0.0,0,0.0,,0.0,0.8,0.00,0.00,,,WilsGa00
