"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","8","12.5","-4.5","8","12.5","-4.5","1","30","16","20.63","3","0.59","182","229.34","0","0.43","37","22.32","0","0","0","0","0","0"
"Teddy Bridgewater","DET","-0.2","-0.2","0","-0.2","-0.2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-2","0","0"
"Lamar Jackson","BLT","12.9","25.1","-12.200000000000001","12.9","25.1","-12.2","1","38","22","23.86","1","1.23","236","310.52","0","2.39","15","28.1418","0","0.019","30","13.8474","0","0"
"Brock Purdy","SF","26.1","14.4","11.700000000000001","26.1","14.4","11.7","1","24","17","14","0","0.66","252","156.75","4","2.2","0","0","0","0","0","0","0","0"
"Zach Wilson","NYJ","9.6","16.2","-6.6","9.6","16.2","-6.6","1","26","19","17.71","1","0.5","199","177.82","0","1.66","26","29.1276","0","0","0","0","0","0"
"Tua Tagovailoa","MIA","18.9","15.9","2.9999999999999982","18.9","15.9","3","1","30","22","21.56","2","0.57","308","189.87","2","2.03","7","7.5981","0","0.0095","-1","-1","0","0"
"Bailey Zappe","NE","0.9","3.2","-2.3000000000000003","0.9","3.2","-2.3","1","9","3","5.34","0","0.44","22","89.41","0","0.01","0","0","0","0","0","0","0","0"
"Anthony Richardson","IND","4.4","4.8","-0.39999999999999947","4.4","4.8","-0.4","1","12","9","7.87","0","0.26","98","92.05","0","0.08","0","0","0","0","5","8.4378","0","0.03"
"Trevor Lawrence","JAX","19.7","19.3","0.3999999999999986","19.7","19.3","0.4","1","37","25","23.09","0","0.76","315","280.64","1","1.22","31","36.8187","0","0","0","2.822","0","0"
"Gardner Minshew","IND","6.3","7.9","-1.6000000000000005","6.3","7.9","-1.6","1","14","11","9.36","0","0.22","155","83.53","0","0.56","2","3.6921","0","0.3705","-1","-1","0","0"
"Ryan Tannehill","TEN","10.8","16.2","-5.399999999999999","10.8","16.2","-5.4","1","34","23","21.38","1","0.66","264","250.7","0","1.54","13","6.7983","0","0.0095","-1","-1","0","0"
"Jimmy Garoppolo","LV","11.7","13.4","-1.700000000000001","11.7","13.4","-1.7","1","31","22","21.35","1","0.58","208","217.93","1","1.06","3","8.0073","0","0","1","1.9886","0","0"
"Kenny Pickett","PIT","12.4","12.8","-0.40000000000000036","12.4","12.8","-0.4","1","32","18","19.51","0","0.89","224","218.34","1","1.19","2","7.3935","0","0","-8","-5","0","0"
"Tyrod Taylor","NYG","4.8","5.9","-1.1000000000000005","4.8","5.9","-1.1","1","12","9","8.14","0","0.2","86","84.13","0","0.12","14","17.67","0","0.0855","0","0","0","0"
"Joshua Dobbs","ARZ","12.7","15.2","-2.5","12.7","15.2","-2.5","1","32","15","18.73","2","0.81","166","239.72","2","1.3","0","0","0","0","1","10.2802","0","0.03"
"Matthew Stafford","LA","16.9","15.6","1.299999999999999","16.9","15.6","1.3","1","37","21","23.03","0","1.1","222","276.29","2","1.42","0","0","0","0","0","0","0","0"
"Daniel Jones","NYG","7.2","8.2","-0.9999999999999991","7.2","8.2","-1","1","20","14","12.77","0","0.4","119","136.75","0","0.25","11","7.0029","0","0","13","13.7592","0","0.01"
"Kirk Cousins","MIN","19.9","22.9","-3","19.9","22.9","-3","1","47","29","29.51","0","1.01","284","307.4","2","2.58","0","0","0","0","5","9.457","0","0.05"
"Mac Jones","NE","2.4","7.1","-4.699999999999999","2.4","7.1","-4.7","1","22","12","14.28","2","0.61","110","182.66","0","0","0","0","0","0","0","4.067","0","0"
"C.J. Stroud","HST","14.2","13","1.1999999999999993","14.2","13","1.2","1","35","20","21.1","0","1","249","263.37","1","0.77","0","0","0","0","2","3.5378","0","0"
"Bryce Young","CAR","20.3","21.1","-0.8000000000000007","20.3","21.1","-0.8","1","41","25","22.6","2","0.86","247","221.88","3","3.08","4","7.4586","0","0.0095","0","0","0","0"
"Dak Prescott","DAL","7.3","10","-2.7","7.3","10","-2.7","1","24","14","16.65","3","0.73","153","225.22","1","0.34","0","0","0","0","2","4.0474","0","0"
"Sam Darnold","SF","-0.1","0.1","-0.2","-0.1","0.1","-0.2","1","1","1","0.93","0","0","1","5.55","0","0","0","0","0","0","-1","-1","0","0"
"Russell Wilson","DEN","20.7","21","-0.3000000000000007","20.7","21","-0.3","1","31","20","19.63","0","0.66","196","184.53","2","1.82","49","49.1319","0","0.019","0","2.3912","0","0.29"
"Jalen Hurts","PHI","28.3","29.4","-1.0999999999999979","28.3","29.4","-1.1","1","38","25","24.07","1","0.72","303","256.72","1","1.54","37","28.2255","0","0.057","35","33.9084","1","1.19"
"Sam Howell","WAS","24.4","29.4","-5","24.4","29.4","-5","1","51","37","33.21","1","1.1","388","358.16","2","2.19","19","31.2206","0","0.7125","0","0","0","0"
"Justin Fields","CHI","33","22","11","33","22","11","1","29","15","13.56","0","0.54","282","170.85","4","2.5","9","5.0592","0","0.133","48","42.7672","0","0.02"
"Desmond Ridder","ATL","24.2","17.2","7","24.2","17.2","7","1","37","28","25.12","0","0.87","329","284.86","1","1.15","5","7.5795","0","0","5","0.8322","1","0.21"
"Jared Goff","DET","27.4","18.8","8.599999999999998","27.4","18.8","8.6","1","28","20","19.36","0","0.52","236","203.69","3","2.06","0","0","0","0","0","0","1","0.49"
"Derek Carr","NO","15.7","13.5","2.1999999999999993","15.7","13.5","2.2","1","26","18","17.13","0","0.6","183","188.71","2","1.47","5","7.6074","0","0","-1","-1","0","0"
"Joe Burrow","CIN","24.4","27.4","-3","24.4","27.4","-3","1","46","36","32.95","1","0.94","317","334.17","3","3.31","14","15.0567","0","0","-7","2.6456","0","0"
"Patrick Mahomes","KC","19.2","18.7","0.5","19.2","18.7","0.5","1","41","31","27.98","0","0.76","281","262.68","2","2.24","0","0","0","0","0","0","0","0"
"Cooper Rush","DAL","0.1","0.2","-0.1","0.1","0.2","-0.1","1","2","2","1.62","0","0.02","8","9.06","0","0","0","0","0","0","-2","-1","0","0"
"Josh Allen","BUF","28.8","23","5.800000000000001","28.8","23","5.8","1","40","27","23.56","1","1.04","359","312.62","2","1.39","15","23.1903","1","0.627","-1","-1","0","0"
"Andy Dalton","CAR","0.1","0.5","-0.4","0.1","0.5","-0.4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.7538","0","0.03"
"Jameis Winston","NO","-0.4","-0.3","-0.10000000000000003","-0.4","-0.3","-0.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-4","-3","0","0"
