"Player","Team","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Passing Att","Passing Com","Passing X-Com","Passing Int","Passing X-Int","Passing Yds","Passing X-Yds","Passing TD","Passing X-TD","Scrambles Yds","Scrambles X-Yds","Scrambles TD","Scrambles X-TD","Designed Runs Yds","Designed Runs X-Yds","Designed Runs TD","Designed Runs X-TD"
"Jordan Love","GB","20.3","13.1","7.200000000000001","20.3","13.1","7.2","1","25","14","15.68","0","0.5","151","176.24","3","1.47","24","7.4121","0","0","-1","-1","0","0"
"Lamar Jackson","BLT","22.9","25.8","-2.900000000000002","22.9","25.8","-2.9","1","33","24","22.07","0","0.85","237","247.31","2","2.26","36","48.9645","0","0.038","18","22.6376","0","0.06"
"Baker Mayfield","TB","18.8","18.2","0.6000000000000014","18.8","18.2","0.6","1","34","26","21.34","0","0.73","328","228.29","1","1.52","18","17.6328","0","0.095","-1","0.8322","0","0.21"
"Brock Purdy","SF","14.7","14.9","-0.20000000000000107","14.7","14.9","-0.2","1","25","17","16.9","0","0.76","206","202.81","0","0.9","0","0","0","0","5","7.8992","1","0.52"
"Zach Wilson","NYJ","11.4","11.7","-0.29999999999999893","11.4","11.7","-0.3","1","27","12","16.02","3","0.59","170","214.27","1","0.06","36","27.7884","0","0.0475","0","4.0572","0","0"
"Tua Tagovailoa","MIA","13.1","15.8","-2.700000000000001","13.1","15.8","-2.7","1","30","21","21.44","1","0.71","249","252.6","1","1.38","4","6.8262","0","0","-3","1.4986","0","0.01"
"Geno Smith","SEA","23.1","24.4","-1.2999999999999972","23.1","24.4","-1.3","1","41","32","24.83","0","0.72","328","265.38","2","2.69","20","26.7747","0","0.1805","0","0","0","0"
"Anthony Richardson","IND","17.7","4","13.7","17.7","4","13.7","1","10","6","7.37","0","0.15","56","62.99","0","0.01","0","0","0","0","35","12.0932","2","0.07"
"Trevor Lawrence","JAX","11.2","24.4","-13.2","11.2","24.4","-13.2","1","41","22","27.36","0","0.88","216","283.92","0","2.09","29","21.8829","0","0.057","-3","1","0","0.49"
"Gardner Minshew","IND","11.1","10.2","0.9000000000000004","11.1","10.2","0.9","1","23","19","15.9","0","0.34","171","157.58","1","0.72","3","13.2246","0","0.0095","0","0","0","0"
"Kyle Allen","BUF","-0.2","-0.2","0","-0.2","-0.2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","-2","0","0"
"Ryan Tannehill","TEN","21","13.6","7.4","21","13.6","7.4","1","24","20","16.75","0","0.5","246","193.41","1","1.4","0","0","0","0","12","3.5476","1","0.07"
"Jimmy Garoppolo","LV","9.5","8.7","0.8000000000000007","9.5","8.7","0.8","1","24","16","14.95","2","0.63","185","186.02","1","0.28","1","7.347","0","0","0","0","0","0"
"Kenny Pickett","PIT","11.3","8.6","2.700000000000001","11.3","8.6","2.7","1","30","15","19.93","1","0.56","222","213.64","1","0.13","0","0","0","0","-6","1.067","0","0"
"Joshua Dobbs","ARZ","23.2","15.6","7.6","23.2","15.6","7.6","1","31","21","19.58","0","0.68","228","241.67","1","1.23","23","6.5658","1","0.0285","18","8.3888","0","0"
"Matthew Stafford","LA","16","19.9","-3.8999999999999986","16","19.9","-3.9","1","55","34","36.34","2","1","307","381.9","1","0.66","17","29.4903","0","0","0","0","0","0"
"Daniel Jones","NYG","31.7","29.2","2.5","31.7","29.2","2.5","1","37","26","23.26","1","0.85","321","277.2","2","2.22","39","32.8011","0","0.513","20","18.1006","1","0.32"
