id,player,team,opponent,position,salary,ownership
92765-45631,Jamaal Williams,NO,TEN,RB,6800,23.5
92765-85671,Justin Jefferson,MIN,TB,WR,9500,22.5
92765-39829,Mike Williams,LAC,MIA,WR,7100,20.7
92765-103342,Kenneth Walker III,SEA,LAR,RB,7100,20.6
92765-85701,Ja'Marr Chase,CIN,CLE,WR,8500,19.7
92765-87260,Isaiah Likely,BAL,HOU,TE,4700,19.4
92765-80001,Austin Ekeler,LAC,MIA,RB,9000,17.7
92765-64555,Calvin Ridley,JAC,IND,WR,7000,17.1
92765-12552,Washington Commanders,WAS,ARI,D,4900,16.7
92765-90562,Brian Robinson Jr.,WAS,ARI,RB,6400,15.6
92765-53681,Tyreek Hill,MIA,LAC,WR,8800,14.5
92765-72776,Alexander Mattison,MIN,TB,RB,7300,14.5
92765-63336,Joe Burrow,CIN,CLE,QB,7900,12.6
92765-29253,Keenan Allen,LAC,MIA,WR,8000,12.3
92765-63115,Lamar Jackson,BAL,HOU,QB,8900,12.0
92765-69531,Jalen Hurts,PHI,NE,QB,9000,11.6
92765-55050,Christian McCaffrey,SF,PIT,RB,9200,11.2
92765-73048,DK Metcalf,SEA,LAR,WR,7700,11.2
92765-89981,Tee Higgins,CIN,CLE,WR,7400,11.0
92765-90428,Tyler Allgeier,ATL,CAR,RB,5400,10.7
92765-72846,A.J. Brown,PHI,NE,WR,8100,10.6
92765-41872,Evan Engram,JAC,IND,TE,5800,10.0
92765-27050,Tyler Lockett,SEA,LAR,WR,6800,9.7
92765-90573,Jaylen Waddle,MIA,LAC,WR,7900,9.4
92765-89951,Trevor Lawrence,JAC,IND,QB,8000,9.4
92765-91047,Cole Kmet,CHI,GB,TE,5200,9.3
92765-69189,Justin Herbert,LAC,MIA,QB,8100,9.3
92765-45889,Davante Adams,LV,DEN,WR,8200,9.3
92765-111540,Rhamondre Stevenson,NE,PHI,RB,7000,9.2
92765-90576,DeVonta Smith,PHI,NE,WR,7200,9.0
92765-40687,James Conner,ARI,WAS,RB,6700,8.9
92765-52442,Joe Mixon,CIN,CLE,RB,7500,8.2
92765-89956,Travis Etienne Jr.,JAC,IND,RB,7700,7.9
92765-31001,Amari Cooper,CLE,CIN,WR,6700,7.9
92765-40442,Aaron Jones,GB,CHI,RB,7200,7.9
92765-60858,Christian Kirk,JAC,IND,WR,6900,7.9
92765-87770,Chris Olave,NO,TEN,WR,7300,7.0
92765-136855,Bijan Robinson,ATL,CAR,RB,7800,6.9
92765-28744,Raheem Mostert,MIA,LAC,RB,5900,6.8
92765-90572,Tua Tagovailoa,MIA,LAC,QB,7700,6.6
92765-113228,Luke Musgrave,GB,CHI,TE,4500,6.4
92765-91591,Justin Fields,CHI,GB,QB,8300,6.4
92765-12551,Tampa Bay Buccaneers,TB,MIN,D,3100,6.3
92765-86244,Pat Freiermuth,PIT,SF,TE,5700,6.0
92765-26483,Geno Smith,SEA,LAR,QB,7200,6.0
92765-16606,DeAndre Hopkins,TEN,NO,WR,7500,5.7
92765-22038,Kirk Cousins,MIN,TB,QB,7500,5.3
92765-57403,Courtland Sutton,DEN,LV,WR,5900,5.3
92765-12553,Carolina Panthers,CAR,ATL,D,4100,5.1
92765-87787,J.K. Dobbins,BAL,HOU,RB,6500,5.0
92765-12527,Chicago Bears,CHI,GB,D,4000,5.0
92765-12533,Green Bay Packers,GB,CHI,D,4100,5.0
92765-53562,Nick Chubb,CLE,CIN,RB,8600,4.7
92765-12534,Tennessee Titans,TEN,NO,D,3800,4.7
92765-129315,Anthony Richardson,IND,JAC,QB,6700,4.7
92765-93541,Javonte Williams,DEN,LV,RB,6500,4.7
92765-32384,Mike Evans,TB,MIN,WR,6500,4.6
92765-63043,D.J. Moore,CHI,GB,WR,6300,4.6
92765-52451,Samaje Perine,DEN,LV,RB,6000,4.5
92765-56250,Terry McLaurin,WAS,ARI,WR,6900,4.5
92765-89230,Cam Akers,LAR,SEA,RB,6600,4.4
92765-69213,Michael Pittman Jr.,IND,JAC,WR,6600,4.4
92765-31360,Odell Beckham Jr.,BAL,HOU,WR,5700,4.4
92765-86055,Dameon Pierce,HOU,BAL,RB,6200,4.4
92765-85845,Rashod Bateman,BAL,HOU,WR,6100,4.3
92765-12525,Atlanta Falcons,ATL,CAR,D,4500,4.3
92765-55335,David Njoku,CLE,CIN,TE,5600,4.3
92765-129210,Jordan Addison,MIN,TB,WR,5500,4.3
92765-39280,Derrick Henry,TEN,NO,RB,8500,4.2
92765-54879,Deshaun Watson,CLE,CIN,QB,7400,4.2
92765-12542,New Orleans Saints,NO,TEN,D,4300,4.2
92765-90933,Antonio Gibson,WAS,ARI,RB,5800,4.1
92765-12556,Houston Texans,HOU,BAL,D,3000,4.1
92765-72731,Josh Jacobs,LV,DEN,RB,8400,4.1
92765-72412,Khalil Herbert,CHI,GB,RB,6100,4.1
92765-137902,Rachaad White,TB,MIN,RB,6400,4.0
92765-104576,Sam Howell,WAS,ARI,QB,7100,3.9
92765-93134,Deon Jackson,IND,JAC,RB,5600,3.9
92765-12547,Pittsburgh Steelers,PIT,SF,D,3800,3.9
92765-71845,Miles Sanders,CAR,ATL,RB,6900,3.8
92765-12550,Seattle Seahawks,SEA,LAR,D,4200,3.7
92765-91598,D'Andre Swift,PHI,NE,RB,6300,3.6
92765-12555,Baltimore Ravens,BAL,HOU,D,5000,3.6
92765-12537,Las Vegas Raiders,LV,DEN,D,3700,3.5
92765-12539,Miami Dolphins,MIA,LAC,D,3300,3.4
92765-55635,Chris Godwin,TB,MIN,WR,6800,3.4
92765-12531,Denver Broncos,DEN,LV,D,4000,3.3
92765-56018,Deebo Samuel,SF,PIT,WR,7000,3.3
92765-41305,Zay Jones,JAC,IND,WR,5600,3.2
92765-88297,Chig Okonkwo,TEN,NO,TE,5100,3.2
