"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Stephen Sullivan","CAR","10","TE","22","12","0","125","0","0","0","0","54.5","11.41","5.68","10.42","0.67","1","0","0","4.5","0","0","1","0","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.5","0.11","1.54"
"Josh Pederson","JAX","2","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dawson Knox","BUF","11","TE","32","20","0","164","0","1","0","3","62.5","7.06","5.13","8.2","4.65","8","3","1","25","15","100","3","1","9.4","5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","32.4","0.07","1.62"
"Lawrence Cager","NYG","9","TE","5","4","0","36","0","1","0","0","80","5","7.2","9","6.75","2","1","1","40","25","100","1","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.6","0.11","2.9"
"Kevin Rader","TEN","13","TE","1","1","0","6","0","0","0","0","100","2","6","6","4","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.01","1.1"
"Juwan Johnson","NO","12","TE","55","34","0","328","0","4","0","3","61.8","8.15","5.96","9.65","3.62","12","7","4","21.8","20.6","100","3","2","5.5","5.9","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.8","0.14","2.17"
"Harrison Bryant","CLV","16","TE","20","13","0","81","0","3","0","1","65","6.2","4.05","6.23","2.77","6","4","3","30","30.8","100","3","2","15","15.4","66.7","5","0","8","0","0","0","1.6","0.8","0","0","1","0","0","0","0","0","0","0","0","0","0","33.4","0.09","1.86"
"Tanner Conner","MIA","3","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Robert Tonyan","CHI","16","TE","16","11","0","112","0","0","0","1","68.8","8.88","7","10.18","5.45","4","2","0","25","18.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.7","0.05","1.52"
"Taysom Hill","NO","15","TE","35","29","0","263","0","2","0","1","82.9","6.14","7.51","9.07","3.97","8","5","2","22.9","17.2","100","2","0","5.7","0","0","75","0","350","0","4","0","4.67","3","13","0.17","1","27","4","36","100","7","3","9.3","75","0","0","111.8","0.28","1.07"
"George Kittle","SF","16","TE","89","65","3","1020","3","6","2","6","73","9.93","11.46","15.69","7.34","19","12","3","21.3","18.5","50","5","3","5.6","4.6","50","1","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170.7","0.19","2.59"
"David Njoku","CLV","16","TE","120","81","2","882","2","6","0","7","67.5","4.78","7.35","10.89","7.51","23","12","5","19.2","14.8","83.3","10","3","8.3","3.7","50","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","164.7","0.17","2.03"
"J.P. Holtz","NO","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Hunter Henry","NE","14","TE","62","42","0","419","0","6","0","2","67.7","9.37","6.76","9.98","1.81","9","6","6","14.5","14.3","100","6","5","9.7","11.9","83.3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","98.9","0.15","2.35"
"Geoff Swaim","ARZ","14","TE","11","10","0","94","0","0","0","1","90.9","5.45","8.55","9.4","3","2","2","0","18.2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.4","0.04","1.44"
"Darren Waller","NYG","11","TE","66","47","0","507","0","1","0","1","71.2","7.95","7.68","10.79","4.47","6","3","1","9.1","6.4","100","2","1","3","2.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.2","0.15","1.71"
"C.J. Uzomah","NYJ","12","TE","13","8","0","58","0","1","0","1","61.5","9.08","4.46","7.25","3.88","5","2","1","38.5","25","100","3","1","23.1","12.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.8","0.07","1.98"
"Blake Bell","KC","16","TE","7","4","0","23","0","1","0","1","57.1","2.43","3.29","5.75","4","2","2","1","28.6","50","100","1","1","14.3","25","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10.3","0.05","2.58"
"Logan Thomas","WAS","15","TE","74","54","0","487","0","4","0","3","73","6.57","6.58","9.02","4.37","13","6","4","17.6","11.1","100","7","3","9.5","5.6","75","1","0","2","0","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","1","1","99.9","0.14","1.82"
"Zach Ertz","ARZ","7","TE","42","27","0","187","0","1","0","4","64.3","6.95","4.45","6.93","1.89","10","3","1","23.8","11.1","100","1","0","2.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.2","0.13","1.41"
"Jimmy Graham","NO","12","TE","7","6","0","39","0","4","0","0","85.7","8.29","5.57","6.5","0.67","5","5","4","71.4","83.3","100","4","4","57.1","66.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.9","0.19","5.15"
"Andrew Ogletree","IND","12","TE","19","9","0","147","0","2","0","1","47.4","11.95","7.74","16.33","3.33","6","2","2","31.6","22.2","100","2","1","10.5","11.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.2","0.09","3.47"
"Darnell Washington","PIT","16","TE","9","7","0","61","0","0","0","0","77.8","1.56","6.78","8.71","7.29","1","1","0","11.1","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.6","0.02","1.37"
"Michael Mayer","LV","14","TE","37","27","0","304","0","2","0","2","73","6.35","8.22","11.26","6.04","7","5","2","18.9","18.5","100","1","1","2.7","3.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","55.9","0.09","2.07"
