"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Tua Tagovailoa","MIA","1","57","48","28","4","72.7","316","1","9.7","2","0","0","1","4","3","1","0","6.3","2.1","6","24","1","0","0","2","1","33.3","1","1","16.7","0","0","28","0.49"
"Josh Allen","BUF","1","46","43","24","2","65","238","0","11.5","2","0","0","1","1","3","1","0","7","2.3","6","28","0","0","1","2","0","33.3","0","0","0","0","0","19.3","0.42"
"Baker Mayfield","CLV","1","52","47","28","1","76.3","343","1","10.8","2","0","0","1","0","3","1","0","6.4","2.1","5","23","1","0","1","1","1","20","1","1","20","1","1","29","0.56"
"Logan Woodside","TEN","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","0","0","0","0","0","0","0","0","1.8",""
"Ryan Finley","CIN","1","4","2","1","0","50","5","0","12","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.05"
"Lamar Jackson","BLT","1","26","17","11","2","81.3","163","0","11.6","1","1","0","0","4","0","0","0","0","0","9","124","2","0","0","3","2","33.3","1","1","11.1","0","0","34.9","1.34"
"Dwayne Haskins","WAS","1","13","12","7","2","75","51","0","3.3","0","0","0","0","1","1","0","0","8.3","0","4","-12","0","0","0","0","0","0","0","0","0","0","0","0.8","0.06"
"Gardner Minshew","JAX","1","33","31","18","0","64.3","178","0","9.1","1","0","0","0","0","5","0","0","16.1","0","2","22","0","0","0","0","0","0","0","0","0","0","0","13.3","0.4"
"Jalen Hurts","PHI","1","34","30","17","0","70.8","167","0","6.4","1","0","0","0","0","1","1","0","3.3","3.3","18","106","0","0","1","0","0","0","0","0","0","0","0","21.3","0.63"
"Drew Lock","DEN","1","30","27","21","1","81.5","280","0","6.6","4","1","0","0","1","2","1","0","7.4","3.7","6","4","0","0","2","0","0","0","0","0","0","0","1","27.6","0.92"
"Daniel Jones","NYG","1","27","21","11","0","55","127","0","11.3","0","0","0","0","6","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5.1","0.19"
"Kyler Murray","ARZ","1","44","35","24","0","75","244","0","6.1","1","0","0","0","1","2","1","0","5.7","2.9","13","47","0","0","1","0","0","0","0","0","0","0","0","18.5","0.42"
"Trace McSorley","BLT","1","4","4","1","1","100","13","0","9","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0.6","0.15"
"Sam Darnold","NYJ","1","30","26","14","1","68.2","132","0","10.1","0","0","0","0","3","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","5.6","0.19"
"Justin Herbert","LAC","1","45","44","36","0","81.8","243","0","5.4","2","0","0","1","1","2","2","0","4.5","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","16.7","0.37"
"Jarrett Stidham","NE","1","9","7","5","0","71.4","27","0","0.9","0","0","0","0","2","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1.4","0.16"
"Nick Mullens","SF","1","49","45","25","5","75","260","0","6.5","1","0","0","1","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","13.4","0.27"
"Taysom Hill","NO","1","46","38","28","2","83.3","291","0","6.5","2","0","0","1","5","3","2","0","7.9","5.3","5","33","0","0","1","0","0","0","0","0","0","0","0","21.9","0.48"
