"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Tua Tagovailoa","MIA","1","34","28","20","1","84","248","0","10.1","2","0","0","0","3","2","1","0","7.1","3.6","7","35","0","0","0","0","0","0","0","0","0","0","0","21.4","0.63"
"Josh Allen","BUF","1","48","38","31","0","83.8","415","1","10.5","3","0","0","0","7","3","2","0","7.9","5.3","7","14","1","0","0","3","1","42.9","1","1","14.3","0","0","36","0.75"
"Mason Rudolph","PIT","1","3","3","2","0","66.7","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.03"
"Lamar Jackson","BLT","1","29","23","19","1","87","170","0","4","0","0","0","0","2","0","0","0","0","0","13","58","1","0","0","3","1","23.1","0","0","0","0","0","18.6","0.64"
"Drew Lock","DEN","1","55","48","25","5","75","313","1","11","2","0","0","1","1","5","1","0","10.4","2.1","7","47","1","0","0","2","1","28.6","0","0","0","0","0","30.2","0.55"
"Daniel Jones","NYG","1","39","34","23","3","83.9","212","0","5.3","1","0","0","0","5","1","1","0","2.9","2.9","6","4","0","0","2","0","0","0","0","0","0","0","0","12.9","0.33"
"Kyler Murray","ARZ","1","32","26","21","0","87.5","283","0","11.2","3","1","1","0","1","2","1","0","7.7","3.8","11","106","1","0","1","2","1","18.2","0","0","0","0","0","39.9","1.25"
"Justin Herbert","LAC","1","47","42","28","1","74.4","326","1","8.1","2","0","0","0","2","6","0","0","14.3","0","5","24","0","0","0","1","0","20","0","0","0","0","0","23.4","0.5"
"Kyle Allen","WAS","1","7","7","5","1","100","62","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.36"
"Tim Boyle","GB","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","-0.1",""
"Jake Luton","JAX","1","41","38","26","3","80.6","304","1","9.2","1","1","1","1","2","0","0","0","0","0","1","13","1","0","1","1","1","100","0","0","0","0","1","22.5","0.55"
"Nick Mullens","SF","1","36","35","22","1","74.2","291","0","6.1","1","1","0","1","1","1","0","0","2.9","0","1","0","0","0","1","1","0","100","1","0","100","0","0","14.6","0.41"
"Taysom Hill","NO","1","3","2","2","0","100","48","0","9.5","0","0","0","0","0","0","0","0","0","0","7","54","0","0","1","4","0","57.1","0","0","0","0","0","7.3","2.43"
"Deshaun Watson","HST","1","40","32","19","1","69","281","0","8.3","2","2","2","0","2","1","0","0","3.1","0","10","50","0","0","1","1","0","10","0","0","0","0","0","24.2","0.6"
"Patrick Mahomes","KC","1","48","45","30","3","75","372","1","9.8","4","0","0","0","2","5","3","0","11.1","6.7","1","6","0","0","0","1","0","100","0","0","0","0","0","31.5","0.66"
"Jacoby Brissett","IND","1","1","1","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jameis Winston","NO","1","1","1","1","0","100","12","0","1","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2"
"Garrett Gilbert","DAL","1","42","38","21","1","68.8","243","0","11","1","0","0","1","2","4","1","1","10.5","2.6","3","28","0","0","0","0","0","0","0","0","0","0","0","15.5","0.37"
"Derek Carr","LV","1","26","23","13","1","63.6","165","0","12.7","2","1","0","0","1","1","1","0","4.3","4.3","2","14","0","0","1","1","0","50","0","0","0","0","0","16","0.62"
"Teddy Bridgewater","CAR","1","52","49","36","0","85.7","310","1","4.5","2","0","0","0","2","0","0","0","0","0","2","19","1","0","0","1","1","50","1","1","50","0","0","28.3","0.54"
"Kirk Cousins","MIN","1","21","20","13","0","72.2","220","0","12.3","3","0","0","0","1","2","1","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","20.8","0.99"
"Nick Foles","CHI","1","56","52","36","0","83.7","335","1","6.7","2","0","0","0","3","3","1","0","5.8","1.9","2","2","0","0","1","0","0","0","0","0","0","0","0","21.6","0.39"
"Russell Wilson","SEA","1","46","41","28","0","73.7","390","1","10.4","2","1","1","2","4","4","1","1","9.8","2.4","3","3","1","0","2","1","1","33.3","1","1","33.3","0","0","27.9","0.61"
"Ryan Tannehill","TEN","1","25","21","10","2","60","158","0","10.4","2","1","0","0","3","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","14.6","0.58"
"Tyrod Taylor","LAC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"Blaine Gabbert","TB","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","-0.1",""
"Cam Newton","NE","1","36","35","27","0","84.4","274","0","9","0","0","0","0","0","0","0","0","0","0","10","16","2","0","0","6","2","60","4","2","40","0","0","24.6","0.68"
"Chase Daniel","DET","1","14","13","8","2","83.3","94","0","8.2","1","0","0","1","0","1","1","0","7.7","7.7","1","5","0","0","0","0","0","0","0","0","0","0","0","7.3","0.52"
"Matthew Stafford","DET","1","34","32","23","2","78.1","211","0","6","1","0","0","2","2","2","0","1","6.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4","0.31"
"Joe Flacco","NYJ","1","26","25","18","0","75","262","0","13.7","3","1","1","1","1","4","2","0","16","8","0","0","0","0","0","0","0","0","0","0","0","0","0","21.5","0.83"
"Matt Ryan","ATL","1","38","35","25","1","81.3","284","0","10.6","3","1","1","1","2","3","2","0","8.6","5.7","3","10","0","0","0","1","0","33.3","0","0","0","0","0","23.4","0.62"
"Aaron Rodgers","GB","1","33","31","25","1","89.7","305","1","8.3","4","1","1","0","1","3","3","0","9.7","9.7","1","7","0","0","0","0","0","0","0","0","0","0","0","28.9","0.88"
"Alex Smith","WAS","1","34","32","24","1","80.6","325","1","3.5","1","1","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0.41"
"Ben Roethlisberger","PIT","1","43","42","29","3","80","306","1","7.4","3","0","0","0","0","1","1","0","2.4","2.4","1","8","0","0","0","0","0","0","0","0","0","0","1","25","0.58"
"Philip Rivers","IND","1","43","43","25","0","65.8","227","0","7.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","0.19"
"Drew Brees","NO","1","33","32","26","0","83.9","222","0","6","4","0","0","0","1","4","4","0","12.5","12.5","2","-2","0","0","1","0","0","0","0","0","0","0","0","24.7","0.75"
"Tom Brady","TB","1","41","38","22","3","69.4","209","0","10.1","0","0","0","3","3","3","0","0","7.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.4","0.13"
