"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","3","0","1","0","0","0","19","0","0","0","31","0","0","0","0","0","1","0","0","321","127","0","0","0","0","0","0","1","0","0","0","4","4"
"ATL","1","1","0","0","0","0","0","19","0","20","0","24","0","0","0","0","1","0","0","0","151","84","0","0","0","1","0","0","0","0","0","0","1","1"
"BLT","1","1","0","1","0","0","0","0","0","2","0","24","0","0","0","0","1","0","0","0","222","66","0","0","0","1","0","0","0","0","0","0","3","3"
"BUF","1","0","1","2","0","0","0","41","0","0","0","10","0","0","1","0","0","0","0","0","185","55","0","0","0","1","0","0","0","0","0","0","10","10"
"CAR","1","4","0","1","0","0","0","0","0","15","0","20","0","0","0","1","0","0","0","0","236","134","0","0","0","0","0","1","0","0","0","0","7","7"
"CHI","1","0","0","0","0","0","1","0","0","0","0","27","0","0","0","0","1","0","0","0","328","120","0","0","0","0","0","0","1","0","0","0","1","1"
"CIN","1","0","0","0","0","0","0","0","0","81","1","27","0","0","0","0","1","0","0","0","237","178","0","0","0","0","0","0","1","0","0","0","6","6"
"CLV","1","2","1","1","0","0","0","0","0","0","0","26","0","0","0","0","1","0","0","0","222","55","0","0","0","1","0","0","0","0","0","0","6","6"
"DAL","1","3","1","3","0","0","0","0","0","0","0","10","0","0","1","0","0","0","0","0","170","64","0","0","0","1","0","0","0","0","0","0","15","15"
"DEN","1","4","0","0","0","0","0","0","0","45","0","35","0","0","0","0","0","0","1","0","299","122","0","0","0","0","0","0","1","0","0","0","0","0"
"DET","1","1","0","0","0","0","0","0","0","17","0","37","0","0","0","0","0","0","1","0","328","82","0","0","0","0","0","0","1","0","0","0","-3","-3"
"GB","1","1","0","1","0","0","0","55","0","0","0","25","0","0","0","0","1","0","0","0","237","211","0","0","0","0","0","0","1","0","0","0","3","3"
"HST","1","0","0","0","0","0","0","37","0","20","0","31","0","0","0","0","0","1","0","0","227","126","0","0","0","0","0","1","0","0","0","0","-1","-1"
"IND","1","6","1","0","0","0","0","0","0","0","0","20","0","0","0","1","0","0","0","0","384","43","0","0","0","0","0","0","1","0","0","0","9","9"
"JAX","1","1","2","1","0","0","0","0","0","5","0","17","0","0","0","1","0","0","0","0","306","104","0","0","0","0","0","0","1","0","0","0","8","8"
"KC","1","4","1","0","0","0","0","14","0","8","0","9","0","0","1","0","0","0","0","0","215","74","0","0","0","1","0","0","0","0","0","0","10","10"
"MIA","1","4","1","1","0","0","0","0","0","27","0","17","0","0","0","1","0","0","0","0","231","88","0","0","0","0","1","0","0","0","0","0","9","9"
"MIN","1","4","0","1","0","0","0","0","0","18","0","34","0","0","0","0","0","1","0","0","193","259","0","0","0","0","0","0","0","1","0","0","5","5"
"NE","1","1","0","1","0","0","1","0","0","12","0","24","0","0","0","0","1","0","0","0","249","143","0","0","0","0","0","1","0","0","0","0","4","4"
"NO","1","4","1","0","0","0","0","47","0","16","0","17","0","0","0","1","0","0","0","0","153","100","0","0","0","1","0","0","0","0","0","0","7","7"
"NYG","1","0","0","0","0","0","0","0","0","14","0","28","0","0","0","0","0","1","0","0","228","151","0","0","0","0","0","1","0","0","0","0","-1","-1"
"NYJ","1","1","0","0","0","0","0","0","0","7","0","30","0","0","0","0","0","1","0","0","255","134","0","0","0","0","0","1","0","0","0","0","0","0"
"LV","1","2","0","0","0","0","0","23","0","0","0","38","0","0","0","0","0","0","1","0","274","183","0","0","0","0","0","0","0","1","0","0","-2","-2"
"PHI","1","2","3","0","0","0","0","0","0","2","0","28","0","0","0","0","0","1","0","0","364","27","0","0","0","0","0","1","0","0","0","0","7","7"
"PIT","1","6","3","1","2","0","0","0","0","14","0","22","0","0","0","0","1","0","0","0","235","198","0","0","0","0","0","0","1","0","0","0","26","26"
"LA","1","1","0","0","0","0","0","20","0","11","0","30","0","0","0","0","0","1","0","0","206","159","0","0","0","0","0","1","0","0","0","0","0","0"
"LAC","1","5","0","0","0","0","0","24","0","63","0","27","0","0","0","0","1","0","0","0","246","141","0","0","0","0","0","1","0","0","0","0","5","5"
"SF","1","1","0","2","0","0","0","0","0","13","0","23","0","0","0","0","1","0","0","0","307","89","0","0","0","0","0","1","0","0","0","0","5","5"
"SEA","1","2","2","1","1","0","0","67","0","0","0","31","0","0","0","0","0","1","0","0","323","102","0","0","0","0","0","0","1","0","0","0","13","13"
"TB","1","6","0","2","1","0","0","0","0","7","0","17","0","0","0","1","0","0","0","0","211","67","0","0","0","1","0","0","0","0","0","0","17","17"
"TEN","1","3","0","0","0","0","0","0","0","11","0","24","0","0","0","0","1","0","0","0","305","61","0","0","0","0","0","1","0","0","0","0","3","3"
"WAS","1","7","2","1","0","0","0","0","0","9","0","33","0","0","0","0","0","1","0","0","308","122","0","0","0","0","0","0","1","0","0","0","12","12"
