"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Treylon Burks","TEN","1","WR","3","2","0","14","0","0","0","0","66.7","9.33","4.67","7","3","1","0","0","33.3","0","0","0","0","0","0","0","1","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8","0.08","0.93"
"Gunner Olszewski","PIT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Bandy","LAC","1","WR","2","2","0","49","0","0","0","0","100","22.5","24.5","24.5","2","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.9","0.3","2.95"
"Drake London","ATL","1","WR","7","2","0","17","0","0","0","0","28.6","9.43","2.43","8.5","2","1","0","0","14.3","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7","0.06","1.35"
"Simi Fehoko","DAL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jahan Dotson","WAS","1","WR","4","3","0","43","0","1","0","0","75","22","10.75","14.33","1.67","2","1","1","50","33.3","100","1","1","25","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.8","0.27","3.93"
"Rashod Bateman","BLT","1","WR","6","3","0","17","0","0","0","2","50","5.83","2.83","5.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2","0.1","1.07"
"Dax Milne","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Anthony Schwartz","CLV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jaylen Waddle","MIA","1","WR","5","2","0","39","0","0","0","1","40","10.8","7.8","19.5","10","2","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9","0.09","2.45"
"Alec Pierce","IND","1","WR","6","4","1","80","0","0","0","0","66.7","15.5","13.33","20","2.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0.34","2.5"
"Justin Watson","KC","1","WR","1","0","0","0","0","0","0","0","0","35","0","0","0","1","0","0","100","0","0","1","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tim Jones","JAX","1","WR","1","0","0","0","0","0","0","1","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"CeeDee Lamb","DAL","1","WR","7","6","0","97","0","1","0","0","85.7","14.43","13.86","16.17","6","3","2","1","42.9","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.7","0.32","3.12"
"Marquise Brown","ARZ","1","WR","9","6","0","88","0","1","0","0","66.7","11.44","9.78","14.67","2.67","2","1","1","22.2","16.7","100","1","1","11.1","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.8","0.25","2.97"
"Nico Collins","HST","1","WR","5","3","1","82","0","0","0","0","60","21.2","16.4","27.33","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.7","0.22","3.23"
"Donovan Peoples-Jones","CLV","1","WR","8","5","1","71","0","0","0","0","62.5","13.5","8.88","14.2","2.4","1","1","0","12.5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.6","0.16","1.92"
"Justin Jefferson","MIN","1","WR","13","10","1","147","1","0","0","2","76.9","11.08","11.31","14.7","5","3","2","0","23.1","20","0","1","0","7.7","0","0","1","0","3","0","1","0","3","0","0","0","0","1","1","100","100","1","1","100","100","0","0","26","0.38","2.36"
"Tee Higgins","CIN","1","WR","9","7","1","124","1","1","1","0","77.8","11","13.78","17.71","10","1","0","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.9","0.45","3.13"
"DeVonta Smith","PHI","1","WR","4","3","0","17","0","0","0","0","75","8.75","4.25","5.67","0","2","2","0","50","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.2","0.05","1.07"
"Gabe Davis","BUF","1","WR","3","1","0","13","0","0","0","1","33.3","8.33","4.33","13","0","1","0","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8","0.03","1.8"
"Deebo Samuel","SF","1","WR","7","6","1","115","1","1","1","0","85.7","1.86","16.43","19.17","17.67","1","1","0","14.3","16.7","0","0","0","0","0","0","2","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7","0.52","2.59"
"DJ Moore","CAR","1","WR","9","6","0","50","0","0","0","0","66.7","7.78","5.56","8.33","2.33","1","1","0","11.1","16.7","0","0","0","0","0","0","1","0","11","0","0","0","11","4","1","1","0","0","0","0","0","0","0","0","0","0","0","9.1","0.18","1.3"
"Terry McLaurin","WAS","1","WR","6","2","0","15","0","0","0","0","33.3","16","2.5","7.5","8","2","1","0","33.3","50","0","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.04","1.25"
