Player,Age,GS,TD%,Int%,Lng,AY/A,Y/C,Y/G,QBR,NY/A,ANY/A,4QC,GWD,Player-additional
Peyton Manning*+,37,16,8.3,1.5,78,9.3,12.2,342.3,79.0,7.91,8.87,2,2,MannPe00
Drew Brees*,34,16,6.0,1.8,76,8.3,11.6,322.6,69.1,7.16,7.51,2,2,BreeDr00
Matthew Stafford,25,16,4.6,3.0,87,6.9,12.5,290.6,53.5,6.82,6.40,2,3,StafMa00
Matt Ryan,28,16,4.0,2.6,81,6.6,10.3,282.2,67.5,6.07,5.72,1,1,RyanMa00
Philip Rivers*,32,16,5.9,2.0,60,8.5,11.8,279.9,75.1,7.54,7.79,4,4,RivePh00
Tom Brady*,36,16,4.0,1.8,81,6.9,11.4,271.4,63.1,6.12,6.13,5,5,BradTo00
Andy Dalton,26,16,5.6,3.4,82,6.9,11.8,268.3,54.8,6.68,6.29,1,3,DaltAn00
Carson Palmer,34,16,4.2,3.8,91,6.6,11.8,267.1,54.0,6.50,5.67,3,4,PalmCa00
Ben Roethlisberger,31,16,4.8,2.4,67,7.2,11.4,266.3,58.0,6.36,6.24,1,3,RoetBe00
Ryan Tannehill,25,16,4.1,2.9,67,6.2,11.0,244.6,48.4,5.44,5.00,4,3,TannRy00
Joe Flacco,28,16,3.1,3.6,74,5.4,10.8,244.5,48.0,5.42,4.50,2,4,FlacJo00
Tony Romo,33,15,5.8,1.9,82,7.5,11.2,255.2,61.9,6.24,6.54,2,4,RomoTo00
Andrew Luck*,24,16,4.0,1.6,73,6.8,11.1,238.9,63.8,5.97,6.06,3,3,LuckAn00
Eli Manning,32,16,3.3,4.9,70,5.4,12.0,238.6,38.6,5.99,4.55,1,2,MannEl00
Cam Newton*,24,16,5.1,2.7,79,6.9,11.6,211.2,64.3,5.90,5.69,4,4,NewtCa00
Russell Wilson*,25,16,6.4,2.2,80,8.5,13.1,209.8,67.2,6.84,7.10,3,4,WilsRu00
Alex Smith*,29,15,4.5,1.4,71,6.8,10.8,220.9,45.0,5.67,5.94,1,1,SmitAl03
Chad Henne,28,13,2.6,2.8,62,5.7,10.6,216.1,34.9,5.54,4.86,1,1,HennCh01
Robert Griffin III,23,13,3.5,2.6,62,6.5,11.7,246.4,50.4,5.93,5.48,1,2,GrifRo01
Colin Kaepernick,26,16,5.0,1.9,64,7.8,13.2,199.8,67.3,6.52,6.65,2,3,KaepCo00
Geno Smith,23,16,2.7,4.7,69,5.3,12.3,190.4,41.0,5.62,4.17,2,5,SmitGe00
