"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Hunter Renfrow","LV","WR","6.7","6.4","0.2999999999999998","6.7","6.4","0.3","1","5","4.02","42","34.9","0","0.144","0","0","0","0"
"Christian McCaffrey","SF","RB","18.8","20.9","-2.099999999999998","18.8","20.9","-2.1","1","5","4.14","25","30.92","1","0.4992","78","82.8688","0","0.75"
"Ty Johnson","BUF","RB","13.3","5","8.3","13.3","5","8.3","1","3","2.61","47","22.43","1","0.0096","11","13.5338","0","0.01"
"T.J. Hockenson","MIN","TE","7.5","8","-0.5","7.5","8","-0.5","1","4","4.07","55","48.63","0","0.1824","0","0","0","0"
"Devin Singletary","HST","RB","18.8","14","4.800000000000001","18.8","14","4.8","1","2","1.82","6","11.56","0","0.0096","112","96.2948","1","0.38"
"Byron Pringle","WAS","WR","3.7","3.3","0.40000000000000036","3.7","3.3","0.4","1","3","2.51","22","20.9","0","0","0","0","0","0"
"Josh Jacobs","LV","RB","5.6","8.6","-3","5.6","8.6","-3","1","1","1.63","12","11.48","0","0.0384","39","62.1124","0","0.03"
"Trey McBride","ARZ","TE","6.8","8.9","-2.1000000000000005","6.8","8.9","-2.1","1","5","5.26","43","61.29","0","0.0192","0","0","0","0"
"Nico Collins","HST","WR","10","18.8","-8.8","10","18.8","-8.8","1","7","7.05","65","72.39","0","1.3344","0","0","0","0"
"Elijah Higgins","ARZ","TE","0.7","2.1","-1.4000000000000001","0.7","2.1","-1.4","1","1","1.64","2","12.94","0","0","0","0","0","0"
"Chigoziem Okonkwo","TEN","TE","1.1","3.1","-2","1.1","3.1","-2","1","1","1.32","6","19.47","0","0.0768","0","0","0","0"
"Ameer Abdullah","LV","RB","0.9","1.3","-0.4","0.9","1.3","-0.4","1","1","0.84","4","8.67","0","0","0","0","0","0"
"Samaje Perine","DEN","RB","10.2","8.9","1.299999999999999","10.2","8.9","1.3","1","7","5.98","60","43.71","0","0.1728","7","4.655","0","0"
"Austin Hooper","LV","TE","0","0.9","-0.9","0","0.9","-0.9","1","0","0.47","0","7.14","0","0","0","0","0","0"
"David Montgomery","DET","RB","16.8","11.5","5.300000000000001","16.8","11.5","5.3","1","2","1.67","22","15.87","0","0","76","47.4324","1","0.73"
"Zach Charbonnet","SEA","RB","9.9","15.2","-5.299999999999999","9.9","15.2","-5.3","1","6","5.17","22","26.06","0","0","47","61.8478","0","0.64"
"De'Von Achane","MIA","RB","1","1.4","-0.3999999999999999","1","1.4","-0.4","1","1","0.92","4","4.85","0","0","1","4.3218","0","0"
"Charlie Kolar","BLT","TE","1.8","1.3","0.5","1.8","1.3","0.5","1","1","0.84","13","8.57","0","0","0","0","0","0"
"Tre Tucker","LV","WR","4","11.3","-7.300000000000001","4","11.3","-7.3","1","2","4.26","36","71.25","0","0.2592","-6","4.6648","0","0"
"Jahmyr Gibbs","DET","RB","18.5","15.3","3.1999999999999993","18.5","15.3","3.2","1","6","5.19","59","45.16","0","0.0672","36","29.2432","1","0.81"
"Rakim Jarrett","TB","WR","4.6","3.1","1.4999999999999996","4.6","3.1","1.5","1","1","0.96","41","26.3","0","0","0","0","0","0"
"Salvon Ahmed","MIA","RB","10.6","6.6","4","10.6","6.6","4","1","3","2.5","25","14.16","1","0.432","6","11.8482","0","0.03"
"Clyde Edwards-Helaire","KC","RB","2","1.1","0.8999999999999999","2","1.1","0.9","1","0","0","0","0","0","0","20","9.604","0","0.02"
"Deebo Samuel","SF","WR","7.7","6","1.7000000000000002","7.7","6","1.7","1","3","2.58","63","38.47","0","0.0672","-1","4.5178","0","0"
"Jaylen Warren","PIT","RB","22","7.2","14.8","22","7.2","14.8","1","3","2.89","16","13.91","0","0.0096","129","39.8468","1","0.05"
"Adam Trautman","DEN","TE","4.3","3.1","1.1999999999999997","4.3","3.1","1.2","1","2","1.43","33","23.1","0","0.0096","0","0","0","0"
"Tyler Scott","CHI","WR","0.9","2.7","-1.8000000000000003","0.9","2.7","-1.8","1","1","1.09","4","20.89","0","0.0096","0","0","0","0"
"Logan Thomas","WAS","TE","8.3","15.2","-6.899999999999999","8.3","15.2","-6.9","1","5","5.57","58","59.69","0","1.0752","0","0","0","0"
"Noah Gray","KC","TE","0","1.5","-1.5","0","1.5","-1.5","1","0","0.81","0","11.11","0","0","0","0","0","0"
"Puka Nacua","LA","WR","16.2","12.8","3.3999999999999986","16.2","12.8","3.4","1","5","4.29","70","53.29","1","0.7968","7","3.1654","0","0.04"
"Israel Abanikanda","NYJ","RB","2.1","2.9","-0.7999999999999998","2.1","2.9","-0.8","1","1","1.79","5","14.48","0","0.0096","11","4.557","0","0"
"Kenneth Gainwell","PHI","RB","1","1.5","-0.5","1","1.5","-0.5","1","1","0.82","4","5.32","0","0","1","4.851","0","0.01"
"Rico Dowdle","DAL","RB","3","6.9","-3.9000000000000004","3","6.9","-3.9","1","2","1.87","-3","10.7","0","0.144","23","34.5548","0","0.09"
"Isaiah Hodgins","NYG","WR","3.2","2.9","0.30000000000000027","3.2","2.9","0.3","1","2","2.14","22","18.42","0","0","0","0","0","0"
"Jerome Ford","CLV","RB","10.9","14.9","-4","10.9","14.9","-4","1","2","3.72","8","20.9","0","0.0192","31","46.5896","1","1.03"
"John Bates","WAS","TE","2.5","2.1","0.3999999999999999","2.5","2.1","0.4","1","2","1.35","15","13.57","0","0.0096","0","0","0","0"
"Malik Heath","GB","WR","1.2","1","0.19999999999999996","1.2","1","0.2","1","1","0.83","7","5.52","0","0","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","17.7","18.6","-0.9000000000000021","17.7","18.6","-0.9","1","8","8.05","77","73.07","1","1.2096","0","0","0","0"
"Rachaad White","TB","RB","14.8","14.8","0","14.8","14.8","0","1","6","6.18","28","40.74","0","0.1824","30","35.3","1","0.5"
"Jaxon Smith-Njigba","SEA","WR","5.5","9","-3.5","5.5","9","-3.5","1","3","3.35","40","70.24","0","0.048","0","0","0","0"
"Najee Harris","PIT","RB","4.1","6.6","-2.5","4.1","6.6","-2.5","1","1","0.85","1","5.17","0","0","35","55.4778","0","0.02"
"Skyy Moore","KC","WR","0.9","1","-0.09999999999999998","0.9","1","-0.1","1","1","0.86","4","6.19","0","0","0","0","0","0"
"Jalin Hyatt","NYG","WR","1.2","2.6","-1.4000000000000001","1.2","2.6","-1.4","1","1","1.04","7","20.1","0","0.0096","0","0","0","0"
"Cade Otton","TB","TE","6.9","8.3","-1.4000000000000004","6.9","8.3","-1.4","1","4","3.42","49","34.14","0","0.528","0","0","0","0"
"Jakobi Meyers","LV","WR","6.9","6","0.9000000000000004","6.9","6","0.9","1","4","2.74","49","35.16","0","0.1824","0","0","0","0"
"Luke Schoonmaker","DAL","TE","9.3","4.6","4.700000000000001","9.3","4.6","4.7","1","2","1.24","23","15.25","1","0.4032","0","0","0","0"
"Tyler Conklin","NYJ","TE","2.8","3.8","-1","2.8","3.8","-1","1","2","2.35","18","25.79","0","0","0","0","0","0"
"Jack Stoll","PHI","TE","0.8","2.1","-1.3","0.8","2.1","-1.3","1","1","1.72","3","12.89","0","0","0","0","0","0"
"Khalil Herbert","CHI","RB","5.1","13.1","-8","5.1","13.1","-8","1","2","2.18","6","18.1","0","0.432","35","71.0696","0","0.08"
"Calvin Ridley","JAX","WR","27.6","16.6","11","27.6","16.6","11","1","7","5.08","103","67.09","2","1.152","18","4.6648","0","0"
"Tyjae Spears","TEN","RB","3.6","5.7","-2.1","3.6","5.7","-2.1","1","2","1.76","12","10.96","0","0","14","16.464","0","0.34"
"Tyreek Hill","MIA","WR","25.6","19.2","6.400000000000002","25.6","19.2","6.4","1","10","7.58","146","109.48","1","0.7392","0","0","0","0"
"Michael Mayer","LV","TE","6.6","5.3","1.2999999999999998","6.6","5.3","1.3","1","4","3.8","46","32.69","0","0.0192","0","0","0","0"
"Garrett Wilson","NYJ","WR","1.9","9.9","-8","1.9","9.9","-8","1","2","4.97","9","73.69","0","0","0","0","0","0"
"Tommy Tremble","CAR","TE","6.9","6.1","0.8000000000000007","6.9","6.1","0.8","1","1","2.18","4","14.42","1","0.5952","0","0","0","0"
"Quintin Morris","BUF","TE","1.6","4.7","-3.1","1.6","4.7","-3.1","1","1","1.26","11","11.78","0","0.4896","0","0","0","0"
"Tutu Atwell","LA","WR","2.2","5.8","-3.5999999999999996","2.2","5.8","-3.6","1","1","1.69","17","18.59","0","0.5184","0","0","0","0"
"Rashee Rice","KC","WR","6.2","5.3","0.9000000000000004","6.2","5.3","0.9","1","4","3.69","42","32.16","0","0.048","0","0","0","0"
"Deonte Harty","BUF","WR","-0.2","1.6","-1.8","-0.2","1.6","-1.8","1","0","0.79","0","6.91","0","0","-2","4.1356","0","0.02"
"Tyler Higbee","LA","TE","2.2","2.7","-0.5","2.2","2.7","-0.5","1","1","1.51","17","14.07","0","0.0864","0","0","0","0"
"Amari Cooper","CLV","WR","5.4","9.7","-4.299999999999999","5.4","9.7","-4.3","1","4","4.88","34","46.58","0","0.4416","0","0","0","0"
