id,player,team,opponent,position,salary,ownership
94704-89956,Travis Etienne Jr.,JAC,IND,RB,7700,21.2
94704-28744,Raheem Mostert,MIA,CAR,RB,8500,19.6
94704-79970,Cooper Kupp,LAR,ARI,WR,8700,19.0
94704-85701,Ja'Marr Chase,CIN,SEA,WR,9300,17.7
94704-87467,Chuba Hubbard,CAR,MIA,RB,5500,16.6
94704-104433,Kyren Williams,LAR,ARI,RB,8200,16.2
94704-12549,San Francisco 49ers,SF,CLE,D,5000,15.9
94704-41872,Evan Engram,JAC,IND,TE,5500,15.4
94704-55050,Christian McCaffrey,SF,CLE,RB,10300,15.2
94704-52442,Joe Mixon,CIN,SEA,RB,7000,15.0
94704-90573,Jaylen Waddle,MIA,CAR,WR,6800,14.8
94704-69213,Michael Pittman Jr.,IND,JAC,WR,6500,14.5
94704-103020,Puka Nacua,LAR,ARI,WR,7900,14.5
94704-86055,Dameon Pierce,HOU,NO,RB,5900,14.5
94704-91598,D'Andre Swift,PHI,NYJ,RB,7200,14.4
94704-60858,Christian Kirk,JAC,IND,WR,6600,14.3
94704-55830,D'Onta Foreman,CHI,MIN,RB,6000,14.0
94704-64555,Calvin Ridley,JAC,IND,WR,7000,13.7
94704-73273,David Montgomery,DET,TB,RB,8100,13.6
94704-42104,Alvin Kamara,NO,HOU,RB,7500,12.8
94704-129210,Jordan Addison,MIN,CHI,WR,6700,12.6
94704-32384,Mike Evans,TB,DET,WR,7600,12.2
94704-72731,Josh Jacobs,LV,NE,RB,8000,12.1
94704-63336,Joe Burrow,CIN,SEA,QB,7500,11.3
94704-72846,A.J. Brown,PHI,NYJ,WR,8200,11.3
94704-89951,Trevor Lawrence,JAC,IND,QB,7600,10.9
94704-45889,Davante Adams,LV,NE,WR,8300,10.8
94704-6654,Matthew Stafford,LAR,ARI,QB,7300,10.5
94704-12540,Minnesota Vikings,MIN,CHI,D,4000,10.5
94704-53681,Tyreek Hill,MIA,CAR,WR,9800,10.3
94704-136855,Bijan Robinson,ATL,WAS,RB,7600,10.2
94704-12527,Chicago Bears,CHI,MIN,D,3200,9.4
94704-137902,Rachaad White,TB,DET,RB,6300,9.4
94704-63634,Jakobi Meyers,LV,NE,WR,6700,9.2
94704-86080,Kyle Pitts,ATL,WAS,TE,5300,8.8
