Player,ADP
T.Y. Hilton,23.5
Danny Amendola,259
Cole Beasley,257.7
Leonard Hankerson,257
Randall Cobb,19.5
Marqise Lee,246.3
Cecil Shorts,244.7
Malcom Floyd,234.7
Jaelen Strong,234
Mohamed Sanu,223
Dwayne Bowe,204.3
Donte Moncrief,203.3
Kenny Britt,195
Jeff Janis,225.8
Reggie Wayne,174.3
A.J. Green,18.0
James Jones,217.3
Allen Hurns,214.5
Tyler Lockett,214
Kelvin Benjamin,142.7
Kevin White,141.3
Cody Latimer,177
Phillip Dorsett,176
Brandon Coleman,173.3
Dorial Green-Beckham,167.3
Marvin Jones,166.8
Calvin Johnson,14.8
Rueben Randle,166.8
Percy Harvin,162.8
Doug Baldwin,162.3
Jordy Nelson,89.7
Kenny Stills,150
Brian Quick,150
Michael Crabtree,145.8
Steve Johnson,143
Brandon LaFell,131.3
Markus Wheaton,129.5
Demaryius Thomas,11.8
Eddie Royal,127.3
Breshad Perriman,126.8
Terrance Williams,119
DeVante Parker,118.3
Pierre Garcon,115.5
Marques Colston,115.5
Devin Funchess,107.8
Torrey Smith,107.3
Michael Floyd,105.5
Kendall Wright,103.3
Odell Beckham,11.0
Anquan Boldin,102.5
Victor Cruz,99.5
Steve Smith,92.3
Eric Decker,92
Roddy White,91.3
Larry Fitzgerald,91
John Brown,87.5
Mike Wallace,80
Charles Johnson,75.3
Vincent Jackson,70.8
Dez Bryant,8.0
Nelson Agholor,68.8
Martavis Bryant,66.8
DeSean Jackson,65.3
Davante Adams,64
Allen Robinson,62.5
Brandon Marshall,57
Sammy Watkins,55.8
Jarvis Landry,51
Jeremy Maclin,50
Keenan Allen,49.3
Julio Jones,7.8
Julian Edelman,47.3
Golden Tate,45.5
Amari Cooper,45
Andre Johnson,44.3
Emmanuel Sanders,32.5
Jordan Matthews,31.5
DeAndre Hopkins,29.8
Mike Evans,26.8
Brandin Cooks,26.8
Alshon Jeffery,24.3
Antonio Brown,3.8
