"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Trent Sherfield","BUF","WR","0.8","1.2","-0.3999999999999999","0.8","1.2","-0.4","1","1","0.85","3","8.12","0","0","0","0","0","0"
"Hunter Renfrow","LV","WR","1.2","2.4","-1.2","1.2","2.4","-1.2","1","1","1.51","7","16.94","0","0","0","0","0","0"
"Ben Sims","GB","TE","1.7","1.1","0.5999999999999999","1.7","1.1","0.6","1","1","0.85","12","6.41","0","0","0","0","0","0"
"Rhamondre Stevenson","NE","RB","2.4","4.9","-2.5000000000000004","2.4","4.9","-2.5","1","0","0.84","0","9.08","0","0","24","35.4172","0","0"
"Christian McCaffrey","SF","RB","14.8","17.1","-2.3000000000000007","14.8","17.1","-2.3","1","2","1.81","27","13.66","0","0.0096","51","72.3248","1","1.25"
"T.J. Hockenson","MIN","TE","7.6","9.1","-1.5","7.6","9.1","-1.5","1","5","4.74","51","59.01","0","0.1344","0","0","0","0"
"Alec Pierce","IND","WR","1.5","2.4","-0.8999999999999999","1.5","2.4","-0.9","1","1","1.16","10","17.89","0","0","0","0","0","0"
"Devin Singletary","HST","RB","0","1","-1","0","1","-1","1","0","0.99","0","4.56","0","0","0","0","0","0"
"Byron Pringle","WAS","WR","1.5","2.4","-0.8999999999999999","1.5","2.4","-0.9","1","1","1.24","10","17.03","0","0.0096","0","0","0","0"
"Josh Jacobs","LV","RB","17.4","20.4","-3","17.4","20.4","-3","1","5","4.4","20","29.05","0","0.2784","69","82.4964","1","0.89"
"Trey McBride","ARZ","TE","2.7","4.4","-1.7000000000000002","2.7","4.4","-1.7","1","2","2.2","17","33.42","0","0","0","0","0","0"
"Nico Collins","HST","WR","5.4","5.4","0","5.4","5.4","0","1","3","3.13","39","31.72","0","0.1056","0","0","0","0"
"Damien Harris","BUF","RB","1.3","1.4","-0.09999999999999987","1.3","1.4","-0.1","1","0","0","0","0","0","0","13","13.7396","0","0"
"Chigoziem Okonkwo","TEN","TE","5.8","10.5","-4.7","5.8","10.5","-4.7","1","5","5.75","33","55.28","0","0.3456","0","0","0","0"
"Ameer Abdullah","LV","RB","2","1.6","0.3999999999999999","2","1.6","0.4","1","1","0.91","11","7.41","0","0","4","4.263","0","0"
"Samaje Perine","DEN","RB","11.5","8.5","3","11.5","8.5","3","1","4","3.49","73","27.75","0","0","22","24.941","0","0.24"
"Andrew Ogletree","IND","TE","2.6","2.1","0.5","2.6","2.1","0.5","1","2","1.35","16","14.59","0","0","0","0","0","0"
"Austin Hooper","LV","TE","2.1","2.2","-0.10000000000000009","2.1","2.2","-0.1","1","2","1.71","11","13.65","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","8.4","6.7","1.7000000000000002","8.4","6.7","1.7","1","4","4.85","64","41.38","0","0.0192","0","0","0","0"
"Randall Cobb","NYJ","WR","0","1.9","-1.9","0","1.9","-1.9","1","0","0.72","0","4.03","0","0.192","0","0","0","0"
"David Montgomery","DET","RB","19.9","19.4","0.5","19.9","19.4","0.5","1","2","4.12","20","27.84","0","0.0576","109","69.2276","1","1.22"
