Player,ADP
Jordan Reed,84.6
Kyle Rudolph,77.2
Delanie Walker,73
Evan Engram,66.4
Greg Olsen,56.4
Jimmy Graham,54.4
Zach Ertz,35
Dallas Goedert,255.7
Hayden Hurst,204.3
Austin Hooper,195.7
Vance McDonald,193.7
Mike Gesicki,179.7
Antonio Gates,214.3
Ricky Seals-Jones,198.5
Benjamin Watson,187.3
Charles Clay,179.5
Travis Kelce,26.6
Cameron Brate,175.8
Eric Ebron,175.5
Jared Cook,171
Austin Seferian-Jenkins,161.3
O.J. Howard,147.8
Tyler Eifert,137.4
George Kittle,136.8
David Njoku,112.6
Jack Doyle,108.6
Trey Burton,85.6
Rob Gronkowski,20.6
