Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Charlie Woerner,Falcons,2024,3,,"$12,000,000","$4,000,000","$6,570,000",,1.6%,,"$12,000,000","$4,000,000","$6,570,000"
Brock Wright,Lions,2024,3,,"$12,000,000","$4,000,000","$6,050,000",,1.6%,,"$12,000,000","$4,000,000","$6,050,000"
Levine Toilolo,Giants,2020,2,,"$6,200,000","$3,100,000","$3,225,000",,1.6%,,"$7,989,304","$3,994,652","$4,155,727"
Hayden Hurst,ATL/BAL,2018,4,,"$11,036,032","$2,759,008","$10,400,860",,1.6%,,"$15,906,335","$3,976,584","$14,990,856"
Logan Thomas,Commanders,2020,2,,"$6,145,000","$3,072,500","$2,250,000",,1.6%,,"$7,918,431","$3,959,215","$2,899,344"
Vernon Davis,Commanders,2016,1,,"$2,400,000","$2,400,000","$1,100,000",,1.5%,,"$3,947,704","$3,947,704","$1,809,364"
Josh Hill,Saints,2016,3,,"$7,100,000","$2,366,667","$3,250,000",,1.5%,,"$11,678,624","$3,892,875","$5,345,849"
Dalton Kincaid,Bills,2023,4,,"$13,427,040","$3,356,760","$13,427,040",,1.5%,,"$15,254,742","$3,813,686","$15,254,742"
Martellus Bennett,Giants,2012,1,,"$1,800,000","$1,800,000","$675,000",,1.5%,,"$3,811,940","$3,811,940","$1,429,478"
Ian Thomas,Panthers,2023,2,,"$6,650,000","$3,325,000","$4,000,000",,1.5%,,"$7,555,205","$3,777,602","$4,544,484"
Adam Trautman,Broncos,2024,2,,"$7,500,000","$3,750,000","$5,000,000",,1.5%,,"$7,500,000","$3,750,000","$5,000,000"
Dustin Keller,Jets,2008,5,,"$8,500,000","$1,700,000","$5,995,000",,1.5%,,"$18,714,655","$3,742,931","$13,199,336"
Luke Stocker,Falcons,2019,2,,"$5,500,000","$2,750,000","$1,500,000",,1.5%,,"$7,463,868","$3,731,934","$2,035,600"
Nick Vannett,Saints,2021,3,,"$8,000,000","$2,666,667","$3,800,000",,1.5%,,"$11,195,616","$3,731,873","$5,317,918"
Marcedes Lewis,Jaguars,2006,5,,"$7,430,000","$1,486,000","$5,100,000",,1.5%,,"$18,604,137","$3,720,827","$12,770,000"
