id,player,team,opponent,position,salary,ownership
93784-91872,Joshua Kelley,LAC,TEN,RB,6300,27.8
93784-25079,Stefon Diggs,BUF,LV,WR,8000,25.5
93784-45889,Davante Adams,LV,BUF,WR,7500,23.8
93784-64555,Calvin Ridley,JAC,KC,WR,8300,23.1
93784-86997,Amon-Ra St. Brown,DET,SEA,WR,8100,22.7
93784-86055,Dameon Pierce,HOU,IND,RB,6000,20.6
93784-85701,Ja'Marr Chase,CIN,BAL,WR,8400,20.1
93784-89981,Tee Higgins,CIN,BAL,WR,7000,18.9
93784-93107,AJ Dillon,GB,ATL,RB,7000,18.8
93784-33076,Travis Kelce,KC,JAX,TE,8500,16.6
93784-40687,James Conner,ARI,NYG,RB,6400,15.9
93784-91626,James Cook,BUF,LV,RB,6600,14.9
93784-72731,Josh Jacobs,LV,BUF,RB,7500,14.7
93784-55050,Christian McCaffrey,SF,LAR,RB,9500,13.9
93784-62239,Josh Allen,BUF,LV,QB,9200,13.5
93784-12538,Los Angeles Rams,LAR,SF,D,3100,13.2
93784-12530,Dallas Cowboys,DAL,NYJ,D,4500,13.1
93784-29253,Keenan Allen,LAC,TEN,WR,7800,12.8
93784-39829,Mike Williams,LAC,TEN,WR,6700,12.6
93784-16606,DeAndre Hopkins,TEN,LAC,WR,7100,12.6
93784-86631,CeeDee Lamb,DAL,NYJ,WR,7600,12.1
93784-32384,Mike Evans,TB,CHI,WR,7100,11.8
93784-63759,Tony Pollard,DAL,NYJ,RB,8000,11.8
93784-113228,Luke Musgrave,GB,ATL,TE,5000,11.8
93784-89951,Trevor Lawrence,JAC,KC,QB,7800,10.8
93784-73273,David Montgomery,DET,SEA,RB,6300,10.7
93784-12551,Tampa Bay Buccaneers,TB,CHI,D,4100,10.0
93784-137902,Rachaad White,TB,CHI,RB,6200,9.8
93784-52442,Joe Mixon,CIN,BAL,RB,7200,9.7
93784-52436,Mark Andrews,BAL,CIN,TE,8000,9.4
93784-27050,Tyler Lockett,SEA,DET,WR,6500,8.5
93784-129368,Jahmyr Gibbs,DET,SEA,RB,5800,8.3
93784-56018,Deebo Samuel,SF,LAR,WR,6900,8.1
93784-89680,Jake Ferguson,DAL,NYJ,TE,5000,8.0
93784-38435,Jared Goff,DET,SEA,QB,7300,8.0
93784-29780,Zach Ertz,ARI,NYG,TE,4900,7.7
93784-64401,Saquon Barkley,NYG,ARI,RB,8800,7.7
93784-72412,Khalil Herbert,CHI,TB,RB,5800,7.7
93784-63336,Joe Burrow,CIN,BAL,QB,7400,7.6
93784-85798,Brandon Aiyuk,SF,LAR,WR,7500,7.5
93784-39280,Derrick Henry,TEN,LAC,RB,8300,7.2
93784-103342,Kenneth Walker III,SEA,DET,RB,6700,7.1
93784-93541,Javonte Williams,DEN,WAS,RB,6400,7.1
93784-57439,Patrick Mahomes,KC,JAX,QB,9000,7.1
93784-90428,Tyler Allgeier,ATL,GB,RB,7100,6.8
93784-85607,Brock Purdy,SF,LAR,QB,7100,6.7
93784-88297,Chig Okonkwo,TEN,LAC,TE,4700,6.6
93784-12536,Kansas City Chiefs,KC,JAX,D,3500,6.5
93784-129315,Anthony Richardson,IND,HOU,QB,7500,6.2
93784-69189,Justin Herbert,LAC,TEN,QB,8200,6.2
93784-92575,Isiah Pacheco,KC,JAX,RB,5700,6.2
93784-136855,Bijan Robinson,ATL,GB,RB,8100,5.9
93784-12546,Arizona Cardinals,ARI,NYG,D,3800,5.9
93784-89455,Jayden Reed,GB,ATL,WR,5100,5.8
93784-112295,Zay Flowers,BAL,CIN,WR,6600,5.5
93784-104433,Kyren Williams,LAR,SF,RB,5900,5.4
93784-12556,Houston Texans,HOU,IND,D,3400,5.4
93784-60858,Christian Kirk,JAC,KC,WR,6000,5.1
93784-103020,Puka Nacua,LAR,SF,WR,5800,5.1
93784-12544,New York Jets,NYJ,DAL,D,3700,5.0
93784-91047,Cole Kmet,CHI,TB,TE,5200,4.8
93784-112745,Drake London,ATL,GB,WR,5800,4.8
93784-25011,Darren Waller,NYG,ARI,TE,6600,4.7
93784-12552,Washington Commanders,WAS,DEN,D,3900,4.6
93784-12525,Atlanta Falcons,ATL,GB,D,4000,4.4
93784-12535,Indianapolis Colts,IND,HOU,D,4800,4.2
93784-55635,Chris Godwin,TB,CHI,WR,6300,4.2
93784-12534,Tennessee Titans,TEN,LAC,D,3800,4.1
93784-63519,Daniel Jones,NYG,ARI,QB,7500,3.9
93784-145558,Dalton Kincaid,BUF,LV,TE,5200,3.9
93784-12526,Buffalo Bills,BUF,LV,D,4900,3.9
93784-12528,Cincinnati Bengals,CIN,BAL,D,3600,3.9
93784-12532,Detroit Lions,DET,SEA,D,4000,3.9
93784-90562,Brian Robinson Jr.,WAS,DEN,RB,6500,3.4
93784-73048,DK Metcalf,SEA,DET,WR,7700,3.3
93784-53097,Josh Reynolds,DET,SEA,WR,5900,3.3
93784-26483,Geno Smith,SEA,DET,QB,7000,3.3
93784-39793,George Kittle,SF,LAR,TE,6200,3.3
93784-31716,Dak Prescott,DAL,NYJ,QB,7400,3.1
93784-94534,Gabe Davis,BUF,LV,WR,6500,3.1
93784-12548,Los Angeles Chargers,LAC,TEN,D,4300,3.0
93784-21948,Ryan Tannehill,TEN,LAC,QB,6400,3.0
93784-41305,Zay Jones,JAC,KC,WR,6300,3.0
93784-91419,Nico Collins,HOU,IND,WR,6200,2.9
93784-57403,Courtland Sutton,DEN,WAS,WR,6800,2.9
93784-22103,Marvin Jones Jr.,DET,SEA,WR,5400,2.8
93784-12555,Baltimore Ravens,BAL,CIN,D,4600,2.8
93784-54140,Dalvin Cook,NYJ,DAL,RB,6800,2.8
93784-63115,Lamar Jackson,BAL,CIN,QB,7600,2.7
93784-40669,Tyler Boyd,CIN,BAL,WR,5300,2.7
93784-92976,Tutu Atwell,LAR,SF,WR,5500,2.6
