"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Hunter Renfrow","LV","WR","2.8","1.7","1.0999999999999999","2.8","1.7","1.1","1","1","0.57","23","14.05","0","0","0","0","0","0"
"Rhamondre Stevenson","NE","RB","13.5","13.1","0.40000000000000036","13.5","13.1","0.4","1","3","2.72","10","20.85","0","0.0192","50","58.9274","1","0.61"
"Christian McCaffrey","SF","RB","21","14.5","6.5","21","14.5","6.5","1","3","2.69","19","20.67","0","0.0096","116","85.8578","1","0.41"
"T.J. Hockenson","MIN","TE","22.1","13.7","8.400000000000002","22.1","13.7","8.4","1","7","5.64","66","52.31","2","0.9408","0","0","0","0"
"Alec Pierce","IND","WR","3.8","3.2","0.5999999999999996","3.8","3.2","0.6","1","2","1.47","28","24.54","0","0","0","0","0","0"
"Mike Williams","LAC","WR","12.6","15.6","-3","12.6","15.6","-3","1","8","7.48","83","99.51","0","0.24","3","4.8804","0","0"
"Devin Singletary","HST","RB","2.9","2.9","0","2.9","2.9","0","1","1","0.75","10","6.83","0","0","14","17.8752","0","0.01"
"Byron Pringle","WAS","WR","0.9","1.2","-0.29999999999999993","0.9","1.2","-0.3","1","1","0.85","4","7.23","0","0.0096","0","0","0","0"
"Josh Jacobs","LV","RB","7.4","10.8","-3.4000000000000004","7.4","10.8","-3.4","1","5","4.71","51","42.18","0","0","-2","40.7876","0","0.02"
"Trey McBride","ARZ","TE","4.2","3","1.2000000000000002","4.2","3","1.2","1","2","1.51","32","22.04","0","0","0","0","0","0"
"Nico Collins","HST","WR","24.1","15.2","8.900000000000002","24.1","15.2","8.9","1","7","5.91","146","93.54","1","0.4896","0","0","0","0"
"Zamir White","LV","RB","2.2","1.9","0.30000000000000027","2.2","1.9","0.3","1","0","0","0","0","0","0","22","15.5722","0","0.05"
"Erik Ezukanma","MIA","WR","0.5","4.3","-3.8","0.5","4.3","-3.8","1","0","0.78","0","8.02","0","0.0192","5","6.7718","0","0.38"
"Damien Harris","BUF","RB","9.3","9.7","-0.3999999999999986","9.3","9.7","-0.4","1","0","0","0","0","0","0","33","20.4632","1","1.27"
"Chigoziem Okonkwo","TEN","TE","5.5","5.2","0.2999999999999998","5.5","5.2","0.3","1","4","3.36","35","34.43","0","0.0096","0","0","0","0"
"Ameer Abdullah","LV","RB","1","2.4","-1.4","1","2.4","-1.4","1","1","1.74","5","15.18","0","0","0","0","0","0"
"Samaje Perine","DEN","RB","3.9","5.2","-1.3000000000000003","3.9","5.2","-1.3","1","3","2.59","20","16.65","0","0.2784","4","3.1654","0","0.04"
"Austin Hooper","LV","TE","3","2.4","0.6000000000000001","3","2.4","0.6","1","2","1.41","20","16.6","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","6.8","5.4","1.3999999999999995","6.8","5.4","1.4","1","3","3.48","44","25.96","0","0.0288","9","8.6436","0","0.01"
"Randall Cobb","NYJ","WR","0","1.5","-1.5","0","1.5","-1.5","1","0","0.74","0","11.16","0","0","0","0","0","0"
"David Montgomery","DET","RB","13.9","11.7","2.200000000000001","13.9","11.7","2.2","1","1","0.77","7","7.32","0","0","67","66.4342","1","0.66"
"Zach Charbonnet","SEA","RB","4","5.6","-1.5999999999999996","4","5.6","-1.6","1","2","1.7","14","13.98","0","0","16","14.994","0","0.31"
"Durham Smythe","MIA","TE","3.8","3.8","0","3.8","3.8","0","1","3","2.35","23","25.79","0","0","0","0","0","0"
"Gabe Davis","BUF","WR","18.2","11.1","7.1","18.2","11.1","7.1","1","6","4.23","92","56.2","1","0.5568","0","0","0","0"
"De'Von Achane","MIA","RB","1.4","1.7","-0.30000000000000004","1.4","1.7","-0.3","1","1","0.84","4","7.58","0","0","5","4.4198","0","0.01"
"Tre Tucker","LV","WR","3.4","2.4","1","3.4","2.4","1","1","0","0.38","0","17.65","0","0","34","4.8608","0","0"
"Jahmyr Gibbs","DET","RB","9.1","14.4","-5.300000000000001","9.1","14.4","-5.3","1","7","7.56","39","66.06","0","0.096","17","32.8006","0","0.02"
"Rakim Jarrett","TB","WR","1.2","1.3","-0.10000000000000009","1.2","1.3","-0.1","1","1","0.79","7","7.49","0","0.0288","0","0","0","0"
"Salvon Ahmed","MIA","RB","5.6","5.2","0.39999999999999947","5.6","5.2","0.4","1","3","2.68","28","15.66","0","0.0576","13","11.9756","0","0.13"
"Deebo Samuel","SF","WR","19.1","15.1","4.000000000000002","19.1","15.1","4","1","6","6.95","63","73.35","0","0.48","38","14.014","1","0"
"Clyde Edwards-Helaire","KC","RB","2.7","2.3","0.40000000000000036","2.7","2.3","0.4","1","2","1.75","17","9.54","0","0","0","4.8608","0","0"
"Brevin Jordan","HST","TE","3.7","3.1","0.6000000000000001","3.7","3.1","0.6","1","2","1.42","27","20.95","0","0.048","0","0","0","0"
"Jaylen Warren","PIT","RB","10.6","8.1","2.5","10.6","8.1","2.5","1","4","4.61","66","27.95","0","0.0096","20","27.9202","0","0.02"
"Adam Trautman","DEN","TE","0","4.9","-4.9","0","4.9","-4.9","1","0","0.73","0","2.92","0","0.7008","0","0","0","0"
"Sean Tucker","TB","RB","0.7","3.8","-3.0999999999999996","0.7","3.8","-3.1","1","0","0","0","0","0","0","7","36.9166","0","0.01"
"Joshua Palmer","LAC","WR","2.8","7.4","-4.6000000000000005","2.8","7.4","-4.6","1","3","2.37","13","25.63","0","0.6048","0","0","0","0"
"Logan Thomas","WAS","TE","9.2","8.2","1","9.2","8.2","1","1","2","1.8","22","15.87","1","0.9504","0","0","0","0"
"Chris Olave","NO","WR","11.6","17","-5.4","11.6","17","-5.4","1","6","7.07","86","101.19","0","0.5568","0","0","0","0"
"Noah Gray","KC","TE","5.3","3.8","1.5","5.3","3.8","1.5","1","3","2.43","38","18.6","0","0.1152","0","0","0","0"
"Puka Nacua","LA","WR","22.6","23.7","-1.0999999999999979","22.6","23.7","-1.1","1","15","14.11","147","149.47","0","0.096","4","7.8302","0","0.06"
"Rico Dowdle","DAL","RB","4.8","9.2","-4.3999999999999995","4.8","9.2","-4.4","1","1","0.98","17","4.31","0","0","26","24.471","0","0.98"
"Isaiah Spiller","LAC","RB","0.3","0.6","-0.3","0.3","0.6","-0.3","1","0","0","0","0","0","0","3","3.724","0","0.03"
"Isaiah Hodgins","NYG","WR","12","9.8","2.1999999999999993","12","9.8","2.2","1","4","3.05","40","28.01","1","0.912","0","0","0","0"
"Rashid Shaheed","NO","WR","8.3","4.9","3.4000000000000004","8.3","4.9","3.4","1","4","2.78","63","34.75","0","0.0096","0","0","0","0"
"Devin Duvernay","BLT","WR","1.5","5.4","-3.9000000000000004","1.5","5.4","-3.9","1","0","1.76","0","20.6","0","0.192","15","13.4946","0","0"
"Marquise Goodwin","CLV","WR","0","4.1","-4.1","0","4.1","-4.1","1","0","0.56","0","24.88","0","0.2208","0","0","0","0"
