"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Calvin Johnson (FA)","122","204","1,964","16.1","53","40","5","0","0","0","3","16","342.4","21.4","0.1%"
"2","Brandon Marshall (FA)","118","194","1,508","12.8","56","18","11","1","-2","0","0","16","334.6","20.9","2.6%"
"3","A.J. Green (FA)","97","164","1,350","13.9","73","16","11","4","38","0","1","16","299.8","18.7","0.6%"
"4","Dez Bryant (FA)","92","138","1,382","15.0","85","19","12","2","-5","0","2","16","299.7","18.7","2.6%"
"5","Andre Johnson (FA)","112","163","1,598","14.3","60","23","4","0","0","0","0","16","295.8","18.5","0.0%"
"6","Demaryius Thomas (FA)","94","141","1,434","15.3","71","29","10","0","0","0","3","16","291.4","18.2","0.1%"
"7","Wes Welker (FA)","118","175","1,354","11.5","59","13","6","2","20","0","1","16","289.4","18.1","0.0%"
"8","Eric Decker (FA)","85","122","1,064","12.5","55","11","13","0","0","0","0","16","269.4","16.8","0.6%"
"9","Roddy White (FA)","92","143","1,351","14.7","59","18","7","0","0","0","0","16","269.1","16.8","0.0%"
"10","Reggie Wayne (FA)","106","195","1,355","12.8","33","22","5","1","-5","0","1","16","269.0","16.8","0.0%"
"11","Julio Jones (PHI)","79","129","1,198","15.2","80","17","10","6","30","0","0","16","261.8","16.4","0.6%"
"12","Vincent Jackson (FA)","72","147","1,384","19.2","95","24","8","0","0","0","0","16","260.4","16.3","0.0%"
"13","Victor Cruz (FA)","86","143","1,092","12.7","80","12","10","0","0","0","0","16","255.2","16.0","0.1%"
"14","Marques Colston (FA)","83","130","1,154","13.9","60","15","10","0","0","0","2","16","254.4","15.9","0.0%"
"15","Michael Crabtree (FA)","85","126","1,105","13.0","49","15","9","1","8","0","0","16","250.3","15.6","0.0%"
"16","Randall Cobb (NYJ)","80","104","954","11.9","39","17","8","10","132","0","1","15","234.6","15.6","0.1%"
"17","James Jones (FA)","64","98","784","12.3","49","11","14","0","0","0","0","16","226.4","14.2","0.0%"
"18","Mike Williams (FA)","63","126","996","15.8","65","17","9","0","0","0","0","16","217.7","13.6","0.0%"
"19","Steve Johnson (FA)","79","148","1,046","13.2","63","12","6","0","0","0","1","16","217.6","13.6","0.0%"
"20","Steve Smith (FA)","73","138","1,174","16.1","66","17","4","3","27","0","1","16","215.1","13.4","0.0%"
"21","Lance Moore (FA)","65","104","1,041","16.0","51","14","6","0","0","0","0","15","205.1","13.7","0.0%"
"22","Jeremy Maclin (FA)","69","122","857","12.4","70","12","7","0","0","0","1","15","194.7","13.0","0.0%"
"23","Miles Austin (FA)","66","119","943","14.3","49","13","6","0","0","0","1","16","194.3","12.1","0.0%"
"24","Mike Wallace (FA)","64","119","836","13.1","82","9","8","5","7","0","1","15","194.3","13.0","0.0%"
"25","Cecil Shorts (FA)","55","105","979","17.8","80","17","7","1","-4","0","1","14","192.5","13.8","0.0%"
"26","Brandon Lloyd (FA)","74","130","911","12.3","53","10","4","0","0","0","0","16","189.1","11.8","0.0%"
"27","Brian Hartline (FA)","74","131","1,083","14.6","80","14","1","0","0","0","1","16","186.3","11.6","0.0%"
"28","Justin Blackmon (FA)","64","132","865","13.5","81","9","5","2","23","0","0","16","184.8","11.6","0.0%"
"29","Torrey Smith (FA)","49","110","855","17.4","54","16","8","3","9","0","0","16","183.4","11.5","0.0%"
"30","Anquan Boldin (FA)","65","112","921","14.2","43","17","4","1","3","0","0","15","183.4","12.2","0.1%"
