"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"31","T.Y. Hilton (FA)","50","90","861","17.2","70","13","7","5","29","0","0","15","181.0","12.1","3.0%"
"32","Larry Fitzgerald (FA)","71","156","798","11.2","37","9","4","0","0","0","0","16","174.8","10.9","0.2%"
"33","Andre Roberts (FA)","64","114","759","11.9","46","10","5","4","29","0","0","15","172.8","11.5","0.0%"
"34","Antonio Brown (FA)","66","106","787","11.9","60","10","5","7","24","0","2","13","171.1","13.2","0.8%"
"35","Sidney Rice (FA)","50","82","748","15.0","46","11","7","2","6","0","0","16","168.4","10.5","0.0%"
"36","Jordy Nelson (FA)","49","73","745","15.2","73","8","7","0","0","0","0","12","167.5","14.0","0.1%"
"37","Malcom Floyd (FA)","56","85","814","14.5","39","15","5","0","0","0","0","14","167.4","12.0","0.0%"
"38","Denarius Moore (FA)","51","114","741","14.5","58","12","7","1","-5","0","0","15","166.6","11.1","0.0%"
"39","Percy Harvin (FA)","62","85","677","10.9","45","8","3","22","96","1","1","9","161.3","17.9","0.1%"
"40","Golden Tate (FA)","45","67","688","15.3","51","12","7","3","20","0","1","15","160.7","10.7","0.0%"
"41","Josh Gordon (FA)","50","95","805","16.1","71","12","5","0","0","0","1","16","158.5","9.9","0.0%"
"42","Donnie Avery (FA)","60","126","781","13.0","48","9","3","4","9","0","0","16","157.0","9.8","0.0%"
"43","Dwayne Bowe (FA)","59","114","801","13.6","47","11","3","0","0","0","1","13","155.1","11.9","0.0%"
"44","Brandon Gibson (FA)","51","82","691","13.5","34","9","5","0","0","0","0","16","150.1","9.4","0.0%"
"45","Kendall Wright (FA)","64","104","626","9.8","38","6","4","1","4","0","1","15","149.0","9.9","0.0%"
"46","Jeremy Kerley (FA)","56","96","827","14.8","66","14","2","5","8","0","3","16","147.2","9.2","0.0%"
"47","Danny Amendola (FA)","63","101","666","10.6","56","5","3","2","8","0","2","11","146.4","13.3","0.0%"
"48","Santana Moss (FA)","41","62","573","14.0","77","10","8","3","14","0","1","16","145.7","9.1","0.0%"
"49","Davone Bess (FA)","61","105","778","12.8","39","11","1","0","0","0","0","13","144.8","11.1","0.0%"
"50","Danario Alexander (FA)","37","62","658","17.8","80","9","7","0","0","0","0","10","144.8","14.5","0.0%"
"51","Nate Washington (FA)","46","90","746","16.2","71","14","4","0","0","0","0","16","144.6","9.0","0.0%"
"52","Greg Little (FA)","53","92","647","12.2","43","11","4","2","15","0","0","16","143.2","9.0","0.0%"
"53","Hakeem Nicks (FA)","53","100","692","13.1","50","12","3","0","0","0","0","13","140.2","10.8","0.0%"
"54","Brandon LaFell (FA)","44","76","677","15.4","62","13","4","3","35","0","0","14","139.2","9.9","0.0%"
"55","Darrius Heyward-Bey (FA)","41","80","606","14.8","59","8","5","2","16","0","0","15","133.2","8.9","0.0%"
"56","Chris Givens (FA)","42","80","698","16.6","65","10","3","3","12","0","0","15","133.0","8.9","0.0%"
"57","Pierre Garcon (FA)","44","67","633","14.4","88","10","4","2","9","0","0","10","132.2","13.2","0.0%"
"58","Andrew Hawkins (FA)","51","80","533","10.5","59","5","4","6","30","0","0","14","131.3","9.4","0.0%"
"59","Brandon Stokley (FA)","45","59","544","12.1","38","8","5","0","0","0","0","15","129.4","8.6","0.0%"
"60","Kenny Britt (FA)","45","90","589","13.1","46","7","4","0","0","0","1","14","127.9","9.1","0.0%"
"61","DeSean Jackson (FA)","45","88","700","15.6","77","9","2","3","-7","0","0","11","126.3","11.5","0.6%"
"62","Jason Avant (FA)","53","76","648","12.2","39","8","0","0","0","0","0","14","117.8","8.4","0.0%"
"63","Rod Streater (FA)","39","75","584","15.0","64","6","3","0","0","0","1","16","115.4","7.2","0.1%"
"64","Josh Morgan (FA)","48","73","510","10.6","32","4","2","3","25","0","0","16","113.5","7.1","0.0%"
"65","Michael Floyd (FA)","45","86","562","12.5","53","6","2","0","0","0","1","16","111.2","7.0","0.0%"
"66","Leonard Hankerson (FA)","38","57","543","14.3","68","8","3","2","5","0","0","16","110.8","6.9","0.0%"
"67","Donald Jones (FA)","41","67","443","10.8","68","4","4","0","0","0","0","12","109.3","9.1","0.0%"
"68","Emmanuel Sanders (FA)","44","74","626","14.2","37","11","1","1","4","0","2","16","109.0","6.8","0.0%"
"69","Domenik Hixon (FA)","39","59","567","14.5","41","6","2","0","0","0","0","13","107.7","8.3","0.0%"
"70","Kevin Walter (FA)","41","68","518","12.6","52","5","2","0","0","0","0","16","104.8","6.6","0.0%"
"71","Kevin Ogletree (FA)","32","55","436","13.6","65","5","4","2","9","0","0","15","100.5","6.7","0.0%"
"72","Mario Manningham (FA)","42","57","449","10.7","40","6","1","3","64","0","1","12","97.3","8.1","0.0%"
"73","Titus Young (FA)","33","56","383","11.6","46","5","4","2","16","0","0","10","96.9","9.7","0.0%"
"74","Michael Jenkins (FA)","40","72","449","11.2","32","4","2","0","0","0","0","16","96.9","6.1","0.0%"
"75","Greg Jennings (FA)","36","62","366","10.2","45","3","4","0","0","0","0","8","96.6","12.1","0.0%"
"76","Randy Moss (FA)","28","50","434","15.5","55","7","3","0","0","0","0","16","89.4","5.6","0.0%"
"77","Harry Douglas (FA)","38","59","395","10.4","37","5","1","2","4","0","0","15","83.9","5.6","0.0%"
"78","Doug Baldwin (FA)","29","50","366","12.6","50","5","3","0","0","0","0","14","83.6","6.0","0.0%"
"79","Tiquan Underwood (FA)","28","55","425","15.2","62","4","2","1","1","0","0","14","82.6","5.9","0.0%"
"80","Austin Pettis (FA)","30","48","261","8.7","36","2","4","0","0","0","0","14","80.1","5.7","0.0%"
"81","Alshon Jeffery (FA)","24","48","367","15.3","55","6","3","0","0","0","0","10","78.7","7.9","0.0%"
"82","Earl Bennett (FA)","29","49","375","12.9","60","5","2","0","0","0","0","12","78.5","6.5","0.0%"
"83","Jacoby Jones (FA)","30","55","406","13.5","47","9","1","1","6","0","0","16","77.2","4.8","0.0%"
"84","Nate Burleson (FA)","27","43","240","8.9","26","3","2","8","48","0","0","6","69.8","11.6","0.0%"
"85","Trevor Graham (FA)","31","58","322","10.4","51","3","1","1","5","0","0","15","69.7","4.6","0.0%"
"86","Chaz Schilens (FA)","28","41","289","10.3","25","3","2","0","0","0","1","15","66.9","4.5","0.0%"
"87","Rueben Randle (FA)","19","32","298","15.7","56","4","3","0","0","0","0","16","66.8","4.2","0.0%"
"88","Jarius Wright (FA)","22","36","310","14.1","65","3","2","2","11","0","0","7","66.1","9.4","0.0%"
"89","Joe Morgan (FA)","10","20","379","37.9","80","8","3","1","1","0","0","14","66.0","4.7","0.0%"
"90","Riley Cooper (FA)","23","48","248","10.8","23","3","3","0","0","0","0","11","65.8","6.0","0.0%"
"91","Ryan Broyles (FA)","22","32","310","14.1","40","5","2","0","0","0","0","10","65.0","6.5","0.0%"
"92","Julian Edelman (FA)","21","32","235","11.2","56","1","3","4","45","0","1","9","65.0","7.2","12.1%"
"93","Louis Murphy (FA)","25","61","336","13.4","55","4","1","1","3","0","0","16","64.9","4.1","0.0%"
"94","Travis Benjamin (FA)","18","37","298","16.6","69","4","2","6","66","0","1","14","64.4","4.6","0.0%"
"95","Stephen Hill (FA)","21","47","252","12.0","33","3","3","0","0","0","0","11","64.2","5.8","0.0%"
"96","Mohamed Sanu Sr. (FA)","16","25","154","9.6","34","1","4","5","15","0","0","9","63.8","7.1","0.0%"
"97","Damian Williams (FA)","30","45","324","10.8","27","2","0","0","0","0","0","13","62.4","4.8","0.0%"
"98","Devery Henderson (FA)","22","47","316","14.4","41","5","1","1","13","0","0","15","60.9","4.1","0.0%"
"99","Jon Baldwin (FA)","20","47","325","16.3","57","6","1","0","0","0","0","15","58.5","3.9","0.0%"
"100","Brad Smith (FA)","14","22","152","10.9","35","1","2","14","116","1","0","15","56.8","3.8","0.0%"
"101","Armon Binns (FA)","24","40","277","11.5","48","3","1","0","0","0","1","11","55.7","5.1","0.0%"
"102","Eddie Royal (FA)","23","44","234","10.2","31","4","1","3","22","0","0","10","54.6","5.5","0.0%"
"103","Aldrick Robinson (FA)","11","19","237","21.5","68","4","3","1","14","0","0","15","54.1","3.6","0.0%"
"104","Devin Hester (FA)","23","40","242","10.5","39","4","1","3","6","0","0","15","53.8","3.6","0.4%"
"105","Jordan Shipley (FA)","23","39","244","10.6","36","3","1","0","0","0","1","7","51.4","7.3","0.0%"
"106","Jerome Simpson (FA)","26","51","274","10.5","33","3","0","0","0","0","1","12","51.4","4.3","0.0%"
"107","Santonio Holmes (FA)","20","41","272","13.6","38","2","1","0","0","0","1","4","51.2","12.8","0.0%"
"108","Early Doucet (FA)","28","53","207","7.4","18","0","0","2","9","0","0","12","49.6","4.1","0.0%"
"109","Micheal Spurlock (FA)","23","29","200","8.7","22","1","1","0","0","0","0","14","49.0","3.5","0.0%"
"110","Marvin Jones Jr. (FA)","18","32","201","11.2","23","1","1","3","47","0","0","11","48.8","4.4","0.1%"
"111","Dwayne Harris (FA)","17","31","222","13.1","36","3","1","0","0","0","0","16","47.2","3.0","0.0%"
"112","Laurent Robinson (FA)","24","43","252","10.5","32","2","0","0","0","0","1","7","47.2","6.7","0.0%"
"113","Robert Meachem (FA)","14","32","207","14.8","46","2","2","1","-6","0","0","15","46.1","3.1","0.0%"
"114","Derek Hagan (FA)","20","36","259","13.0","38","2","0","0","0","0","0","14","45.9","3.3","0.0%"
"115","Braylon Edwards (FA)","18","35","199","11.1","19","0","1","0","0","0","0","13","43.9","3.4","0.0%"
"116","Kyle Williams (FA)","14","22","212","15.1","57","2","1","4","21","0","0","11","43.3","3.9","0.0%"
"117","Mohamed Massaquoi (FA)","17","33","254","14.9","54","3","0","0","0","0","0","9","42.4","4.7","0.0%"
"118","Damaris Johnson (FA)","19","31","256","13.5","32","4","0","3","12","0","2","14","41.8","3.0","0.0%"
"119","Mike Thomas (FA)","18","40","108","6.0","12","0","1","7","57","0","0","16","40.5","2.5","0.0%"
"120","Edmond Gates (FA)","16","35","224","14.0","42","3","0","1","12","0","0","11","39.6","3.6","0.0%"
"121","Juron Criner (FA)","16","33","151","9.4","17","0","1","0","0","0","0","12","39.1","3.3","0.0%"
"122","Brian Quick (FA)","11","27","156","14.2","39","3","2","0","0","0","0","15","38.6","2.6","0.0%"
"123","Brandon Tate (FA)","13","25","211","16.2","44","5","1","1","0","0","1","16","38.1","2.4","0.0%"
"124","Jerricho Cotchery (FA)","17","27","205","12.1","24","4","0","0","0","0","0","14","37.5","2.7","0.0%"
"125","Ramses Barden (FA)","14","21","220","15.7","31","6","0","0","0","0","0","12","36.0","3.0","0.0%"
"126","LaVon Brazill (FA)","11","24","186","16.9","42","4","1","0","0","0","1","15","33.6","2.2","0.0%"
"127","Deion Branch (FA)","16","29","145","9.1","25","1","0","0","0","0","0","9","30.5","3.4","0.0%"
"128","Keshawn Martin (FA)","10","28","85","8.5","18","0","1","4","53","0","0","16","29.8","1.9","0.0%"
"129","Devin Aromashodu (FA)","11","22","182","16.5","31","2","0","0","0","0","0","15","29.2","1.9","0.0%"
"130","Cole Beasley (FA)","15","24","128","8.5","20","1","0","0","0","0","0","10","27.8","2.8","0.0%"
"131","Donald Driver (FA)","8","13","77","9.6","26","1","2","0","0","0","0","13","27.7","2.1","0.0%"
"132","Lestar Jean (FA)","6","12","151","25.2","54","3","1","0","0","0","0","14","27.1","1.9","0.0%"
"133","Steve Smith (FA)","14","25","131","9.4","25","0","0","0","0","0","0","9","27.1","3.0","0.0%"
"134","Jordan Norwood (FA)","13","19","137","10.5","27","2","0","1","1","0","0","2","26.8","13.4","0.0%"
"135","Kris Durham (FA)","8","21","125","15.6","27","2","1","0","0","0","0","4","26.5","6.6","0.0%"
"136","Terrelle Pryor Sr. (FA)","1","1","22","22.0","22","1","0","10","51","1","0","3","26.5","8.8","0.0%"
"137","Rishard Matthews (FA)","11","20","151","13.7","30","3","0","0","0","0","0","8","26.1","3.3","0.0%"
"138","Tandon Doss (FA)","7","17","123","17.6","39","2","1","0","0","0","0","14","25.3","1.8","0.0%"
"139","Marlon Moore (FA)","6","11","116","19.3","37","3","1","1","9","0","0","14","24.5","1.8","0.0%"
"140","Kevin Elliott (FA)","10","31","108","10.8","22","2","0","0","0","0","0","13","20.8","1.6","0.0%"
"141","Matt Willis (FA)","10","22","90","9.0","19","0","0","0","0","0","0","15","19.0","1.3","0.0%"
"142","Josh Cooper (FA)","8","18","106","13.3","28","1","0","0","0","0","0","6","18.6","3.1","0.0%"
"143","Armanti Edwards (FA)","5","9","121","24.2","82","1","0","0","0","0","0","16","17.1","1.1","0.0%"
"144","Terrance Copper (FA)","8","12","79","9.9","17","0","0","1","1","0","0","15","16.0","1.1","0.0%"
"145","Stephen Burton (FA)","5","11","35","7.0","13","0","1","0","0","0","0","12","14.5","1.2","0.0%"
"146","Steve Breaston (FA)","7","15","74","10.6","24","1","0","0","0","0","0","7","14.4","2.1","0.0%"
"147","Brian Robiskie (FA)","4","6","44","11.0","21","1","1","0","0","0","0","6","14.4","2.4","0.0%"
"148","DeVier Posey (FA)","6","14","87","14.5","36","1","0","1","-3","0","0","11","14.4","1.3","0.0%"
"149","Drew Davis (FA)","4","6","40","10.0","15","0","1","0","0","0","0","16","14.0","0.9","0.0%"
"150","Kealoha Pilares (FA)","2","4","42","21.0","36","1","1","1","17","0","0","8","13.9","1.7","0.0%"
"151","Donte' Stallworth (FA)","1","2","63","63.0","63","1","1","0","0","0","0","1","13.3","13.3","0.0%"
"152","Plaxico Burress (FA)","3","7","42","14.0","18","0","1","0","0","0","0","4","13.2","3.3","0.0%"
"153","Brandon Banks (FA)","8","8","15","1.9","8","0","0","7","36","0","0","12","13.1","1.1","0.0%"
"154","Jamar Newsome (FA)","5","16","73","14.6","28","2","0","0","0","0","0","6","12.3","2.1","0.0%"
"155","Ryan Whalen (FA)","7","12","53","7.6","10","0","0","0","0","0","0","9","12.3","1.4","0.0%"
"156","David Reed (FA)","5","6","66","13.2","23","1","0","0","0","0","0","5","11.6","2.3","0.0%"
"157","Josh Cribbs (FA)","7","12","63","9.0","24","1","0","6","42","0","3","16","11.5","0.7","0.0%"
"158","Devon Wylie (FA)","6","12","53","8.8","16","0","0","0","0","0","0","6","11.3","1.9","0.0%"
"159","Lavelle Hawkins (FA)","5","11","62","12.4","42","1","0","0","0","0","0","7","11.2","1.6","0.0%"
"160","Michael Preston (FA)","5","7","59","11.8","21","1","0","0","0","0","0","4","10.9","2.7","0.0%"
"161","Ben Obomanu (FA)","4","9","58","14.5","36","1","0","1","11","0","0","8","10.9","1.4","0.0%"
"162","Jabar Gaffney (FA)","4","10","68","17.0","30","1","0","0","0","0","0","3","10.8","3.6","0.0%"
"163","Jason Hill (FA)","2","3","15","7.5","10","0","1","0","0","0","0","2","9.5","4.8","0.0%"
"164","Greg Camarillo (FA)","4","5","44","11.0","13","0","0","0","0","0","0","1","8.4","8.4","0.0%"
"165","Charly Martin (FA)","4","6","42","10.5","15","0","0","0","0","0","0","4","8.2","2.1","0.0%"
"166","Arrelious Benn (FA)","4","6","26","6.5","9","0","0","3","16","0","0","8","8.2","1.0","0.0%"
"167","Deonte Thompson (FA)","5","6","51","10.2","25","1","0","0","0","0","1","6","8.1","1.4","0.0%"
"168","Ruvell Martin (FA)","4","6","41","10.3","16","0","0","0","0","0","0","14","8.1","0.6","0.0%"
"169","Jarrett Boykin (FA)","5","6","27","5.4","9","0","0","0","0","0","0","10","7.7","0.8","0.0%"
"170","Seyi Ajirotutu (FA)","3","4","45","15.0","28","1","0","0","0","0","0","3","7.5","2.5","0.0%"
"171","Toney Clemons (FA)","3","11","41","13.7","17","0","0","0","0","0","0","4","7.1","1.8","0.0%"
"172","Jermaine Kearse (FA)","3","7","31","10.3","17","0","0","0","0","0","0","7","6.1","0.9","0.0%"
"173","Jerrel Jernigan (FA)","3","5","22","7.3","9","0","0","1","6","0","0","9","5.8","0.6","0.0%"
"174","David Nelson (FA)","2","5","31","15.5","21","1","0","0","0","0","0","1","5.1","5.1","0.0%"
"175","Eric Weems (FA)","2","4","27","13.5","18","0","0","0","0","0","0","16","4.7","0.3","0.0%"
"176","Kris Adams (FA)","2","8","26","13.0","13","0","0","0","0","0","0","3","4.6","1.5","0.0%"
"177","Dezmon Briscoe (FA)","2","5","22","11.0","14","0","0","1","1","0","0","7","4.3","0.6","0.0%"
"178","Andre Caldwell (FA)","1","4","18","18.0","18","0","0","1","14","0","0","8","4.2","0.5","0.0%"
"179","Anthony Armstrong (FA)","3","9","12","4.0","9","0","0","0","0","0","0","6","4.2","0.7","0.0%"
"180","Mardy Gilyard (FA)","2","6","15","7.5","11","0","0","0","0","0","0","8","3.5","0.4","0.0%"
"181","Chris Owusu (FA)","1","3","24","24.0","24","1","0","0","0","0","0","5","3.4","0.7","0.0%"
"182","Andre Holmes (FA)","2","2","11","5.5","7","0","0","0","0","0","0","7","3.1","0.4","0.0%"
"183","Sammie Stroughter (FA)","1","2","14","14.0","14","0","0","0","0","0","0","2","2.4","1.2","0.0%"
"184","Jordan White (FA)","1","3","13","13.0","13","0","0","0","0","0","0","3","2.3","0.8","0.0%"
"185","Courtney Roby (FA)","1","2","9","9.0","9","0","0","0","0","0","0","13","1.9","0.1","0.0%"
"186","Laron Byrd (FA)","1","2","8","8.0","8","0","0","0","0","0","0","4","1.8","0.5","0.0%"
"187","Trindon Holliday (FA)","2","2","17","8.5","15","0","0","0","0","0","1","15","1.7","0.1","0.0%"
"188","Dane Sanzenbacher (FA)","1","3","7","7.0","7","0","0","0","0","0","0","5","1.7","0.3","0.0%"
"189","Austin Collie (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"190","Marcus Thigpen (FA)","1","2","15","15.0","15","0","0","1","8","0","1","16","1.3","0.1","0.0%"
"191","Ted Ginn Jr. (FA)","2","2","1","0.5","1","0","0","1","7","0","1","13","0.8","0.1","0.0%"
"192","Preston Parker (FA)","0","2","0","0","0","0","0","1","7","0","0","2","0.7","0.4","0.0%"
"193","David Gilreath (FA)","0","2","0","0","0","0","0","1","7","0","0","3","0.7","0.2","0.0%"
"194","Nathan Palmer (FA)","1","4","-4","-4.0","0","0","0","0","0","0","0","5","0.6","0.1","0.0%"
"195","Martel Moore (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"196","James Wright (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"197","Jaxon Shipley (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"198","Patrick Turner (FA)","0","5","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"199","Marcus Easley (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"200","Roscoe Parrish (FA)","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"201","Quan Cosby (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"202","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"203","Greg Salas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"204","Richard Goodman (FA)","0","2","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"205","David Gettis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"206","Deon Butler (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Kassim Osgood (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"208","DeAndre Presley (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"209","Ryan Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Darius Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"211","A.J. Jenkins (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Jeremy Ross (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"213","Marvin McNutt (FA)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"214","Kamar Aiken (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","LaQuan Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"216","Jerrell Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Mike Brown (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"218","Joe Anderson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"219","Josh Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Junior Hemingway (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"221","Kevin Cone (FA)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"222","David Douglas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Joe Adams (FA)","1","1","7","7.0","7","0","0","3","13","0","3","9","-3.0","-0.3","0.0%"
""
""
