Player,ADP
Blake Bortles,92.3
Carson Palmer,80.3
Tom Brady,72.3
Ben Roethlisberger,70
Drew Brees,61.8
Andrew Luck,53.5
Carson Wentz,243
Russell Wilson,53.5
Alex Smith,227.7
Tony Romo,180
Jay Cutler,221.7
Trevor Siemian,214
Joe Flacco,204.3
Brock Osweiler,205.8
Robert Griffin,194
Dak Prescott,187
Ryan Fitzpatrick,185.3
Ryan Tannehill,165.5
Aaron Rodgers,40.5
Matt Ryan,155.3
Andy Dalton,154
Marcus Mariota,153.3
Matthew Stafford,130
Jameis Winston,129.8
Tyrod Taylor,128.3
Kirk Cousins,120.5
Derek Carr,111.3
Philip Rivers,102.5
Eli Manning,92.8
Cam Newton,34.3
