Player,Tm,Age,Pos,G_x,GS,Tgt,Rec,Ctch%,Yds_x,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,AllPro,ProBowl,Receiving_Points,Year,Career_Passing_Points,Career_Rushing_Points,Career_Receiving_Points,Pick,Kmeans,PF,Yds_y,Ply,Y/P,TO,FL,1stD,Cmp,Att_Pass,Yds_Pass,TD_Pass,Int,NY/A,1stD_Pass,Att_Rush,Yds_Rush,TD_Rush,YdsPer_Rush,1stD_Rush,Pen,Yds_Pen,1stPy,Sc%,TO%,EXP,Future_Receiving_Points
Brian Hartline,MIA,28.0,WR,16.0,16.0,63.0,39.0,61.9,474.0,12.2,2.0,27.0,54.0,35.0,7.5,2.4,29.6,1.0,HartBr00,0.0,0.0,78.9,2014,,,157.45000000000002,108.0,7,388,5601,1040,5.4,23,11,361,394,595,3729,27,12,5.8,226,399,1872,12,4.7,99,81,635,36,37.6,10.5,74.78,87.30000000000001
Brian Quick,STL,24.0,WR,16.0,5.0,35.0,18.0,51.4,302.0,16.8,2.0,15.0,42.9,73.0,8.6,1.1,18.9,0.0,QuicBr00,0.0,0.0,51.2,2013,,,,33.0,0,348,4877,968,5.0,21,10,282,301,506,3125,22,11,5.8,165,426,1752,10,4.1,82,123,1009,35,31.5,11.4,-11.2,68.0
C.J. Anderson,DEN,23.0,RB,15.0,7.0,44.0,34.0,77.3,324.0,9.5,2.0,14.0,54.5,51.0,7.4,2.3,21.6,1.0,AndeC.00,0.0,1.0,61.4,2014,,3.8,,,3,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,39.9,9.6,140.4,30.8
C.J. Spiller,BUF,25.0,RB,16.0,9.0,57.0,43.0,75.4,459.0,10.7,2.0,20.0,43.9,66.0,8.1,2.7,28.7,3.0,SpilC.00,0.0,1.0,79.4,2012,,,,9.0,2,344,5486,983,5.6,34,17,301,309,511,3269,24,17,6.0,176,442,2217,12,5.0,103,104,871,22,30.0,17.4,-100.38,35.0
C.J. Spiller,BUF,26.0,RB,15.0,10.0,41.0,33.0,80.5,185.0,5.6,0.0,7.0,36.6,27.0,4.5,2.2,12.3,4.0,SpilC.00,0.0,0.0,35.0,2013,,154.4,79.4,9.0,2,339,5410,1116,4.8,27,12,301,299,522,3103,16,15,5.4,149,546,2307,15,4.2,113,110,954,39,29.9,12.1,-59.11,28.0
C.J. Spiller,BUF,27.0,RB,9.0,5.0,22.0,19.0,86.4,125.0,6.6,1.0,7.0,59.1,25.0,5.7,2.1,13.9,3.0,SpilC.00,0.0,0.0,28.0,2014,,125.85,57.2,9.0,2,343,5096,1020,5.0,23,10,273,363,579,3614,23,13,5.8,186,402,1482,7,3.7,65,124,1031,22,32.5,11.2,-43.33,52.900000000000006
Cade Otton,TAM,23.0,TE,16.0,11.0,65.0,42.0,64.6,391.0,9.3,2.0,19.0,52.3,35.0,6.0,2.6,24.4,0.0,OttoCa00,0.0,0.0,72.1,2022,,,,106.0,8,313,5894,1159,5.1,22,12,346,499,751,4586,26,10,5.9,240,386,1308,5,3.4,79,99,793,27,32.0,10.3,1.03,93.0
Calvin Johnson,DET,27.0,WR,16.0,16.0,204.0,122.0,59.8,1964.0,16.1,5.0,92.0,55.4,53.0,9.6,7.6,122.8,3.0,JohnCa00,1.0,1.0,287.4,2012,,,,2.0,13,372,6540,1160,5.6,33,16,382,445,740,4927,22,17,6.4,272,391,1613,17,4.1,84,103,944,26,36.0,15.2,-59.66,263.20000000000005
Calvin Johnson,DET,28.0,WR,14.0,14.0,156.0,84.0,53.8,1492.0,17.8,12.0,69.0,51.9,87.0,9.6,6.0,106.6,1.0,JohnCa00,1.0,1.0,263.20000000000005,2013,,,287.4,2.0,13,395,6274,1102,5.7,34,15,350,371,634,4482,29,19,6.8,221,445,1792,15,4.0,106,110,925,23,32.1,17.3,25.59,191.2
Calvin Johnson,DET,29.0,WR,13.0,13.0,128.0,71.0,55.5,1077.0,15.2,8.0,59.0,53.9,67.0,8.4,5.5,82.8,0.0,JohnCa00,0.0,1.0,191.2,2014,,,275.3,2.0,13,321,5452,1045,5.2,20,8,310,365,604,4030,22,12,6.2,210,396,1422,11,3.6,72,118,989,28,32.4,9.5,50.59,219.4
