"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jason Moore","LAC","1","WR","4","3","0","56","0","0","0","0","75","15","14","18.67","8.33","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1","0.16","2.37"
"Rashod Bateman","BLT","1","WR","5","4","0","26","0","1","0","0","80","5.2","5.2","6.5","1.75","2","2","1","40","50","100","1","1","20","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.6","0.22","2.65"
"Dax Milne","WAS","1","WR","1","1","0","14","0","0","0","0","100","4","14","14","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.27","1.9"
"Brandon Aiyuk","SF","1","WR","5","4","0","30","0","1","0","0","80","4","6","7.5","5.25","1","1","1","20","25","100","1","1","20","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0.2","2.75"
"Dyami Brown","WAS","1","WR","2","2","1","53","0","0","0","0","100","25","26.5","26.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.3","0.48","3.15"
"Easop Winston Jr.","NO","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Nico Collins","HST","1","WR","4","3","0","33","0","1","0","0","75","5","8.25","11","6.67","1","1","1","25","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.8","0.24","3.6"
"Tee Higgins","CIN","1","WR","13","12","1","194","1","2","0","1","92.3","12.15","14.92","16.17","3.25","6","5","2","46.2","41.7","100","2","2","15.4","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.4","0.58","3.12"
"DeVonta Smith","PHI","1","WR","6","5","1","80","0","1","0","0","83.3","15","13.33","16","2.6","2","1","1","33.3","20","100","1","1","16.7","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.5","0.31","3.3"
"Keelan Cole Sr.","NYJ","1","WR","2","2","0","25","0","0","0","0","100","7.5","12.5","12.5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5","0.08","1.75"
"Dezmon Patmon","IND","1","WR","1","1","0","14","0","1","0","0","100","23","14","14","0","1","1","1","100","100","100","1","1","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.9","1.58","7.9"
"N'Keal Harry","NE","1","WR","6","2","0","15","0","0","0","1","33.3","12.83","2.5","7.5","7","1","0","0","16.7","0","0","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.04","1.25"
"Deebo Samuel","SF","1","WR","10","9","1","159","1","0","0","0","90","5.8","15.9","17.67","12.67","1","1","0","10","11.1","0","0","0","0","0","0","5","0","32","0","0","0","6.4","4","3","0.6","2","1","0","20","0","0","0","0","0","0","0","23.6","0.51","1.69"
"DJ Moore","CAR","1","WR","9","5","0","55","0","0","0","0","55.6","12","6.11","11","4","1","0","0","11.1","0","0","1","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0.13","1.6"
"Terry McLaurin","WAS","1","WR","6","3","0","40","0","0","0","0","50","19.17","6.67","13.33","3","1","1","0","16.7","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5","0.1","1.83"
"Miles Boykin","BLT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","5","4","0","33","0","0","0","0","80","12","6.6","8.25","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3","0.16","1.32"
"Tyler Johnson","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",""
"D.K. Metcalf","SEA","1","WR","4","2","1","41","0","1","1","0","50","11","10.25","20.5","4.5","1","1","1","25","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1","0.23","5.55"
