"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Hunter Renfrow","LV","WR","2.9","3.9","-1","2.9","3.9","-1","1","2","2.6","19","24.25","0","0.0288","0","0","0","0"
"Rhamondre Stevenson","NE","RB","6","12.4","-6.4","6","12.4","-6.4","1","2","3.49","11","27.61","0","0.0864","39","40.1506","0","0.56"
"Christian McCaffrey","SF","RB","26.8","18.7","8.100000000000001","26.8","18.7","8.1","1","6","4.88","64","41.34","1","0.6912","54","48.9706","1","0.52"
"T.J. Hockenson","MIN","TE","17.8","17.6","0.1999999999999993","17.8","17.6","0.2","1","6","5.98","88","73.26","1","1.2112","0","0","0","0"
"Alec Pierce","IND","WR","5.6","6.7","-1.1000000000000005","5.6","6.7","-1.1","1","3","3.93","41","44.34","0","0.048","0","0","0","0"
"Devin Singletary","HST","RB","5.3","8.1","-2.8","5.3","8.1","-2.8","1","2","1.84","13","13.02","0","0.0096","30","43.953","0","0.23"
"Byron Pringle","WAS","WR","0","1.7","-1.7","0","1.7","-1.7","1","0","0.24","0","10.59","0","0.0864","0","0","0","0"
"Josh Jacobs","LV","RB","15.8","14.7","1.1000000000000014","15.8","14.7","1.1","1","2","3.4","27","33.23","0","0","61","61.0442","1","0.6"
"Trey McBride","ARZ","TE","20.5","23.4","-2.8999999999999986","20.5","23.4","-2.9","1","10","9.98","95","109.06","1","1.2496","0","0","0","0"
"Nico Collins","HST","WR","5","10.3","-5.300000000000001","5","10.3","-5.3","1","4","3.65","30","54.37","0","0.5088","0","0","0","0"
"Ameer Abdullah","LV","RB","2.4","1.8","0.5999999999999999","2.4","1.8","0.6","1","1","0.81","12","9.33","0","0","7","4.655","0","0"
"Chigoziem Okonkwo","TEN","TE","4.7","8.3","-3.6000000000000005","4.7","8.3","-3.6","1","4","4.6","23","55.34","0","0","4","2.9792","0","0.02"
"Samaje Perine","DEN","RB","3.1","3.8","-0.6999999999999997","3.1","3.8","-0.7","1","2","2.73","16","19.46","0","0","5","4.1748","0","0.02"
"Andrew Ogletree","IND","TE","9.8","4.8","5.000000000000001","9.8","4.8","5","1","1","1.32","33","23.97","1","0.288","0","0","0","0"
"Austin Hooper","LV","TE","2.9","2.4","0.5","2.9","2.4","0.5","1","2","1.77","19","15.02","0","0","0","0","0","0"
"Antonio Gibson","WAS","RB","6.7","6.9","-0.20000000000000018","6.7","6.9","-0.2","1","5","3.91","28","26.96","0","0.192","14","9.6726","0","0.02"
"MyCole Pruitt","ATL","TE","0.8","5","-4.2","0.8","5","-4.2","1","1","1.39","3","12.7","0","0.5088","0","0","0","0"
"Connor Heyward","PIT","TE","4.9","8.3","-3.4000000000000004","4.9","8.3","-3.4","1","5","4.59","24","40.14","0","0.3264","0","0","0","0"
"Zach Charbonnet","SEA","RB","7.4","4.5","2.9000000000000004","7.4","4.5","2.9","1","2","1.77","11","10.79","0","0","53","20.1978","0","0.08"
"Durham Smythe","MIA","TE","4.3","6.3","-2","4.3","6.3","-2","1","3","2.25","28","28.29","0","0.384","0","0","0","0"
"Gabe Davis","BUF","WR","19.2","17.6","1.5999999999999979","19.2","17.6","1.6","1","9","8.52","87","85.37","1","0.8064","0","0","0","0"
"Rodney Williams","PIT","TE","0","1.7","-1.7","0","1.7","-1.7","1","0","1.36","0","10.37","0","0","0","0","0","0"
"Jahmyr Gibbs","DET","RB","27.4","19.8","7.599999999999998","27.4","19.8","7.6","1","5","4.57","37","32.56","0","0.0096","152","112.8568","1","0.48"
"Rakim Jarrett","TB","WR","1.4","2","-0.6000000000000001","1.4","2","-0.6","1","1","1.1","9","14.44","0","0","0","0","0","0"
"Salvon Ahmed","MIA","RB","1.2","6.8","-5.6","1.2","6.8","-5.6","1","3","2.7","-4","12.42","0","0.5472","1","8.3104","0","0.02"
"Clyde Edwards-Helaire","KC","RB","0.4","0.5","-0.09999999999999998","0.4","0.5","-0.1","1","0","0","0","0","0","0","4","4.0866","0","0.02"
"Jaylen Warren","PIT","RB","5.8","8","-2.2","5.8","8","-2.2","1","4","4.31","19","34.1","0","0.0096","19","21.7266","0","0.03"
"Tyler Scott","CHI","WR","1.6","3.3","-1.6999999999999997","1.6","3.3","-1.7","1","1","1.4","11","26.39","0","0","0","0","0","0"
"Joshua Palmer","LAC","WR","3.9","3.7","0.19999999999999973","3.9","3.7","0.2","1","3","2.34","24","25.46","0","0","0","0","0","0"
"Logan Thomas","WAS","TE","13.4","10.8","2.5999999999999996","13.4","10.8","2.6","1","6","5.62","44","54.56","1","0.4224","0","0","0","0"
"Noah Gray","KC","TE","3.5","2.5","1","3.5","2.5","1","1","2","1.31","25","18.25","0","0.0096","0","0","0","0"
"Chris Olave","NO","WR","7.1","13","-5.9","7.1","13","-5.9","1","5","5.47","46","90.29","0","0.2112","0","0","0","0"
"Scott Miller","ATL","WR","8.4","5.2","3.2","8.4","5.2","3.2","1","2","1.93","14","18.13","1","0.4032","0","0","0","0"
"Puka Nacua","LA","WR","5.8","9.3","-3.500000000000001","5.8","9.3","-3.5","1","3","3.9","43","39.38","0","0.5664","0","0","0","0"
"Kenneth Gainwell","PHI","RB","5.1","8.4","-3.3000000000000007","5.1","8.4","-3.3","1","5","4.45","30","29.87","0","0.0384","-4","6.4778","0","0.39"
"Rico Dowdle","DAL","RB","3.5","4.3","-0.7999999999999998","3.5","4.3","-0.8","1","2","1.8","7","9.41","0","0.048","18","21.413","0","0.01"
"Isaiah Spiller","LAC","RB","1.3","2.6","-1.3","1.3","2.6","-1.3","1","1","0.88","5","6.1","0","0","3","14.1512","0","0.03"
"Rashid Shaheed","NO","WR","22.8","5.2","17.6","22.8","5.2","17.6","1","3","0.89","153","43.89","1","0.0672","0","0","0","0"
"Marquise Goodwin","CLV","WR","-0.5","0.5","-1","-0.5","0.5","-1","1","0","0","0","0","0","0","-5","4.4198","0","0.01"
"DeVante Parker","NE","WR","1.9","1.8","0.09999999999999987","1.9","1.8","0.1","1","1","1.29","14","11.57","0","0","0","0","0","0"
