"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","5","5","3","0","60","5","0","7.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.04"
"Baker Mayfield","CLV","1","37","27","12","1","56.5","279","0","17.2","3","2","1","3","6","2","2","0","7.4","7.4","4","29","0","0","1","1","0","25","0","0","0","0","0","23.1","0.62"
"David Blough","DET","1","32","29","12","3","55.6","122","0","9.4","0","0","0","1","1","1","0","0","3.4","0","2","11","0","0","0","1","0","50","0","0","0","0","0","5","0.16"
"Gardner Minshew","JAX","1","44","39","27","6","84.6","295","0","5.8","3","0","0","1","3","2","2","0","5.1","5.1","5","7","0","0","1","3","0","60","0","0","0","1","1","23.5","0.53"
"Drew Lock","DEN","1","34","28","17","0","68","177","0","7.7","1","0","0","0","2","1","1","0","3.6","3.6","6","29","0","0","2","0","0","0","0","0","0","0","0","14","0.41"
"Daniel Jones","NYG","1","53","47","28","2","63.8","301","1","11.1","1","0","0","1","5","1","1","0","2.1","2.1","2","26","0","0","2","0","0","0","0","0","0","0","0","17.6","0.33"
"Kyler Murray","ARZ","1","43","42","26","1","75","325","1","11","2","0","0","2","1","4","1","0","9.5","2.4","2","0","0","0","2","0","0","0","0","0","0","0","0","19","0.44"
"Will Grier","CAR","1","11","8","1","1","33.3","4","0","11.8","0","0","0","1","1","0","0","0","0","0","3","5","0","0","1","0","0","0","0","0","0","0","0","-0.3","-0.03"
"Trace McSorley","BLT","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0.1",""
"Devlin Hodges","PIT","1","27","25","9","5","70","95","0","6.7","0","0","0","0","2","1","0","0","4","0","1","-1","0","0","1","0","0","0","0","0","0","0","0","3.7","0.14"
"Sam Darnold","NYJ","1","38","36","23","2","78.1","199","0","6.8","1","0","0","1","2","3","1","0","8.3","2.8","3","-2","0","0","1","1","0","33.3","0","0","0","0","0","10.8","0.28"
"Kyle Allen","CAR","1","44","41","25","3","70","295","0","7.2","0","0","0","1","1","3","0","1","7.3","0","2","5","0","0","0","1","0","50","0","0","0","0","0","11.3","0.26"
"Taysom Hill","NO","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0.4",""
"Patrick Mahomes","KC","1","29","25","16","3","79.2","174","0","6.1","1","0","0","1","0","1","1","0","4","4","7","21","0","0","0","0","0","0","0","0","0","0","0","12.1","0.42"
"Mitch Trubisky","CHI","1","43","37","26","0","74.3","207","0","6","0","0","0","0","4","1","0","0","2.7","0","2","1","0","0","2","0","0","0","0","0","0","0","0","8.4","0.2"
"Dak Prescott","DAL","1","37","33","23","4","90","303","1","7.2","4","1","0","0","3","2","2","0","6.1","6.1","3","35","0","0","1","0","0","0","0","0","0","0","0","31.6","0.85"
"Jacoby Brissett","IND","1","30","25","12","3","71.4","162","0","9","0","0","0","0","3","1","0","0","4","0","4","17","0","0","2","0","0","0","0","0","0","0","0","8.2","0.27"
"Carson Wentz","PHI","1","43","40","23","2","67.6","289","0","8.2","1","0","0","0","1","1","1","0","2.5","2.5","3","15","0","0","1","0","0","0","0","0","0","0","0","17.1","0.4"
"Jared Goff","LA","1","47","45","29","0","69","319","1","7.7","3","0","0","0","1","4","1","0","8.9","2.2","2","4","0","0","0","0","0","0","0","0","0","0","0","25.2","0.54"
"Brett Hundley","ARZ","1","1","1","1","0","100","0","0","-7","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","1","0","100","0","0","0","0","0","0.6","0.6"
"Sean Mannion","MIN","1","21","21","12","2","77.8","126","0","7.4","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","1","0","100","0","0","0","0","0","3","0.14"
"Marcus Mariota","TEN","1","1","1","1","0","100","24","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Jameis Winston","TB","1","27","24","13","1","63.6","201","0","12.4","2","0","0","2","1","4","2","0","16.7","8.3","2","5","0","0","0","0","0","0","0","0","0","1","1","14.5","0.54"
"A.J. McCarron","HST","1","45","36","21","0","67.7","225","0","8.5","0","0","0","1","4","3","0","0","8.3","0","5","39","1","0","0","1","1","20","1","1","20","0","0","17.9","0.4"
"Jimmy Garoppolo","SF","1","24","22","18","0","81.8","285","0","6.5","0","0","0","0","2","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","1","11.8","0.49"
"Derek Carr","OAK","1","48","46","29","3","84.2","391","1","7.8","1","0","0","0","2","3","1","0","6.5","2.2","1","0","0","0","1","0","0","0","0","0","0","0","1","19.6","0.41"
"Teddy Bridgewater","NO","1","2","1","1","0","100","14","0","-7","0","0","0","0","1","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","0.3","0.15"
"Matt Barkley","BUF","1","36","35","18","4","71","232","0","8.4","0","0","0","2","1","2","0","0","5.7","0","2","-4","0","0","2","0","0","0","0","0","0","0","0","6.9","0.19"
"Case Keenum","WAS","1","39","37","18","1","55.9","206","0","7.3","1","0","0","1","2","4","1","0","10.8","2.7","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2","0.29"
"Russell Wilson","SEA","1","48","40","25","2","75","233","0","7.4","2","0","0","0","1","7","2","0","17.5","5","8","29","0","0","0","1","0","12.5","0","0","0","0","0","20.2","0.42"
"Ryan Tannehill","TEN","1","22","20","13","0","68.4","198","0","13.4","2","1","1","0","0","1","1","0","5","5","5","20","0","0","0","0","0","0","0","0","0","0","0","17.9","0.81"
