Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Toby Gerhart,Vikings,RB,3766500,941625,1939000,0.70,6563637,1640909,3378971
James Starks,Packers,RB,1890300,472575,100300,0.40,3294104,823526,174786
Knowshon Moreno,Broncos,RB,17075000,3415000,13125000,2.80,31206992,6241398,23987805
Donald Brown,Colts,RB,9635000,1927000,6310000,1.60,17609333,3521867,11532423
Chris Wells,Cardinals,RB,9000000,1800000,6345000,1.50,16448780,3289756,11596390
James Casey,Eagles,RB,12000000,4000000,6015000,3.30,21931707,7310569,10993268
Steven Jackson,Falcons,RB,12000000,4000000,4000000,3.30,21931707,7310569,7310569
Reggie Bush,Lions,RB,16000000,4000000,4000000,3.30,29242276,7310569,7310569
Shonn Greene,Titans,RB,10000000,3333333,4500000,2.70,18276423,6092140,8224390
DeAngelo Williams,Panthers,RB,10000000,3333333,4000000,2.70,18276423,6092140,7310569
Rashard Mendenhall,Cardinals,RB,2500000,2500000,2500000,2.00,4569106,4569106,4569106
Andre Brown,Giants,RB,2023000,2023000,0,1.60,3697320,3697320,0
Ahmad Bradshaw,Colts,RB,2000000,2000000,250000,1.60,3655285,3655285,456911
Chris Ivory,Jets,RB,6000000,2000000,2250000,1.60,10965854,3655285,4112195
LeGarrette Blount,Buccaneers,RB,1750000,1750000,0,1.40,3198374,3198374,0
Danny Woodhead,Chargers,RB,3500000,1750000,1000000,1.40,6396748,3198374,1827642
Giovani Bernard,Bengals,RB,5253340,1313335,3249400,1.10,9601226,2400307,5938741
Justin Forsett,Jaguars,RB,2300000,1150000,300000,0.90,4203577,2101789,548293
Le'Veon Bell,Steelers,RB,4120600,1030150,1376800,0.80,7530983,1882746,2516298
Montee Ball,Broncos,RB,3464326,866082,1629512,0.70,6331549,1582888,2978165
Eddie Lacy,Packers,RB,3392412,848103,1042208,0.70,6200116,1550029,1904783
Christine Michael,DAL/SEA,RB,3374430,843608,1014132,0.70,6167251,1541814,1853471
Knile Davis,NYJ/GB/KC,RB,2741016,685254,506016,0.60,5009597,1252399,924816
LeGarrette Blount,Patriots,RB,680000,680000,0,0.60,1242797,1242797,0
Johnathan Franklin,Packers,RB,2565468,641367,405468,0.50,4688758,1172189,741050
Joique Bell,Lions,RB,630000,630000,0,0.50,1151415,1151415,0
Rashad Jennings,Raiders,RB,630000,630000,0,0.50,1151415,1151415,0
Marcus Lattimore,49ers,RB,2460584,615146,300584,0.50,4497067,1124267,549360
Delone Carter,Jaguars,RB,1200000,600000,0,0.50,2193171,1096585,0
Stepfan Taylor,Cardinals,RB,2360500,590125,200500,0.50,4314150,1078537,366442
Joseph Randle,Cowboys,RB,2348880,587220,0,0.50,4292912,1073228,0
Chris Thompson,Commanders,RB,2345000,586250,185000,0.50,4285821,1071455,338114
Zac Stacy,NYJ/LAR,RB,2336500,584125,176500,0.50,4270286,1067572,322579
Mike Gillislee,Dolphins,RB,2322800,580700,162800,0.50,4245247,1061312,297540
Kenjon Barner,CAR/PHI,RB,2265800,566450,105800,0.50,4141072,1035268,193365
Andre Ellington,Cardinals,RB,2263864,565966,103864,0.50,4137534,1034383,189826
Mike James,Buccaneers,RB,2263152,565788,103152,0.50,4136232,1034058,188525
Rex Burkhead,Bengals,RB,2262200,565550,102200,0.50,4134492,1033623,186785
Spencer Ware,Seahawks,RB,2257432,564358,97432,0.50,4125778,1031445,178071
Theo Riddick,Lions,RB,2251000,562750,91000,0.50,4114023,1028506,166315
Owen Marecic,49ers,RB,555000,555000,0,0.50,1014341,1014341,0
Anthony Allen,Ravens,RB,555000,555000,0,0.50,1014341,1014341,0
Da'Rel Scott,Giants,RB,555000,555000,0,0.50,1014341,1014341,0
Jawan Jamison,Commanders,RB,2210880,552720,50880,0.40,4040698,1010174,92990
Kerwynn Williams,Colts,RB,2209824,552456,49824,0.40,4038768,1009692,91060
Michael Cox,Giants,RB,2205896,551474,45896,0.40,4031589,1007897,83881
Latavius Murray,Raiders,RB,2191200,547800,106200,0.40,4004730,1001182,194096
Kerwynn Williams,Colts,RB,2160000,540000,0,0.40,3947707,986927,0
Dan Herron,Colts,RB,1050000,525000,0,0.40,1919024,959512,0
Evan Rodriguez,Bills,RB,1050000,525000,0,0.40,1919024,959512,0
Chris Rainey,Colts,RB,1050000,525000,0,0.40,1919024,959512,0
C.J. Anderson,Broncos,RB,1497500,499167,12500,0.40,2736894,912299,22846
Jawan Jamison,Commanders,RB,1485000,495000,0,0.40,2714049,904683,0
Edwin Baker,Browns,RB,1485000,495000,0,0.40,2714049,904683,0
Baron Batch,Steelers,RB,480000,480000,0,0.40,877268,877268,0
Drake Dunsmore,Buccaneers,RB,900000,450000,0,0.40,1644878,822439,0
Jamaal Charles,Chiefs,RB,28000000,7000000,2950000,5.30,47326316,11831579,4986165
Chris Johnson,Jets,RB,8000000,4000000,3000000,3.00,13521805,6760902,5070677
Darren Sproles,Eagles,RB,7000000,3500000,5500000,2.60,11831579,5915789,9296241
Donald Brown,Chargers,RB,10500000,3500000,4000000,2.60,17747368,5915789,6760902
Toby Gerhart,Jaguars,RB,10500000,3500000,4500000,2.60,17747368,5915789,7606015
Joique Bell,Lions,RB,9300000,3100000,4300000,2.30,15719098,5239699,7267970
Dexter McCluster,Titans,RB,9000000,3000000,4500000,2.30,15212030,5070677,7606015
Knowshon Moreno,Dolphins,RB,3000000,3000000,1250000,2.30,5070677,5070677,2112782
Danny Woodhead,Chargers,RB,5500000,2750000,3000000,2.10,9296241,4648120,5070677
Fred Jackson,Bills,RB,2600000,2600000,0,2.00,4394586,4394586,0
Maurice Jones-Drew,Raiders,RB,7500000,2500000,1200000,1.90,12676692,4225564,2028271
Rashad Jennings,Giants,RB,10000000,2500000,2980000,1.90,16902256,4225564,5036872
Pierre Thomas,Saints,RB,6900000,2300000,2400000,1.70,11662556,3887519,4056541
LeGarrette Blount,Steelers,RB,3850000,1925000,950000,1.40,6507368,3253684,1605714
Darren McFadden,Raiders,RB,1750000,1750000,100000,1.30,2957895,2957895,169023
James Starks,Packers,RB,3250000,1625000,725000,1.20,5493233,2746617,1225414
Taiwan Jones,Raiders,RB,4355000,1451667,855000,1.10,7360932,2453645,1445143
Anthony Dixon,Bills,RB,3500000,1166667,750000,0.90,5915789,1971930,1267669
Bishop Sankey,Titans,RB,3843496,960874,1709976,0.70,6496375,1624094,2890245
Jeremy Hill,Bengals,RB,3753602,938401,1640510,0.70,6344434,1586109,2772832
Carlos Hyde,49ers,RB,3681678,920420,1954933,0.70,6222866,1555717,3304278
Kendall Hunter,49ers,RB,870000,870000,760000,0.70,1470496,1470496,1284571
LeGarrette Blount,Patriots,RB,1730000,865000,0,0.70,2924090,1462045,0
