Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
P. Mahomes,KC,1,1752,1,1792,3,26.5%,2,27.4%,1,77.6,674,5059,1,6128,41,0,0,12,67.1%,2/18,4,3.5
J. Goff,DET,2,1467,2,1428,4,24.8%,4,23.9%,5,61.2,609,4282,3,5282,29,1,3,6,65.2%,7/65,27,0.6
T. Brady,TB,3,1122,3,1119,8,11.0%,8,11.0%,18,52.6,752,4534,2,5594,25,1,2,9,67.1%,12/232,24,0.9
T. Tagovailoa,MIA,4,1105,5,1019,2,28.8%,3,25.7%,3,68.5,420,3375,10,3729,25,3,1,8,65.1%,5/126,5,3.0
J. Allen,BUF,5,1086,4,1075,5,15.9%,5,15.7%,2,71.2,599,4121,6,4709,35,2,3,14,63.4%,8/136,1,5.4
J. Burrow,CIN,6,951,10,844,9,10.9%,11,8.4%,10,58.5,646,4203,5,4763,35,3,3,12,68.5%,8/100,32,-0.4
T. Lawrence,JAX,7,948,6,946,6,13.1%,7,13.0%,15,54.5,609,3893,8,4446,25,2,5,7,66.8%,4/43,18,1.3
J. Garoppolo,SF,8,863,7,908,1,30.4%,1,32.6%,16,54.4,325,2337,16,2847,16,0,1,3,67.4%,5/75,16,1.4
G. Smith,SEA,9,764,11,780,12,7.9%,12,8.3%,6,61.1,617,3888,9,4266,30,3,2,11,70.4%,7/126,28,0.6
J. Hurts,PHI,10,703,8,865,10,10.6%,6,15.6%,4,66.7,498,3483,12,3558,22,2,2,6,66.5%,6/141,6,2.8
K. Cousins,MIN,11,668,12,628,17,3.6%,19,2.8%,23,49.8,686,4208,7,4552,29,2,3,14,66.4%,11/158,17,1.3
J. Herbert,LAC,12,667,9,846,18,2.7%,14,6.4%,11,58.4,735,4533,4,4784,25,1,3,10,68.4%,6/112,23,1.1
J. Brissett,CLE,13,600,14,547,7,13.0%,9,10.8%,8,59.7,390,2441,17,2820,12,2,3,5,64.5%,7/137,3,3.7
D. Prescott,DAL,14,526,13,581,11,8.3%,10,10.3%,12,58.3,414,2723,15,2902,23,2,0,15,66.4%,7/175,2,4.4
A. Dalton,NO,15,464,16,498,13,6.6%,13,7.9%,21,51.2,403,2672,18,2743,18,1,1,9,66.8%,3/29,19,1.3
A. Rodgers,GB,16,437,15,519,21,0.3%,20,2.4%,27,39.4,572,3428,11,3683,26,2,2,12,64.9%,8/188,8,2.2
D. Carr,LV,17,431,18,404,19,2.1%,21,1.3%,14,55.5,529,3323,13,3194,24,3,0,14,60.9%,5/134,14,1.5
D. Jones,NYG,18,396,17,456,20,1.1%,17,3.0%,7,60.7,511,2941,14,3134,15,2,2,5,68.2%,5/77,33,-1.2
L. Jackson,BAL,19,371,19,332,14,5.5%,16,3.8%,9,59.4,351,2108,25,2294,17,0,1,7,62.7%,3/58,11,1.7
R. Tannehill,TEN,20,353,20,322,16,4.3%,18,3.0%,24,49.4,357,2298,21,2325,13,1,1,6,65.4%,2/11,15,1.4
M. Mariota,ATL,21,333,21,320,15,4.9%,15,4.3%,13,55.8,324,2024,26,2122,15,2,1,9,62.2%,5/107,9,1.9
K. Murray,ARI,22,120,22,146,22,-6.6%,22,-5.7%,19,52.1,412,2161,23,2299,14,2,0,7,67.1%,3/60,31,0.1
K. Pickett,PIT,23,92,24,48,23,-7.7%,24,-9.3%,20,51.4,415,2222,24,2296,7,0,1,8,63.1%,8/69,12,1.6
M. Stafford,LAR,24,69,26,-21,24,-8.0%,26,-12.1%,22,50.2,332,1869,28,1854,10,0,3,8,68.2%,1/1,22,1.1
T. Heinicke,WAS,25,42,23,50,25,-8.8%,23,-8.3%,25,45.5,276,1718,30,1491,12,1,5,6,62.7%,0/0,21,1.2
M. Jones,NE,26,33,25,40,26,-10.1%,25,-9.8%,30,35.9,474,2736,20,2470,14,1,1,11,65.9%,4/57,7,2.5
J. Flacco,NYJ,27,-61,29,-93,29,-16.1%,30,-18.7%,31,34.1,201,961,34,906,5,1,4,3,58.2%,1/27,25,0.8
Z. Wilson,NYJ,28,-66,30,-118,27,-15.2%,29,-18.4%,29,36.2,265,1503,32,1230,6,0,1,6,54.8%,3/39,20,1.2
R. Wilson,DEN,29,-136,27,-43,28,-15.2%,27,-12.4%,28,36.9,536,3156,19,2512,16,2,2,11,60.7%,10/216,10,1.8
C. Wentz,WAS,30,-162,31,-171,31,-19.3%,31,-19.8%,33,32.7,302,1558,31,1369,11,2,1,9,63.0%,4/51,26,0.7
D. Mills,HOU,31,-181,28,-43,30,-16.8%,28,-12.5%,32,33.1,509,2874,22,2320,17,3,2,14,61.1%,8/138,29,0.3
B. Mayfield,2TM,32,-238,32,-288,32,-21.3%,33,-23.4%,34,24.8,368,1910,29,1575,10,2,1,8,60.1%,6/118,30,0.2
M. Ryan,IND,33,-360,33,-305,33,-22.5%,32,-20.8%,26,43.0,498,2762,27,2059,14,8,3,13,67.3%,3/42,34,-1.4
J. Fields,CHI,34,-541,34,-563,34,-34.5%,34,-35.4%,17,53.9,373,1883,33,1133,17,5,2,11,60.4%,3/54,13,1.6

Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
B. Purdy,SF,397,458,21.6%,26.6%,65.6,181,1290,1518,13,0,0,4,67.1%,5/50,-0.4
S. Darnold,CAR,326,306,23.2%,21.1%,49.2,147,1070,1210,7,0,1,3,59.9%,2/33,3.6
M. Trubisky,PIT,172,117,3.1%,-1.4%,56.8,190,1184,1208,4,0,0,5,65.4%,2/8,4.5
C. Rush,DAL,145,92,2.1%,-2.8%,60,168,989,1078,5,2,0,3,58.8%,2/65,-0.9
G. Minshew,PHI,133,78,17.0%,5.5%,38.7,81,635,561,3,1,0,3,58.7%,1/15,0.5
B. Zappe,NE,121,151,7.5%,12.3%,34.4,98,725,685,5,0,2,3,71.4%,4/75,0.6
T. Hill,NO,120,116,71.1%,68.2%,78.7,21,226,281,2,0,0,0,68.4%,0/0,0.0
D. Ridder,ATL,114,96,2.7%,0.6%,49.8,124,652,818,2,0,1,0,64.6%,3/36,-0.1
J. Stidham,LV,102,51,6.3%,-2.5%,58.9,90,598,609,4,1,1,3,64.6%,3/36,4.7
N. Mullens,MIN,101,104,48.4%,50.0%,55.8,25,224,275,1,0,0,1,84.0%,0/0,-8.3
J. Love,GB,95,82,55.4%,46.6%,82.4,20,195,244,1,0,0,0,70.0%,0/0,2.6
M. White,NYJ,68,115,-5.1%,-0.9%,37.7,184,1116,1002,3,1,1,4,58.9%,1/24,-0.6
T. Bridgewater,MIA,42,49,-3.2%,-2.0%,48.7,86,610,486,4,0,0,4,63.6%,0/0,-2.1
D. Webb,NYG,41,-17,5.0%,-17.9%,73.9,40,152,263,1,0,0,0,59.0%,0/0,0.7
N. Peterman,CHI,34,39,11.5%,15.1%,41.3,25,133,167,1,0,0,0,58.3%,0/0,-2.7
C. Daniel,LAC,31,26,30.8%,24.2%,57.9,13,51,103,1,0,0,0,66.7%,0/0,-15.0
C. Streveler,NYJ,11,26,-0.9%,12.3%,72,15,90,104,0,0,0,0,66.7%,0/0,1.5
D. Blough,ARI,-6,36,-12.7%,-2.0%,28.2,63,378,307,2,0,1,2,65.5%,1/40,0.7
T. Siemian,CHI,-10,-34,-17.0%,-30.0%,26.4,28,170,130,1,0,0,1,57.7%,0/0,-4.0
S. Howell,WAS,-11,-32,-18.5%,-33.2%,44.5,22,158,102,1,0,0,1,57.9%,1/24,2.4
T. Huntley,BAL,-21,-24,-14.0%,-14.5%,41.3,117,624,555,2,0,0,3,68.2%,2/29,1.6
J. Driskel,HOU,-23,-24,-26.1%,-27.1%,19.5,22,95,91,1,0,0,0,70.0%,0/0,-9.0
T. Taylor,NYG,-29,-36,-51.4%,-62.7%,10.7,11,40,18,1,0,1,1,75.0%,0/0,0.0
C. McCoy,ARI,-40,-119,-15.4%,-23.9%,37.4,145,671,697,1,0,0,3,68.7%,4/62,-1.9
S. Thompson,MIA,-43,-115,-17.4%,-27.9%,27.3,111,494,495,1,0,1,3,57.1%,4/100,-1.1
J. Dobbs,TEN,-45,-45,-21.0%,-20.9%,49.3,74,385,307,2,1,2,2,58.8%,0/0,1.7
J. Winston,NO,-64,8,-19.1%,-10.1%,33.3,124,784,564,4,1,0,4,64.6%,1/42,3.6
D. Watson,CLE,-64,-88,-16.6%,-18.7%,38.6,188,996,858,7,0,0,5,58.9%,0/0,-0.5
12-A. Brown,BAL,-85,-98,-38.0%,-42.1%,9.1,52,288,139,0,0,1,2,46.8%,0/0,0.0
C. Beathard,JAX,-91,-85,-125.6%,-117.4%,21.4,12,30,-60,0,0,0,1,63.6%,0/0,-4.0
J. Wolford,LAR,-103,-83,-34.0%,-29.5%,23.4,69,341,227,1,1,1,3,61.3%,1/6,5.3
T. Lance,SF,-107,-65,-62.6%,-42.3%,35.1,33,185,22,0,0,0,1,48.4%,0/0,2.7
P. Walker,CAR,-118,-54,-28.3%,-18.9%,23.9,113,685,398,3,0,0,3,59.4%,0/0,-2.7
B. Rypien,DEN,-154,-178,-36.7%,-40.5%,24.3,96,436,267,2,0,1,4,60.2%,0/0,1.0
B. Perkins,LAR,-183,-188,-84.1%,-86.1%,28.3,39,111,-47,1,0,0,2,57.6%,0/0,0.6
