Player,ADP
Hunter Henry,86.5
Tyler Higbee,83.5
Rob Gronkowski,78.8
Evan Engram,73.5
Darren Waller,57.3
Mark Andrews,42.3
Jace Sternberger,273
Devin Asiasi,272.7
Zach Ertz,42
Tyler Eifert,268
Ian Thomas,191.5
Will Dissly,247.7
Jimmy Graham,241
Kyle Rudolph,212
O.J. Howard,209
Irv Smith,206.3
Greg Olsen,202.7
Dallas Goedert,149
Eric Ebron,146
George Kittle,23.3
Blake Jarwin,165.5
Chris Herndon,161.8
Jack Doyle,161.5
Jonnu Smith,160.3
Mike Gesicki,139.3
T.J. Hockenson,134.8
Austin Hooper,122
Noah Fant,115
Hayden Hurst,106.3
Jared Cook,105.5
Travis Kelce,18.8
