"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jalin Hyatt","NYG","1","WR","2","2","0","10","0","0","0","0","100","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.04","1"
"Quentin Johnston","LAC","1","WR","3","1","0","18","0","0","0","0","33.3","18","6","18","0","1","0","0","33.3","0","0","1","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3","0.07","2.3"
"Marvin Mims Jr.","DEN","1","WR","2","2","1","47","0","0","0","0","100","14.5","23.5","23.5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7","0.34","2.85"
"Andrei Iosivas","CIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tre Tucker","LV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Trey Palmer","TB","1","WR","3","2","0","6","0","1","0","0","66.7","9.33","2","3","0.5","2","1","1","66.7","50","100","1","1","33.3","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6","0.14","3.8"
"Skyy Moore","KC","1","WR","1","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","100","0","0","0","0","0","0","0","2","0","19","0","0","0","9.5","9","1","0.5","0","0","0","0","0","0","0","0","0","0","0","1.9","0.05","0.95"
"Cedric Tillman","CLV","1","WR","3","1","0","5","0","0","0","0","33.3","17.33","1.67","5","1","2","0","0","66.7","0","0","2","0","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.07","1"
"Jahan Dotson","WAS","1","WR","8","4","0","27","0","1","0","1","50","10.25","3.38","6.75","1.5","5","2","1","62.5","50","100","2","1","25","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.7","0.19","2.67"
"Chris Olave","NO","1","WR","6","1","0","4","0","0","0","0","16.7","25.33","0.67","4","7","1","0","0","16.7","0","0","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.02","0.9"
"Romeo Doubs","GB","1","WR","13","9","0","95","0","0","0","0","69.2","10.23","7.31","10.56","1.67","3","2","0","23.1","22.2","0","1","0","7.7","0","0","1","0","-11","0","0","0","-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.9","0.26","1.29"
"Ronnie Bell","SF","1","WR","1","1","0","7","0","0","0","0","100","-3","7","7","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.13","1.2"
"Terrace Marshall Jr.","CAR","1","WR","9","9","0","56","0","0","0","0","100","2.78","6.22","6.22","3.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10.1","0.22","1.12"
"Brandon Aiyuk","SF","1","WR","6","6","1","148","1","0","0","0","100","21.33","24.67","24.67","3.33","1","1","0","16.7","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.8","0.42","2.97"
"Jaylen Waddle","MIA","1","WR","4","4","0","46","0","0","0","0","100","6.5","11.5","11.5","5","1","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6","0.13","1.65"
"Alec Pierce","IND","1","WR","2","1","0","38","0","0","0","0","50","21","19","38","3","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3","0.07","4.3"
"Jake Bobo","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Colton Dowell","TEN","1","WR","1","0","0","0","0","0","0","0","0","39","0","0","0","1","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Joshua Palmer","LAC","1","WR","8","3","1","77","0","0","0","1","37.5","17.88","9.63","25.67","7.67","1","1","0","12.5","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2","0.16","3.07"
"Nico Collins","HST","1","WR","9","7","2","168","1","2","1","0","77.8","11.22","18.67","24","12.86","1","1","1","11.1","14.3","50","1","1","11.1","14.3","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.3","0.6","4.61"
"Calvin Austin III","PIT","1","WR","5","3","0","24","0","0","0","0","60","15.2","4.8","8","2","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4","0.08","1.1"
"Justin Jefferson","MIN","1","WR","9","6","0","85","0","2","0","0","66.7","12.78","9.44","14.17","0.67","3","3","2","33.3","50","100","2","2","22.2","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.5","0.5","3.92"
"Isaiah Hodgins","NYG","1","WR","3","3","0","24","0","0","0","0","100","6","8","8","2","1","1","0","33.3","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9","0.14","1.3"
"A.J. Brown","PHI","1","WR","13","9","1","175","1","2","1","0","69.2","16.69","13.46","19.44","5.67","2","1","1","15.4","11.1","50","1","1","7.7","11.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0.5","3.78"
"DJ Moore","CHI","1","WR","10","8","0","131","1","1","0","0","80","17.1","13.1","16.38","2.88","2","1","1","20","12.5","100","1","1","10","12.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1","0.34","2.89"
