"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Tua Tagovailoa","MIA","1","29","26","20","2","88","145","0","4","0","0","0","1","2","1","0","1","3.8","0","3","9","2","0","0","3","2","100","2","2","66.7","1","1","17.7","0.61"
"Josh Allen","BUF","1","43","40","28","0","75.7","359","1","10.1","2","0","0","0","1","4","2","0","10","5","3","33","2","0","1","2","1","66.7","1","1","33.3","0","0","37.7","0.88"
"Baker Mayfield","CLV","1","35","32","27","1","96.6","297","0","8.5","2","0","0","0","1","3","2","0","9.4","6.3","4","11","0","0","0","2","0","50","0","0","0","0","0","21","0.6"
"Logan Woodside","TEN","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","-0.3",""
"Tyler Huntley","BLT","1","4","4","2","0","50","7","0","14.3","0","0","0","0","0","1","0","0","25","0","4","18","0","0","0","0","0","0","0","0","0","0","0","2.1","0.53"
"Ryan Finley","CIN","1","16","13","7","0","53.8","89","0","14.2","1","0","0","0","2","0","0","0","0","0","10","47","1","0","0","2","0","20","0","0","0","0","0","18.3","1.14"
"Lamar Jackson","BLT","1","24","22","17","1","85.7","243","0","10.1","3","0","0","1","1","4","3","1","18.2","13.6","10","35","1","0","2","1","1","10","1","1","10","0","0","30.2","1.26"
"Dwayne Haskins","WAS","1","62","55","38","4","77.8","295","0","6.8","1","0","0","2","4","3","0","0","5.5","0","3","28","0","0","1","0","0","0","0","0","0","0","0","16.6","0.27"
"Gardner Minshew","JAX","1","35","29","22","0","81.5","226","0","8.3","2","0","0","0","5","2","1","0","6.9","3.4","2","9","0","0","1","0","0","0","0","0","0","0","0","17.9","0.51"
"Jalen Hurts","PHI","1","55","44","24","0","61.5","338","1","11.3","3","0","0","0","6","6","2","0","13.6","4.5","11","63","1","0","3","2","1","18.2","1","0","9.1","0","0","37.8","0.69"
"Drew Lock","DEN","1","39","32","20","2","75.9","132","0","4.6","1","0","0","0","3","1","1","0","3.1","3.1","5","37","0","0","1","0","0","0","0","0","0","0","0","13","0.33"
"Kyler Murray","ARZ","1","40","36","27","0","75","406","1","9.7","3","0","0","1","1","2","1","1","5.6","2.8","8","32","1","0","2","3","1","37.5","0","0","0","0","0","36.4","0.91"
"Sam Darnold","NYJ","1","35","31","22","1","92","207","0","4.9","1","0","0","0","2","2","0","0","6.5","0","5","18","0","0","1","0","0","0","0","0","0","0","0","14.1","0.4"
"Justin Herbert","LAC","1","35","32","22","1","74.2","314","1","11.3","2","0","0","0","1","3","0","0","9.4","0","4","14","1","0","1","3","1","75","2","1","50","0","0","28","0.8"
"Nick Mullens","SF","1","39","36","21","1","68.8","219","0","8.3","2","0","0","2","2","1","1","0","2.8","2.8","1","7","0","0","1","0","0","0","0","0","0","0","0","15.5","0.4"
"Taysom Hill","NO","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","3","1","0","0","2","1","100","2","1","100","0","1","6.3",""
"C.J. Beathard","SF","1","7","7","5","0","71.4","100","0","11.6","1","1","0","0","0","1","1","0","14.3","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1.14"
"Deshaun Watson","HST","1","49","41","33","2","94.6","373","1","8","2","0","0","0","5","2","1","0","4.9","2.4","6","25","0","0","1","1","0","16.7","0","0","0","0","0","25.4","0.52"
"Patrick Mahomes","KC","1","54","47","26","4","73.2","254","0","10","3","0","0","0","4","2","2","0","4.3","4.3","7","37","0","0","2","1","0","14.3","0","0","0","1","1","25.9","0.48"
