"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"356","Joe Flacco","IND","qb","14","MIA","0","0","0","0","0","0","0","0.1038","0.0594","0.0054","0","0","0","0","0.0014","0.0006","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"357","Josh Johnson","BLT","qb","14","@TB","0","0","0","0","0","0","0","0.0768","0.1647","0.0021","0","0","0","0","0.001","0.0005","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"358","Tyrod Taylor","NYJ","qb","12","@PIT","0","0","0","0","0","0","0","0.0722","0.1855","0.0019","0","0","0","0","0.001","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"359","Jimmy Garoppolo","LA","qb","6","LV","0","0","0","0","0","0","0","0.0524","0.0257","0.0027","0","0","0","0","0.0007","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"360","Carson Wentz","KC","qb","6","@SF","0","0","0","0","0","0","0","0.0403","0.0568","0.0024","0","0","0","0","0.0005","0.0002","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"361","Jacoby Brissett","NE","qb","14","@JAX","0","0","0","0","0","0","0","0.05","0.0335","0.0021","0","0","0","0","0.0007","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"362","Brandon Allen","SF","qb","9","KC","0","0","0","0","0","0","0","0.075","0.0918","0.0023","0","0","0","0","0.001","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"363","Mitch Trubisky","BUF","qb","12","TEN","0","0","0","0","0","0","0","0.0756","0.0449","0.0037","0","0","0","0","0.001","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"364","Nick Mullens","MIN","qb","6","DET","0","0","0","0","0","0","0","0.0647","0.0621","0.0031","0","0","0","0","0.0009","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"365","Jarrett Stidham","DEN","qb","14","@NO","0","0","0","0","0","0","0","0.0481","0.0458","0.0027","0","0","0","0","0.0007","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"366","Easton Stick","LAC","qb","5","@ARZ","0","0","0","0","0","0","0","0.0481","0.1597","0.0026","0","0","0","0","0.0007","0.0003","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"367","Drew Lock","NYG","qb","11","PHI","0","0","0","0","0","0","0","0.0509","0.0895","0.0016","0","0","0","0","0.0007","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"368","Kyle Trask","TB","qb","11","BLT","0","0","0","0","0","0","0","0.0387","0.0393","0.0016","0","0","0","0","0.0005","0.0002","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"369","Gardner Minshew","LV","qb","10","@LA","0","0","0","0","0","0","0","0.0681","0.0107","0.0032","0","0","0","0","0.0009","0.0004","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
