"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"D.K. Metcalf","SEA","WR","4.7","12.4","-7.7","4.7","12.4","-7.7","1","3","5.04","32","85.85","0","0.2112","0","0","0","0"
"JuJu Smith-Schuster","NE","WR","2","4.2","-2.2","2","4.2","-2.2","1","2","2.24","10","25.19","0","0.096","0","0","0","0"
"Darius Slayton","NYG","WR","2.6","3.4","-0.7999999999999998","2.6","3.4","-0.8","1","2","2.05","16","24.12","0","0","0","0","0","0"
"Kalif Raymond","DET","WR","12.1","8","4.1","12.1","8","4.1","1","5","3.6","90","48.48","0","0.1344","6","4.5178","0","0.01"
"Noah Fant","SEA","TE","3.5","2.8","0.7000000000000002","3.5","2.8","0.7","1","2","1.41","25","20.47","0","0","0","0","0","0"
"Dyami Brown","WAS","WR","0","1.5","-1.5","0","1.5","-1.5","1","0","0.39","0","9.94","0","0.048","0","0","0","0"
"Dalton Schultz","HST","TE","0.7","2.6","-1.9000000000000001","0.7","2.6","-1.9","1","1","1.14","2","18.23","0","0.0288","0","0","0","0"
"Christian Kirk","JAX","WR","10.9","8.4","2.5","10.9","8.4","2.5","1","4","4.1","89","57.6","0","0.096","0","0","0","0"
"Cole Kmet","CHI","TE","7.8","7.3","0.5","7.8","7.3","0.5","1","7","5.67","43","44.61","0","0","0","0","0","0"
"Michael Pittman Jr.","IND","WR","15.7","16","-0.3000000000000007","15.7","16","-0.3","1","10","8.82","107","99.72","0","0.2688","0","0","0","0"
"Mitchell Wilcox","CIN","TE","0.6","1","-0.4","0.6","1","-0.4","1","1","0.84","1","5.81","0","0","0","0","0","0"
"Will Mallory","IND","TE","3.9","4.5","-0.6000000000000001","3.9","4.5","-0.6","1","2","2.46","29","26.19","0","0.1152","0","0","0","0"
"Stephen Sullivan","CAR","TE","1.8","0.9","0.9","1.8","0.9","0.9","1","1","0.48","13","6.26","0","0","0","0","0","0"
"Romeo Doubs","GB","WR","5.2","5.5","-0.2999999999999998","5.2","5.5","-0.3","1","3","2.84","37","38.11","0","0.048","0","0","0","0"
"Javonte Williams","DEN","RB","8.6","15.7","-7.1","8.6","15.7","-7.1","1","3","4.53","6","30.99","0","0.0096","65","78.6058","0","0.41"
"Luke Farrell","JAX","TE","7","8.2","-1.1999999999999993","7","8.2","-1.2","1","3","3.65","55","37.23","0","0.4416","0","0","0","0"
"Keenan Allen","LAC","WR","17.1","18.8","-1.6999999999999993","17.1","18.8","-1.7","1","13","11.02","108","125.78","0","0.1152","-2","0","0","0"
"Saquon Barkley","NYG","RB","5.7","8.1","-2.3999999999999995","5.7","8.1","-2.4","1","1","1.85","6","10.57","0","0.0192","46","53.557","0","0.11"
"Lynn Bowden","NO","WR","4","2.3","1.7000000000000002","4","2.3","1.7","1","0","0.57","0","10.44","0","0","40","8.918","0","0.02"
"Brian Robinson","WAS","RB","7.4","10.1","-2.6999999999999993","7.4","10.1","-2.7","1","2","2.83","11","13.4","0","0.0672","53","66.4146","0","0.05"
"Matt Breida","NYG","RB","2.1","1.9","0.20000000000000018","2.1","1.9","0.2","1","1","0.81","10","5.02","0","0","6","7.1932","0","0.04"
"Elijah Moore","CLV","WR","5","12.6","-7.6","5","12.6","-7.6","1","3","4.31","44","66.13","0","0.5664","-9","4.6648","0","0"
"Ja'Marr Chase","CIN","WR","10.1","7.3","2.8","10.1","7.3","2.8","1","4","3.65","81","48.1","0","0.1056","0","0","0","0"
"Tyler Allgeier","ATL","RB","6.4","4.6","1.8000000000000007","6.4","4.6","1.8","1","0","0","0","0","0","0","64","44.6488","0","0.03"
"Keaton Mitchell","BLT","RB","9.9","6.7","3.2","9.9","6.7","3.2","1","2","1.74","25","16.45","0","0","64","39.102","0","0.04"
"Justice Hill","BLT","RB","3.1","6.6","-3.4999999999999996","3.1","6.6","-3.5","1","0","0.76","0","6.04","0","0","31","15.0332","0","0.69"
"Olamide Zaccheaus","PHI","WR","9.4","2.8","6.6000000000000005","9.4","2.8","6.6","1","1","0.31","29","8.99","1","0.2976","0","0","0","0"
"Justin Watson","KC","WR","6.8","5.3","1.5","6.8","5.3","1.5","1","1","1","3","14.21","1","0.5664","0","0","0","0"
"Kyle Philips","TEN","WR","0.2","2.2","-2","0.2","2.2","-2","1","1","1.49","-3","14.09","0","0","0","0","0","0"
"Michael Gallup","DAL","WR","1.8","1.2","0.6000000000000001","1.8","1.2","0.6","1","1","0.63","13","9.02","0","0","0","0","0","0"
