Player,ADP
Nick Chubb,16
Todd Gurley,13.2
James Conner,10.3
T.J. Yeldon,397.4
Mike Davis,377.2
Jay Ajayi,260.2
Jamaal Williams,367.6
Malcolm Brown,367
Chris Thompson,319.4
Frank Gore,220
Giovani Bernard,207.6
C.J. Anderson,206.2
Le'Veon Bell,7.5
Jalen Richard,193.2
Ty Montgomery,226.3
Ito Smith,295.2
Alexander Mattison,176.7
Damien Harris,174.5
Justice Hill,163.7
Nyheim Hines,156.3
Carlos Hyde,155.7
Ronald Jones,149.2
Darwin Thompson,148.7
David Johnson,6.7
Justin Jackson,146.8
Adrian Peterson,145.5
Dion Lewis,142.5
Jaylen Samuels,135
Kalen Ballage,134.3
Tony Pollard,134.3
Peyton Barber,122.2
Kareem Hunt,117.2
Royce Freeman,109.5
Devin Singletary,108.8
Ezekiel Elliott,4
Matt Breida,108
Darrell Henderson,106.8
Rashaad Penny,102.5
LeSean McCoy,99.2
Jordan Howard,99.2
Latavius Murray,93.2
Derrius Guice,78.8
Duke Johnson,77.2
Kenyan Drake,76.7
Miles Sanders,73.5
Alvin Kamara,2.5
Austin Ekeler,70.8
Tevin Coleman,68.7
Tarik Cohen,68.3
Phillip Lindsay,54.7
James White,53.3
Sony Michel,48
David Montgomery,45.3
Mark Ingram,44.5
Melvin Gordon,44.2
Marlon Mack,42.5
Christian McCaffrey,2.5
Derrick Henry,38.7
Chris Carson,36.5
Damien Williams,34.3
Josh Jacobs,34.2
Aaron Jones,32.3
Devonta Freeman,29.8
Kerryon Johnson,29.3
Leonard Fournette,25.8
Joe Mixon,18
Dalvin Cook,18
Saquon Barkley,1
