"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Tua Tagovailoa","MIA","1","61","58","35","4","69.6","361","1","8.2","1","0","0","3","1","4","1","0","6.9","1.7","6","28","0","0","0","1","0","16.7","0","0","0","0","1","18.2","0.3"
"Josh Allen","BUF","1","27","25","18","0","78.3","224","0","11","3","0","0","1","1","3","3","0","12","12","2","3","0","0","0","1","0","50","0","0","0","0","0","20.3","0.75"
"Mason Rudolph","PIT","1","41","39","22","2","64.9","315","1","11.6","2","0","0","1","1","4","2","0","10.3","5.1","1","1","0","0","0","0","0","0","0","0","0","0","1","19.7","0.48"
"Baker Mayfield","CLV","1","35","27","17","1","72","196","0","9.2","1","0","0","0","4","3","1","0","11.1","3.7","6","44","0","0","0","0","0","0","0","0","0","0","0","16.2","0.46"
"John Wolford","LA","1","42","38","22","2","72.7","231","0","10","0","0","0","1","2","2","0","0","5.3","0","6","56","0","0","0","1","0","16.7","1","0","16.7","0","0","13.8","0.33"
"Tyler Huntley","BLT","1","1","1","1","0","100","8","0","5","0","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0.8","0.8"
"Chris Streveler","ARZ","1","18","16","11","0","68.8","105","0","6.5","1","0","0","1","2","0","0","0","0","0","3","12","0","0","1","0","0","0","0","0","0","0","0","8.4","0.47"
"Lamar Jackson","BLT","1","24","18","10","1","64.7","113","0","12.2","3","1","0","1","0","4","2","0","22.2","11.1","11","97","0","0","0","1","0","9.1","0","0","0","0","0","25.2","1.05"
"Jalen Hurts","PHI","1","24","20","7","2","52.9","72","0","8.1","0","0","0","1","0","2","0","0","10","0","9","29","2","0","0","3","2","33.3","0","0","0","0","0","16.8","0.7"
"Drew Lock","DEN","1","45","41","25","1","66.7","339","1","8.2","2","1","1","0","2","3","1","0","7.3","2.4","2","7","0","0","0","1","0","50","0","0","0","1","1","22.3","0.5"
"Daniel Jones","NYG","1","29","25","17","3","80","229","0","11.1","2","0","0","1","2","0","0","0","0","0","9","17","0","0","1","0","0","0","0","0","0","0","0","17.9","0.62"
"Kyler Murray","ARZ","1","13","11","8","0","72.7","87","0","10.4","0","0","0","0","2","1","0","0","9.1","0","2","3","0","0","0","1","0","50","0","0","0","0","0","3.8","0.29"
"Sam Darnold","NYJ","1","37","34","23","2","80.6","266","0","7.1","1","0","0","2","3","2","1","1","5.9","2.9","1","3","0","0","0","0","0","0","0","0","0","0","0","12.9","0.35"
"Tommy Stevens","CAR","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","4","24","0","0","0","0","0","0","0","0","0","0","0","2.4",""
"Justin Herbert","LAC","1","35","31","22","1","76.7","302","1","8.5","3","1","0","0","3","3","0","0","9.7","0","6","9","1","0","0","5","1","83.3","2","1","33.3","1","1","31","0.89"
"P.J. Walker","CAR","1","16","14","5","1","46.2","95","0","18.7","0","0","0","3","2","1","0","1","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.05"
"Taysom Hill","NO","1","1","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","7","41","1","0","0","2","1","28.6","1","1","14.3","0","0","10.1","10.1"
"Joshua Dobbs","PIT","1","5","5","4","0","100","2","0","-3.5","0","0","0","0","0","0","0","0","0","0","2","20","0","0","0","0","0","0","0","0","0","0","0","2.1","0.42"
"C.J. Beathard","SF","1","41","37","25","4","85.3","273","0","7.6","1","0","0","0","3","2","1","0","5.4","2.7","3","10","0","0","1","0","0","0","0","0","0","0","0","15.9","0.39"
"Deshaun Watson","HST","1","46","39","28","4","82.1","365","1","11.3","3","0","0","1","4","6","2","0","15.4","5.1","3","12","0","0","0","0","0","0","0","0","0","0","1","26.8","0.58"
"Mitch Trubisky","CHI","1","45","42","33","0","80.5","252","0","5.8","0","0","0","1","1","1","0","0","2.4","0","4","22","0","0","0","1","0","25","0","0","0","0","0","11.3","0.25"
"Brandon Allen","CIN","1","21","21","6","2","44.4","48","0","9.9","0","0","0","2","0","1","0","1","4.8","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0.1","0"
"Nate Sudfeld","PHI","1","15","12","5","0","55.6","32","0","9.7","0","0","0","1","2","0","0","0","0","0","2","12","0","0","1","0","0","0","0","0","0","0","0","1.5","0.1"
"Jacoby Brissett","IND","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0.3",""
"Jameis Winston","NO","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","-0.1",""
"Derek Carr","LV","1","41","38","24","1","73.5","371","1","10.7","2","0","0","2","3","4","2","0","10.5","5.3","2","1","0","0","0","0","0","0","0","0","0","1","1","20.9","0.51"
"Teddy Bridgewater","CAR","1","25","23","13","1","70","176","0","12.9","0","0","0","2","1","3","0","2","13","0","3","7","0","0","2","1","0","33.3","0","0","0","0","0","5.7","0.23"
