"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Justin Fields","CHI","1","32","21","7","0","43.8","75","0","10.2","1","0","0","1","7","1","0","0","4.8","0","10","132","0","0","1","1","0","10","1","0","10","0","0","19.2","0.6"
"Brock Purdy","SF","1","35","35","22","3","78.1","284","0","8.4","2","0","0","1","0","3","2","0","8.6","5.7","2","-3","0","0","0","1","0","50","1","0","50","0","0","18.1","0.52"
"Trevor Lawrence","JAX","1","22","21","17","0","85","152","0","5.4","0","0","0","1","1","0","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","0","0","5.5","0.25"
"Sam Ehlinger","IND","1","15","14","9","0","75","60","0","8.3","1","0","0","0","1","1","1","0","7.1","7.1","1","12","0","0","0","0","0","0","0","0","0","0","0","7.6","0.51"
"Kenny Pickett","PIT","1","29","27","15","1","64","168","0","9.8","1","0","0","0","2","4","1","0","14.8","3.7","5","2","0","0","0","2","0","40","1","0","20","0","0","10.9","0.38"
"Skylar Thompson","MIA","1","23","21","12","1","65","104","0","6","1","0","0","1","1","1","1","0","4.8","4.8","1","4","0","0","0","0","0","0","0","0","0","0","0","7.6","0.33"
"Mac Jones","NE","1","36","33","20","2","73.3","203","0","10.1","2","0","0","0","3","4","2","0","12.1","6.1","3","1","0","0","0","0","0","0","0","0","0","0","0","16.2","0.45"
"Desmond Ridder","ATL","1","29","26","19","0","79.2","169","0","5.6","0","0","0","0","1","1","0","0","3.8","0","4","9","0","0","1","2","0","50","1","0","25","0","0","7.7","0.27"
"Davis Mills","HST","1","44","40","22","1","63.9","202","0","8.5","0","0","0","0","1","1","0","0","2.5","0","4","33","0","0","1","0","0","0","0","0","0","0","0","11.4","0.26"
"Baker Mayfield","LA","1","24","19","11","0","61.1","132","0","11.4","0","0","0","0","3","0","0","0","0","0","3","8","0","0","1","0","0","0","0","0","0","0","0","6.1","0.25"
"David Blough","ARZ","1","44","40","24","1","65.8","222","0","9.4","1","0","0","0","2","1","0","0","2.5","0","2","7","0","0","0","0","0","0","0","0","0","0","0","13.6","0.31"
"Mike White","NYJ","1","50","46","23","5","70","240","0","8.6","0","0","0","2","4","2","0","0","4.3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7.6","0.15"
"Tyler Huntley","BLT","1","25","21","14","0","70","130","0","8.1","1","0","0","1","1","2","1","0","9.5","4.8","7","24","0","0","0","2","0","28.6","0","0","0","0","0","10.6","0.42"
"Gardner Minshew","PHI","1","38","32","18","0","56.3","275","0","9","1","1","1","1","6","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","14","0.37"
"Jordan Love","GB","1","3","3","2","0","66.7","9","0","3.3","0","0","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","0.3","0.1"
